岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
AI云平台算法实习生-大模型方向,北京-海淀,3k-6k,经验不限,本科,深度学习,大模型算法,运筹优化算法,白杨时代,数据服务,100-499人,"大模型算法方向实习
工作内容：
1 参与公司大模型训练平台的需求分析、软件设计与开发工作，配合解决方案团队输出技术文档；
2 负责大模型训练平台竞品调研和行业分析，及时准确分析行业和竞争对手的发展动态；
3 结合具体应用场景，分析垂类大模型应用模式，配合产品经理设计大模型工具平台架构；
4 跟踪最新的科研成果和技术动态，以便在公司的产品和服务中应用；
职位要求：
1 硕士及以上学历，计算机、大数据、人工智能相关专业优先，实习时间可以3个月或以上，每周至少四个工作日；
2 思路清晰、善于沟通，拥有出色的文档编写能力；
3 有较强的分析和执行能力，做事积极主动，有良好的团队合作精神；
4 较强的学习能力以及主动性，能较快掌握新的技能和知识。
加分项：
1 熟悉深度学习/机器学习平台，有阿里云PAI、华为云ModelArts、腾讯云TI等工具使用经验；
2 具备一定机器学习/深度学习/强化学习基础优先，了解大模型相关基础概念加分；
3 具备良好的分析问题和解决问题的能力，在相关领域有过发表的学术论文。",2023-12-09,boss直聘
AI高级算法工程师,北京,35k-65k,经验不限,本科,Java,C/C++,Python,某大型社交网络公司,社交网络,100-499人,"1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",2023-12-10,boss直聘
算法工程师（点云ai方向）,北京,40k-50k·16薪,经验不限,本科,深度学习,融合感知算法,C/C++,某大型知名机械设备公司,机械设备/机电/重工,10000人以上,"工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",2023-12-10,boss直聘
ai算法工程师,北京-海淀,18k-25k,经验不限,本科,Python,,,青鸟职业教育,培训机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",2023-12-09,boss直聘
AI智能分析算法开发/研究,北京-海淀,15k-25k·14薪,经验不限,本科,机器学习,大模型算法,自然语言处理算法,华为,计算机软件,10000人以上,"1、人工智能、信息安全等相关专业本科以上学历；
2、在以下至少一个领域有工作经验：网络安全、系统安全、数据安全、金融风控、文件检测等；
3、熟练掌握分类、回归、聚类、异常检测等常规机器学习（含深度学习）模型；
4、熟练掌握Python/Java/C/C++任意一种编程语言，有Hadoop、Spark、Flink等大数据平台使用经验；
5、计算机基础知识扎实，熟悉计算机原理、操作系统、TCP/IP网络协议、计算机组成等；
6、有良好的逻辑思维能力、沟通协作能力，自我驱动，具备突出的分析问题和解决问题的能力；
具备以下经验更佳：
1、熟悉恶意软件分析、检测技术。熟悉网络安全、系统安全等攻击防御技术；
2、有图算法、强化学习、AI模型安全、AIOPS、攻防渗透、安全产品研发等相关经验者优先；
3、在学术会议发表过AI安全相关论文（如：NIPS,ICML,ACL,CVPR等），优先录用。
【工作内容】
1、基于海量网络数据和计算平台，分析网络攻击行为，构建威胁检测算法模型，包括Web安全、网络安全领域;
2、负责安全产品（AI防火墙、安全态势感知、安全云服务等）威胁检测和分析的核心开发、交付与运维工作，支撑各类安全产品安全竞争力构建。
3、应用数据挖掘、人工智能领域相关算法，构建业界领先的恶意软件检测、分析、挖掘技术",2023-12-07,boss直聘
人工智能算法设计工程师,北京-海淀,20k-40k·14薪,1-3年,硕士,人工智能算法,,,开普云,互联网,500-999人,"岗位责任：
1.负责人工智能领域的算法设计与开发
2. 负责前瞻性的科学研究工作、领域调研以及成果编写
3.能够根据任务需求撰写分析报告及PPT，能够将任务目标、研发思路、分析结果进行合理呈现。
任职要求：
1. 硕士及以上学历
2. 计算机科学与技术、软件工程、自动化控制等相关专业
3. 具有一定的人工智能理论基础，掌握自然语言处理、机器学习/深度学习、神经网络、模式识别、智能搜索、图神经网络等算法的理论框；
4. 具备较好的数学基础，相关课程成绩优异者优先；
5. 能够熟练运用Python、C/C++、Java、Matlab等至少一种编程语言，有基于Tensorflow、MxNet、Caffe、Pythorch等至少一种机器学习框架或Mahout、MLLib、GraphX等至少一种机器学习算法库从事算法设计经验者优先；
6. 具有人工智能领域科研项目经验者优先；
7. 能够独立开展技术攻关、技术调研和研究方案制定。",2023-12-09,boss直聘
"气象AI算法
工程师",北京-海淀,20k-25k,1-3年,本科,Python,计算机相关专业,数学/统计相关专业,锦华正航,其他专业服务,0-20人,"（1）负责气象AI大语言模型的研发工作，包括多模态数据预处理、自然语言处理、模型设计、训练、优化和应用等。
（2）负责气象AI大语言模型的训练数据预处理和标注，以及模型训练、评估和调优等工作。
（3）根据实际应用场景，优化模型性能和精度，提高模型在气象预报和气候变化预测等方面的准确性和实用性。
（4）负责气象AI大语言模型在多场景下的应用和推广，为相关部门和领域提供专业支持和解决方案。
（5）负责技术需求文档的撰写和审核，以及与客户的沟通、协调和合作等工作。
（1）具有本科及以上学历，计算机、数学、统计学等相关专业，具备气象领域相关研究经验者优先考虑。
（2）2年以上人工智能研发经验，熟悉自然语言处理、机器学习、深度学习及神经网络等相关知识，并具有实际项目经验，对各种算法和模型有深入理解；
（3）熟练掌握Python等编程语言，具备扎实的数据分析、挖掘和处理能力。
（4）熟悉常用的机器学习框架和工具，如Scikit-learn、TensorFlow、PyTorch、Transformers等。
（5）熟悉气象领域相关技术趋势和应用场景，了解AI大语言模型在气象领域的应用优缺点。
（6）主动性和责任心强，服从工作安排，有良好的团队合作精神，善于沟通,较强的需求理解能力。",2023-12-10,boss直聘
ai病理阅片算法工程师,北京-大兴,20k-40k,1-3年,硕士,语音/图像识别,生物医疗,Python,华伊,医疗设备/器械,,"ai病理阅片算法工程师
1.负责AI研发部门的管理工作，包括部门人才培养、技术研发、算法质量评估体系的建设、产品项目开发方面的战略制定与计划执行等工作。
2.探索前沿模型，针对不同业务场景，制定合适的算法和策略，不断优化效果和性能。
3.独立完成宫颈液基细胞学AI辅助诊断项目的算法研究及工程实现工作
4.带领算法团队，进行胸腹水、甲状腺、支气管、免疫组化等病理人工智能辅助诊断项目的开发。
Python
视觉图像算法
深度学习算法",2023-12-10,boss直聘
AI高级算法工程师,北京,35k-60k·13薪,1-3年,本科,深度学习,对话系统,情感分析,某大型社交网络公司,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",2023-12-09,boss直聘
ai算法研究员,北京,40k-70k·16薪,经验不限,本科,搜索/推荐,机器学习算法/工程化经验,深度学习经验,某知名互联网公司,互联网,,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",2023-12-10,boss直聘
ai算法,北京-朝阳,30k-60k·13薪,经验不限,本科,大模型算法,Python,参加算法相关竞赛/获奖,北京有信必达科技,计算机软件,,"职位描述:
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿多模态生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求:
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",2023-12-07,boss直聘
AI算法模型工程师,北京-昌平,25k-50k,1-3年,本科,无明显侧重,,,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",2023-12-09,boss直聘
AI算法模型工程师,北京,25k-50k,1-3年,本科,深度学习,强化学习,Python,某大型互联网金融公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",2023-12-10,boss直聘
AI算法优化专家,北京-大兴,30k-60k·15薪,经验不限,本科,研究导向,,,斑马网络,互联网,1000-9999人,"岗位职责：
-负责智驾算法在GPU/DLA等算力平台上的部署，包括模型量化、模型剪枝等技术
-负责智驾算法端到端性能优化，包括子图优化、算子优化、模型前后处理优化等技术
-与算法团队紧密合作，从性能/精度/部署成本等维度为算法团队提供输入和指标要求
-负责智驾整系统性能调试与优化，解决资源占用、资源竞争等问题，确保整系统达到上车指标
任职资格
-硕士5年以上工作经验，含2年以上AI高性能计算开发经验，且在GPU领域有2年以上开发经验
-熟练掌握C++/CUDA等编程语言，扎实的数据结构与算法能力，熟悉计算机体系架构等基础知识
-熟悉Xavier/Orin计算平台，熟练掌握TensorRT推理引擎，并有GPU/DLA算子开发经验者优先
-熟悉cuDNN、Cutlass等任一高性能算子库，并有相关开发经验者优先
-良好的发现问题、解决问题、团队协作和沟通能力。",2023-12-10,boss直聘
大模型算法（NLP/CV/机器学习）,北京,30k-60k·15薪,1-3年,本科,大模型算法,图像算法,自然语言处理算法,某知名互联网公司,互联网,1000-9999人,"岗位需求介绍：分为三大方向
第一，机器学习，包括NLP、CV算法，做预训练方向；
第二，强化学习：RLHF方向；
第三，AI infra：大规模分布式训练和推理框架方向
社招岗位寻访方向：
1】硬性要求：年轻、高潜，国内、外名校本、硕、博士，学历越高越好，获得计算机、数学等相关奖项越多越好，工作2~5年+，年纪不能太大，对标阿里P6及以上，字节2-1及以上。
第一梯队人选：满足第一条，且是阿里校招生--阿里星、百度校招生-百度AI DU、快手校招生-快Star、字节校招生2-1及以上级别的。即曾具备这些校招标签的人选~
第二梯队人选：满足第一条，且在知名互联网公司，正在从事大模型相关算法、机器学习等研发的年轻、高潜同学，对标职级能到阿里P6、字节2-1及以上的，
数据质量模型，画像：满足其一即可
1、搜索、评论、资讯类等场景长文本内容理解/类目/标签模型
2、基座模型预训练数据处理
预训练：语言模型，画像：满足其一即可
1、优先看基座模型预训练
2、或者垂类模型做Continue train的也可以，认知要好，nlp的深度要好。
3、NLP场景能力够强也是ok的，核心还是看认知，
预训练-多模态，画像：
1、做过多模态大模型的理解（关键词表征学习）或者生成；经验导向，看有相关经验的",2023-12-10,boss直聘
人工智能算法,北京,20k-40k·20薪,经验不限,本科,工智能算法和模型,,,某大型互联网公司,互联网,500-999人,"人工智能算法（济南/北京）
【岗位职责】
1.研究和开发人工智能算法和模型，包括大模型、知识图谱、深度学习、自然语言处理、计算机视觉、机器学习、深度学习、强化学习等，用于解决工业领域的各种问题，如生产优化、质量控制、故障预测等。
2.负责人工智能模型的设计、开发、测试和优化，不断提升模型的准确性和性能，以满足实际应用的需求。
3.研究和开发人工智能应用程序，包括界面设计、用户交互、数据可视化等方面，以提高用户体验和应用效果。
4.参与人工智能技术的推广和应用，包括技术交流、培训、咨询等方面，推动人工智能技术在工业领域的发展和应用。
【任职资格】
1.本科及以上学历，计算机、机器学习、数学等相关专业。
2.熟练掌握人工智能领域的各种算法和模型，包括机器学习、深度学习、强化学习等，并有实际项目经验。
3.熟悉常用的深度学习开源软件，如TensorFlow、PyTorch等，并具备相关使用经验；掌握云边协同技术，能进行云端训练、模型下发及边端部署服务全流程实施；
4.熟悉相关的数据分析和机器学习平台，如Spark、Hadoop等，并有相关项目经验。",2023-12-10,boss直聘
AI算法实习生,北京-海淀,9k-12k,经验不限,本科,无明显侧重,语音/图像识别,Python,驿心科技,互联网,,参与公司生成式人工智能相关研究和应用，工作能让包括并不限于：参与基于大语言模型的对话式产品研发和优化，如大模型训练及微调、加速优化等；参与公司AIGC类产品研发，如文生视频等多模态预训练及微调等。,2023-12-10,boss直聘
