岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
人工智能机器学习深度算法工程师【兼职】,北京-海淀,8k-14k,1-3年,本科,"Python
C/C++
MATLAB",成都俏嘴娃电子商务,电子商务,0-20人,"工作时间：不限
工作时段：不限
结算方式：月结
招聘截止时间：2024-05-16
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。",2023-12-26,boss
AI算法研究员 - 梧桐计划,北京,40k-60k·15薪,经验不限,本科,无明显侧重,某500强上市公司,基金,100-499人,"只看清北和QS20背景！！！
梧桐计划面向全球优秀的本硕博应届毕业生，我们将通过最硬核烧脑的笔试、面试，选拔出最具极客精神的量化新星，并发出“梧桐计划”专属Special offer。
工作职责：
利用公司强大的计算资源，挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法。
任职要求：
熟悉任一机器学习分支领域（如统计学习、深度学习、强化学习、组合优化）；
对量化行业感兴趣，并且有较强的工程实现能力；
计算机、数学、统计学或相关专业硕士或博士学位；
熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力；
熟悉至少一种深度学习框架：TF、PyTorch等。
加分项：
有ACM-ICPC/NOIP/NOI等赛事获奖经历/在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像。
说明：
不要求有金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用。
算法天才少年，知识图谱/搜广推/NLP/CV/机器学习/强化学习/深度学习，方向都可
C9以上，清北藤校优先，本硕博。
加分项：其他互联网大厂或者top量化公司的同量级offer，如华为天才少年、阿里星、腾讯大咖、美团北斗、快star等。
加分项：互联网大厂核心部门核心项目的实习，或者顶刊顶会，计算机专业顶会5-6篇；数学/物理专业1-2篇；
加分项：ACM、奥赛：数学/物理/信息学，全国级金牌/银牌以上",2023-12-21,boss
AI Agent算法工程师,北京-东城,50k-80k·13薪,经验不限,本科,"大模型算法
强化学习
Python
C/C++
优秀开源项目经历
团队管理经验
参加算法相关竞赛/获奖
Agent",昆仑天工,互联网,500-999人,"岗位职责：
1. 跟进工业界/学术界最新的大模型动态，特别是AI Agent方面的最新研究成果；
2. 参与前沿技术的技术研究和时间，对算法进行优化改进，提升系统的稳定性和性能；
3.和跨职能团队合作，包括产品、开发团队，确保按时交付高质量的Agent产品解决方案。
任职要求：
1. 统招本科及以上学历，计算机及相关专业，有较强的工程能力；
2. 有较强的自我驱动能力，能快速推进新任务的完成；
3.熟悉Agent技术领域最新的研究成果，有实际项目落地经验着优先。",2023-12-29,boss
银行正编！算法工程师 人工智能,北京,20k-40k,经验不限,本科,"机器学习算法/工程化经验
数学/统计相关专业
计算机相关专业",某500强上市公司,互联网金融,1000-9999人,"""岗位职责：
1、参与软件开发项目的具体实施；
2、负责程序编码开发工作，参与技术测试工作；
3、负责支持系统的推广培训等工作；
4、负责系统上线后升级维护需求的实施；
5、主要为银行核心业务、公司业务、中间业务、零售业务、金融市场、电子渠道及海外业务等开发项目进行系统分析与开发工作。""
""1、本科及以上学历，计算机及相关专业，两年及以上相关工作经验，
2、熟练掌握Java语言、C语言、C++、C#等开发语言，熟悉UNIX或LINUX操作系统，掌握MySQL、Oracle或其他数据库；
3、分布式方向：需熟练掌握Java语言，了解GO语言，熟悉Spring、Mybatis、HTML5等前后端开源框架，具备企业级分布式服务框架及服务治理领域开发经验者优先，具备分布式服务架构，Istio,Spring Cloud，Consul，ElasticSearch及分布式消息队列等框架及技术开发技能者优先；
4、前端方向：需三年以上web、安卓或IOS开发工作经验，精通web、Android App或IOS APP开发框架和开发模式，了解开发平台、Framework和底层设计原理，多线程、网络等相关知识；
5、JAVA平台方向：需熟练掌握Java语言及SSM等开源框架，熟悉http、socket等通讯协议，了解Restful，熟悉HTML5 、Jquary、Bootstrap、VUE等前端技术或框架，在底层技术平台领域具有开发经验者优先;
6、C语言平台方向：具备较强的UNIX或Linux C语言开发及系统设计能力，熟悉多进程通信、消息队列、socket通信等，熟悉嵌入式C语言数据库编程，具备shell脚本编程能力，三年以上相关开发经验；
7、人工智能方向：需有自然语言处理/计算机视觉/模式识别与分类相关教育背景和工作经验。熟悉TensorFlow、Keras等框架，熟练掌握Spark ML/MLLib 工具包，熟悉通过机器学习提升传统模型的精度、算法开发与优化过程，熟悉GBDT/XGboost/LSTM/CNN/RNN算法模型并有项目经验者优先；
8、安卓客户端方向：有扎实的Java和Kotlin语言基础，熟悉常用数据结构和算法；精通多线程和网络编程，对高性能程序设计、架构设计有较多经验，能快速搭建、调试或重构大规模软件代码；掌握数据加密、代码混淆、防破解、性能优化等技术；熟悉Android系统体系结构、framework、底层库；熟悉android系统打包编译、插件化、热修复等主流技术原理，对android系统框架、对客户端稳定性和性能优化有经验者优先；
9、苹果客户端方向：熟练掌握OC、Swift（有实际项目经验），并了解其底层原理如内存模型和内部实现原理，以及编译过程；精通iOS SDK中的UI、网络、XML/JSON解析等开发技术；对设计模式MVC，MVVM、APP架构，APP性能检测，Crash方案，解耦方案等有经验者优先；
10、有银行项目实施经验者优先；具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；""",2023-12-30,boss
AI算法工程师（政务大模型）,北京-西城,35k-55k·15薪,经验不限,本科,"计算机相关专业
数学/统计相关专业",中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",2023-12-30,boss
AI算法实习生,北京-海淀,9k-12k,经验不限,本科,"无明显侧重
语音/图像识别
Python
TensorFlow/PyTorch
CNN/RNN/LSTM
计算机相关专业
数学/统计相关专业
有国际期刊/会议论文发表",驿心科技,互联网,无,参与公司生成式人工智能相关研究和应用，工作能让包括并不限于：参与基于大语言模型的对话式产品研发和优化，如大模型训练及微调、加速优化等；参与公司AIGC类产品研发，如文生视频等多模态预训练及微调等。,2023-12-30,boss
ai算法,北京,20k-25k·16薪,经验不限,本科,"生物医疗
CNN/RNN/LSTM
R
Shell",某大型医疗器械公司,医疗器械,100-499人,"1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。",2023-12-29,boss
ai算法工程师,北京-海淀,18k-25k,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",2023-12-29,boss
人工智能算法工程师 24年毕业解决北京户口,北京-朝阳,15k-25k,经验不限,本科,人工智能算法,北京烽火万家,通信/网络设备,100-499人,"岗位职责：
1. 根据业务实际需求，选择或设计相应的机器学习或深度学习的算法；
2. 对算法模型进行训练、评估和优化，例如迁移学习、参数优化等；
3. 负责模型所需数据、图片的收集；
4. 对模型进行工程化实现，与项目整体系统做集成。
岗位要求：
1.本科及以上学历，计算机、通信、数学等相关专业；
2.熟练掌握信号与系统基本理论和分析方法；
3.熟练掌握C/C++/MATLAB/Python；
4.有责任心，乐于学习并具有团队合作精神，及良好的沟通能力。",2023-12-29,boss
ai高级算法工程师,北京,40k-70k,经验不限,本科,"搜索/推荐
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验",某500强上市公司,基金,100-499人,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",2023-12-29,boss
人工智能 NLP工程师,北京-朝阳,20k-40k·13薪,1-3年,本科,"DALLE、Midjourney
ChatGPT模型
StableDiffusion",上海美踏全宇数字科技,互联网,100-499人,"岗位职责：
1、承担基于GPT系列或者其他开源大模型的开发和调优工作，包括训练流程搭建、指令微调、Prompt工程以及面向下游任务的效果优化等；
2、负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
完成大规模预训练模型在游戏、影视等细分领域的落地，支持业务目标提升;
3、紧跟业界大模型进展，探索前沿技术，解决实际问题，包括智能问答、图文内容生成等；4、与其他团队密切合作，包括数据工程师、前后端工程师、产品经理等，实现高质量的产品和解决方案。
任职要求:
1、2年以上相关工作经验， 计算机、人工智能、数学等相关专业研究生学历，优秀者可放宽至本科，有相关方向论文者优先；
2、熟悉NLP主流大模型，如ChatGPT/T5/PaLM/LLaMA/GLM等,对模型背后的原理和各自适用场景有深入的理解。有大模型预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；
3、有小样本学习 (Few-shot learning)、提示学习(P‘rompt learning)等相关技术经验；
4、有扎实的自然语言处理理论和方法基础，掌握自然语言主要算法模型，具备对Transformer架构及其变体的深入理解；
5、熟悉常见的自然语言处理任务，如文本生成、语义理解、实体识别、知识抽取等；
6、扎实的编程基础：掌握至少一种开发语言如 Python、C、C++等，有基于PyTorch等深度学习框架的实战项目经验；
7、具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
8、具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。
9、关注AIGC领域的业界最新动态，了解 DALLE、Midjourney、StableDiffusion等前沿技术；
10、有CV、多模态项目经验。",2023-12-29,boss
"气象AI算法
工程师",北京-海淀,20k-25k,1-3年,本科,"Python
计算机相关专业
数学/统计相关专业",锦华正航,其他专业服务,0-20人,"（1）负责气象AI大语言模型的研发工作，包括多模态数据预处理、自然语言处理、模型设计、训练、优化和应用等。
（2）负责气象AI大语言模型的训练数据预处理和标注，以及模型训练、评估和调优等工作。
（3）根据实际应用场景，优化模型性能和精度，提高模型在气象预报和气候变化预测等方面的准确性和实用性。
（4）负责气象AI大语言模型在多场景下的应用和推广，为相关部门和领域提供专业支持和解决方案。
（5）负责技术需求文档的撰写和审核，以及与客户的沟通、协调和合作等工作。
（1）具有本科及以上学历，计算机、数学、统计学等相关专业，具备气象领域相关研究经验者优先考虑。
（2）2年以上人工智能研发经验，熟悉自然语言处理、机器学习、深度学习及神经网络等相关知识，并具有实际项目经验，对各种算法和模型有深入理解；
（3）熟练掌握Python等编程语言，具备扎实的数据分析、挖掘和处理能力。
（4）熟悉常用的机器学习框架和工具，如Scikit-learn、TensorFlow、PyTorch、Transformers等。
（5）熟悉气象领域相关技术趋势和应用场景，了解AI大语言模型在气象领域的应用优缺点。
（6）主动性和责任心强，服从工作安排，有良好的团队合作精神，善于沟通,较强的需求理解能力。",2023-12-10,boss
AI算法工程师(CV方向),北京,70k-100k,经验不限,本科,"深度学习
图像算法
C/C++
MATLAB
CV算法
人脸识别
肢体检测",某大型企业服务公司,企业服务,100-499人,"985 211 大厂优先
岗位职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职要求
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",2023-12-29,boss
aigc算法工程师（cv/nlp）,北京,20k-30k·14薪,1-3年,本科,"C/C++
OpenCV",某游戏公司,游戏,0-20人,"岗位需求
算法工程师
岗位职责
探索[AI+游戏]的产品方向和AIGC在3D游戏资产领域工业管线的设计开发。
将深度学习技术应用于可扩展的3D内容创建，协助模型调优，数据集工程，工具链开发。
构建工具和流水线抽象，设计和开发从模型到游戏内容生产的基础设施和工具
岗位要求
我们欢迎对机器学习，计算机视觉或NLP相关有研究兴趣和想法的同学。
优秀的数理基础，较强动手能力，良好的沟通能力和团队合作能力。
有深度学习框架(如Pytorch，conda)或CUDA编程能力优先，有生成模型(Generative Model)研究背景优先(如diffusion, Nerf, Magic3D)",2023-12-29,boss
大模型算法（NLP/CV/机器学习）,北京,30k-60k·15薪,1-3年,本科,"大模型算法
图像算法
自然语言处理算法
语音算法
C/C++
Python
分布式训练
算法工程化经验
发表算法相关优秀论文
参加算法相关竞赛/获奖",某知名互联网公司,互联网,1000-9999人,"岗位需求介绍：分为三大方向
第一，机器学习，包括NLP、CV算法，做预训练方向；
第二，强化学习：RLHF方向；
第三，AI infra：大规模分布式训练和推理框架方向
社招岗位寻访方向：
1】硬性要求：年轻、高潜，国内、外名校本、硕、博士，学历越高越好，获得计算机、数学等相关奖项越多越好，工作2~5年+，年纪不能太大，对标阿里P6及以上，字节2-1及以上。
第一梯队人选：满足第一条，且是阿里校招生--阿里星、百度校招生-百度AI DU、快手校招生-快Star、字节校招生2-1及以上级别的。即曾具备这些校招标签的人选~
第二梯队人选：满足第一条，且在知名互联网公司，正在从事大模型相关算法、机器学习等研发的年轻、高潜同学，对标职级能到阿里P6、字节2-1及以上的，
数据质量模型，画像：满足其一即可
1、搜索、评论、资讯类等场景长文本内容理解/类目/标签模型
2、基座模型预训练数据处理
预训练：语言模型，画像：满足其一即可
1、优先看基座模型预训练
2、或者垂类模型做Continue train的也可以，认知要好，nlp的深度要好。
3、NLP场景能力够强也是ok的，核心还是看认知，
预训练-多模态，画像：
1、做过多模态大模型的理解（关键词表征学习）或者生成；经验导向，看有相关经验的",2023-12-29,boss
【AI Researcher】人工智能算法工程师,北京,35k-55k·18薪,经验不限,本科,"深度学习经验
机器学习算法/工程化经验
计算机相关专业",某计算机软件公司,计算机软件,无,"岗位职责：
1. 开展LLM、多模态、NLP、CV、AIGC相关算法的研究与算法优化；
2. 开展LLM、多模态、NLP、CV、AIGC前沿算法研究到应用的转化；
3. 支持产品在LLM、多模态、NLP、CV、AIGC等方面技术需求的调研，提出解决方案，并参与实施。
岗位要求：
1. 3年及以上NLP、CV、AIGC或AI相关工作经验；
2. 有LLM、多模态相关经验；
3. 有产品思维，并具备良好的沟通能力；
4. 有较强的动手能力；
5. 有项目落地经验者优先；
6. 有顶会论文者优先。",2023-12-29,boss
AI算法工程师,北京-朝阳,20k-30k,1-3年,本科,"研究导向
Python
机器学习算法/工程化经验
计算机相关专业
深度学习经验
人工智能
Prompt Engineering
Finetune",时光乐章,医疗健康,20-99人,"公司简介：
时光乐章成立于2023年，背靠消费、文娱产业巨头，致力于打造 AI+心理健康用户服务体系。创始团队汇聚老牌产业大佬、心理学领域顶级权威、AI 领域国际顶尖科学家、VR/AR 知名企业创始人、管理咨询和私募股权投资等领域资深人士。
我们正在招聘一名专注于大语言模型（LLMs）的AI算法工程师加入我们的团队，该职位将直接汇报给CTO（AI领域顶尖科学家）。
职责：
1.使用大语言模型API进行应用程序开发
2.对LLMs执行提示工程微调，针对特定任务优化模型性能
3.熟悉大模型的主流multi-agent框架
4.熟知大模型的主流微调算法及向量数据库
5.负责技术文档的开发和维护，包括设计文档、用户手册以及故障排除指南
要求：
1.持有国内外一流院校计算机科学、数据科学、机器学习、人工智能或相关领域的学士或硕士学位
2.具备强大的Python编程能力，并有使用大模型API的经验
3.有产品上线经验者将被优先考虑
4.出色的问题解决能力，能独立完成任务，同时也能融入团队合作
5.优秀的沟通及人际交往技巧
关于福利：
1.足额缴纳五险一金。
2.试用期薪资全额发放。
3.上下班不打卡，自觉工作。
4.公司snack corner，无限零食随便吃。
全员搞笑精英，快来和我们一起来碰撞火花吧！！",2023-12-29,boss
自然语言处理方向算法工程师,北京-海淀,8k-12k·13薪,1-3年,本科,"机器学习
大模型算法
自然语言处理算法
Python
算法工程化经验",中科院信工所,信息安全,1000-9999人,"职位职责：
1. 设计、开发和优化自然语言处理算法和数据挖掘模型，用于文本分类、情感分析、实体识别、关系抽取等任务。
2. 研究和实现自然语言处理与机器学习算法的最新进展，以提高系统的性能和效率。
3. 处理和分析大规模文本数据，从中挖掘出有价值的信息和模式。
4. 与团队成员合作，解决实际问题并将算法应用到实际产品中。
职位要求：
1. 本科及以上学历，计算机科学、人工智能、数据科学或相关专业背景。
2. 具备扎实的自然语言处理和数据挖掘理论基础，熟悉常用的算法和模型，如词嵌入、循环神经网络、卷积神经网络、注意力机制、预训练语言模型等。
3. 熟练掌握Python编程语言，具备良好的编码和调试能力。
4. 具备数据处理和分析的经验，熟悉常用的数据挖掘工具和技术，如Pandas、NumPy、Scikit-learn等。
5. 熟悉深度学习框架，如TensorFlow、PyTorch等，并有相关项目经验者优先考虑。
6. 具备良好的沟通能力和团队合作精神，能够与不同背景的团队成员高效协作。",2023-12-28,boss
