岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
算法工程师（AI 大数据 图像 智能车）,北京-海淀,20k-40k·16薪,经验不限,本科,,外企德科,,无,"职位描述
岗位职责
我们致力于软件算法的研究设计，通过算法大幅改善产品体验和性能效率
1、可以对单点算法性能做出极致优化，或具备全局视野，能从 E2E考虑算法应用竞争力体现;
2、负责移动终端设备人工智能、大数据挖掘算法和解决方案的研究、设计、验证和交付;
3、 对传感器在专业运动健康、生物识别、情景感知等技术做出优秀的用户体验。
岗位要求
1、具备人工智能AI算法、大数据算法、数据结构算法设计和开发能力;
2、具备前沿人工智能技术跟踪和业界趋势的跟踪和算法应用能力;
3、至少掌握Java/Python/C其中一种开发语言，掌握Hadoop开源工具使用更佳;
4、至少掌握一种数据挖掘工具和深度模型训练工具,如 Tensorflow.caffe.matlab;
5、具备较强的动手实践能力,能够快速把想法用算法程序的实现;
6、具备挑战不可能的精神和创新意识，主动担责，攻坚破难;
7、具备良好的团队合作精神，善于沟通。",2024-12-28,智联
AI算法工程师,北京-丰台,20k-40k,5-10年,本科,"视觉图像算法
PyTorch
定位算法
Python
C++",星宠王国(北京)科技有限公司,云计算/大数据,20-99人,"职位描述
视觉图像算法PyTorch定位算法PythonC++
岗位要求 （有犬鼻纹和虹膜相关经验） 1、本科及以上学历，5年及以上AI、视觉、图像处理相关领域工作经验; 2、熟悉Java、Scala、Python/R等语言；有图像处理、视觉AI项目经验，熟练掌握 Spark ML、Tensorflow、Python Sklearn、Caffe等机器学习和深度学习框架中的一种或多种优先; 3、有过深度学习、强化学习、自然语义、数据挖掘、海量数据处理和并行计算应用经验者优先; 4、孰练掌握互联网或工业制造领域各类算法问题和解决方案，有人工智能落地到实际业务者优先。
岗位职责 1、匹配业务场景，设计图像、视觉算法建模解决方案，对业务数据进行分析、算法设计及验证，并负责各类AI图像处理挖掘算法的开发、应用、监控优化，支撑公司数据挖掘落地; 2、参与AI图像视觉产品技术架构设计、技术规划、技术选型; 3、参与AI图像视觉系统的关键性能调优、重大问题攻关，解决在商用过程中碰到的关键技术难题; 4、开展图像视觉挖掘分析算法/工具研究工作，研发创新方法解决业务问题，并组织相应方法/工具的引入，技术规范制定和推广。 5、有犬鼻纹和虹膜项目经验。 6、同时熟悉jiva语言优先考虑",2024-12-12,智联
NLP算法专家,北京-海淀,30k-50k·13薪,3-5年,硕士,"搜索引擎
Python
多模态算法
大模型算法",北京芳华明德文化艺术有限责任公司,培训/辅导服务,100-299人,"职位描述
搜索引擎Python多模态算法大模型算法
岗位职责：
1.构建知识产权领域文本数据的NLP核心能力，对相关算法模型进行选型和优化；
2.负责海量文本数据的分析理解工作，包括但不限于文本语义表示，分类，聚类，检索，抽取，生成等；
3.跟踪前沿算法，主动使用新技术、新算法、新思路、新观念，负责NLP算法系统的开发和优化。
4.与用户紧密沟通合作，深度了解用户业务需求，提供精细化的nlp分析服务，并撰写方案及培训材料；
5.与公司产品研发团队紧密沟通合作，通过提出需求，使用反馈等方式辅助完善产品功能；
6.对团队其他成员给予必要的工作上的指导和帮助。
岗位要求：
1.对创新和挑战的工作有激情，有良好的沟通能力和团队管理能力，具备出色的规划、执行力，强烈的责任感，以及优秀的学习能力。
2.统招一本及以上学历，计算机，数学，统计学或相关专业；
3.熟练使用python开发语言，熟练掌握机器学习、深度学习的基础理论和方法，熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等）；
4.具有较好的方案写作能力，较好的学习能力和分析解决问题的能力；
5.具有良好的团队精神，沟通能力和用户服务意识，有带领团队经验者优先；
6.具有多模态、AIGC、大模型等相关经验者优先；
7.高质量相关论文ACL，EMNLP，COLING，NAACL作者优先。
本研发中心可以提供包括薪资和期权在内的具有行业竞争力的待遇，具体情况面谈。
公司和团队介绍
知呱呱科技服务有限公司是全国领先的知识产权大数据与整体解决方案提供商，致力于用心成就每一次创新，促进人类智慧进步事业。公司的企业文化是成就客户，拼尽全力，合作共赢，拥抱变化，和突破成知呱呱技术研发中心分布在北京，天津和西安几大城市，以技术作为核心驱动力，涵盖与知识产权相关所有业务，是最值得创新者信赖的伙伴，是人才成长和实现价值的沃土！我们诚挚欢迎广大有聪明才智和创业激情的人才加入！研发中心的团队文化是阳光，创新，和追求卓越！在这里您将可以和大数据，人工智能以及互联网领域的具有聪明才智的年轻人一同工作，探讨和发展职业；你将作为技术领头人组建并且带领团队走向成功，实现人生的创业梦想；在这里您将可以沉浸在人类智慧结晶的知识类大数据海洋中，时刻紧跟各个领域的前沿科学技术和知识创新，并且为祖国的知识产权自主创新伟大目标贡献力量！",2024-12-19,智联
AI算法工程师(004156),北京-海淀,20k-35k,3-5年,本科,"CNN
C++
深度学习
嵌入式工业环境部署",北京辰安科技股份有限公司,,无,"职位描述
CNNC++深度学习嵌入式工业环境部署
岗位职责:
1、负责以图像及视频处理为核心的机器视觉算法开发和应用；
2、密切关注深度学习和机器学习领域的最新进展，关注物体检测、识别、姿态估计等任务的进展。
3、负责深度学习模型/图像处理算法在嵌入式设备/移动端的开发部署及性能优化。
任职要求:
1、 计算机相关专业，本科及以上学历，3年以上相关工作经验；
2、 优秀的分析问题和解决问题的能力，对新技术充满好奇心，爱挑战高难度，善于提出解决方案并快速验证；
3、 熟悉Pytorch/TensorFlow/Caffe等计算机视觉框架的一种或多种开源深度学习框架；
4、 熟悉当前主流的CNN、RNN等网络和常用算法，熟练掌握网络的训练和优化；
5、 有较强的英文文献阅读和算法实现能力；
6、 有良好的团队合作和沟通能力。
7、 熟悉模型压缩、定点化等优化方法；
8、 有海思、瑞芯微平台应用部署经验者优先；",2024-12-30,智联
AI手势算法工程师,北京-海淀,30k-60k·15薪,5-10年,硕士,"图像算法
PyTorch
TensorFlow",上海欣聘信息技术有限公司,人力资源服务,20-99人,"职位描述
图像算法PyTorchTensorFlow
职位描述
1、负责AI深度学习算法在AR/MR领域应用的研究和落地；
2、主导手势交互、空间感知等功能的技术研发和产品化；
3、推动AI算法在AR/MR领域上的前沿探索。
职位要求
1、计算机、AI、电子、自动化等相关专业硕士学历,5年以上经验；
2、熟悉至少一种主流的深度学习框架，如pytorch/tensorflow等；
3、拥有丰富的深度学习算法研发或项目经验，有手势、人体追踪和识别相关经验者优先；
4、有XR相关领域算法研发和产品化经验者优先；
5、有发表过CV方向高质量会议或期刊论文者优先；
6、有AI竞赛优胜经验者优先。",2024-12-30,智联
视频AI算法工程师,北京-海淀,15k-30k·13薪,经验不限,本科,"SAM
YOLO
pytorch
TensorFlow
Python
C/C++
Java
GO
计算机
软件工程",龙软科技,"计算机软件,IT服务,计算机软件,矿产/采掘",300-499人,"职位描述
SAMYOLOpytorchTensorFlowPythonC/C++JavaGO计算机软件工程
岗位职责：
1.负责当前产品线的代码改进和完善，增强产品的可扩展性；
2.负责系统的功能测试与项目维护；
3.负责项目相关问题的内部系统、外部系统的技术支持，技术培训等；
4.参与产品策划，完成项目的功能设计与脚本化代码实现；
5.协助完成策划方案与需求明细，负责项目开发过程中相关文档的编写；
6.完成上级领导交办的其他任务。
任职条件：
1. 本科及以上学历，计算机，软件工程，信息系统等相关专业优先；
2. 熟悉CV领域基本模型算法如YOLO，SAM等，在特定领域有相关模型训练实践经验；
3. 熟悉常见深度学习框架，如Pytorch, Tensorflow等；
4. 具有基础算法和编程能力，熟悉常见编程语言，包括但不限于Python, C/C++, Java, Go等；
5. 具备良好的沟通表达能力以及团队合作精神，具有强烈的工作责任心。",2024-12-20,智联
AI算法工程师 (校招),北京-海淀,20k-40k·14薪,经验不限,硕士,"图像算法
C++
机器视觉
深度学习
Caffe
目标检测
检测算法
Python",北京阿丘机器人科技有限公司,"人工智能,企业服务",300-499人,"职位描述
图像算法C++机器视觉深度学习Caffe目标检测检测算法Python
岗位职责：
1、参与构建和优化、实现和部署面向工业检测的AI图像算法。
任职要求：
1、数学、计算机、电子等相关专业，硕士及以上学历，英语读写能力强；
2、了解AI图像算法最新技术前沿，熟悉AI图像算法构建和优化；
3、掌握C++编程和代码优化；
4、学习能力和创新能力强；
5、有工业检测应用经验者优先。
职位福利：五险一金、补充医疗保险、14薪、创业公司、股票期权、带薪年假、餐补",2024-12-28,智联
AI算法工程师,北京-海淀,20k-40k,3-5年,硕士,机器人算法,北京金之盾信息技术有限公司,"IT服务,计算机软件,计算机硬件",100-299人,"职位描述
机器人算法
（一）公司简介：
金之盾针对公安行业应用市场，致力于研究、开发、整合、推广完整的公安行业应用解决方案和产品，是国内领先的公安行业信息技术咨询服务商、软件开发商和系统集成商。
（二）岗位职责：
1. 负责人工智能前沿技术领域的研究，负责机器学习平台的选型，框架搭建，开发及优化；
2. 负责机器学习/深度学习/人工智能相关算法实现，算法优化和性能评估；
3. 参与核心代码的开发，解决项目开发过程中的技术问题；
（三）岗位要求：
1. 研究生及以上学历，计算机类、数学类相关专业，软件工程、机器学习、人工智能相关研究方向优先；
2. 熟练掌握基础数学知识，具备扎实的机器学习基础，掌握CNN、RNN、LSTM、Bi-LSTM、ResNet、K-means等常用深度学习算法；
3. 熟练掌握常用深度学习工具和语言，包括：Python、TensorFlow、scikit-learn、Matlab等；
4. 对技术充满热情和兴趣，关注业界自然语言处理的技术动态和行情；
5. 逻辑分析能力强，学习能力强，具备良好的沟通表达能力和团队协作精神；
6. 具备某一行业专家系统研究或工程经验者优先。
职位福利：节日福利、全勤奖、餐补、通讯补助、带薪年假、高温补贴、五险一金、绩效奖金",2024-12-20,智联
ai数据算法工程师,北京-海淀,15k-16k,1-3年,本科,"Python
Shell
语音数据
模型训练
深度学习
自然语言处理",首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
PythonShell语音数据模型训练深度学习自然语言处理
【岗位职责】
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】
1. 精通linux平台
2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法
3. 具备良好的逻辑思维能力、沟通能力，做事认真细心
4. 有深度学习、自然语言处理相关经验者优先
5.本科及以上，1年以上工作经验",2024-12-29,智联
AI算法工程师,北京-海淀,30k-60k·13薪,5-10年,硕士,"视觉图像算法
自然语言处理
C++
Python",北京达美盛软件股份有限公司,"计算机软件,IT服务",500-999人,"职位描述
视觉图像算法自然语言处理C++Python
岗位描述:
1、支撑开发团队与项目团队的算法需求，并参与相关产品、项目的可行性评估；
2、设计并实现相关算法，主要包括机器视觉（语义分割、目标检测、图像分类、行为检测等）、自然语言处理（分类、语义理解）和其它场景中的传统机器学习、数据挖掘类算法；
3、跟进国际前沿研究进展，能够快速验证相关算法是否能够在真实场景中落地应用；
任职要求:
1、5年以上相关经验，计算机、电子或数学等相关专业硕士及以上学历；
2、熟练使用C++或Python编程语言；
3、熟悉计算机视觉中多数标准任务的常见算法，常见任务包括图像及点云数据的语义分割、分类、目标检测等；
4、熟悉自然语言处理中多数标准任务的常见算法，常见任务包括文本分类、实体识别、关系抽取、问答系统等；
5、熟悉机器学习、深度学习相关理论，能够根据产品、项目中的实际情况分析、设计相应算法，并工程化应用；
6、熟悉PyTorch、TensorFlow等主流深度学习框架；
7、较强的编码能力与良好的编程风格；
8、较强的前沿研究、论文追踪、文档撰写能力。
职位福利：周末双休、五险一金、带薪年假、弹性工作、员工旅游、定期体检、补充医疗保险、绩效奖金",2024-12-30,智联
AI算法工程师,北京-大兴,15k-25k·14薪,经验不限,硕士,"PyTorch
MXNet
CNTK",天源迪科,,无,"职位描述
PyTorchMXNetCNTK
岗位职责：
1、使用 NLP、语音合成和虚拟人相关技术，开发和改进 AI 培训产品。
2、与产品和工程团队紧密合作，将算法应用到实际产品中，提升产品的智能化水平。
3、基于 LLM 开发虚拟人实时交互培训授课产品，与虚拟人口播视频课件生成开发。
4、理解人机交互体验并不断优化性能降低延迟；
工作要求：
1、熟悉实时交互数字人、数字人播报视频制作等虚拟人相关技术，熟练使用视频相关处理技术，FFmpeg、OpenCV等。
2、熟练掌握机器学习和深度学习的基本原理，熟悉常见AI生成模型框架；
3、在数字人相关开源产品开发使用，二次封装等有商用实践经验；如：NeRF、 wav2lip、Fay、SadTalker、video-retalking等等。
4、在内容生成方向有较为深入的研究和探索，富于热情，自驱力强，勇于进行创新实践和技术突破。
5、硕士及以上学历，计算机科学、AI或相关领域的专业背景；
6、扎实的编程基础，良好的工程能力和相关经验。",2024-12-27,智联
AI算法工程师,北京-昌平,15k-20k·14薪,1-3年,本科,"CNN
智能机器人
TensorFlow
PyTorch",图湃(北京)医疗科技有限公司,"医疗设备/器械,医疗设备/器械",100-299人,"职位描述
CNN智能机器人TensorFlowPyTorch
岗位描述
1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。
任职要求：
软件、计算机、自动化、生物医学工程专业背景或临床医学背景
1. 两年深度学习CNN算法实践经验 ，精通pytorch或tensorflow中的一种 并熟练使用opencv算法库。
2. 有SCI期刊或会议学术成果发表者优先。
3. 具备良好的英文读、写能力。
4. （独立选项）具备医学尤其是眼科医学背景，对人工智能产品熟悉了解的，可选择成为AI项目经理。
职位福利：五险一金、股票期权、全勤奖、餐补、免费班车、补充医疗保险、14薪、定期体检",2024-12-30,智联
NLP高级算法工程师,北京-顺义,30k-50k·13薪,3-5年,本科,"信息抽取
PyTorch
Python",北京壹永科技有限公司,"互联网,医药制造",100-299人,"职位描述
信息抽取PyTorchPython
工作内容：
1、根据业务需求，负责算法实现方案的设计、规划和实施，推动算法模型的落地应用部署和持续迭代；
2、熟练掌握自然语言处理（NLP）基础算法技术，包括分词、词向量、信息抽取、Transformer等；
3、具有实体抽取、关系抽取、短文本匹配等实际工作经验；
4、具有医疗行业信息抽取及标准化场景应用的实际落地经验者优先。
5、具有大模型使用经验者优先。
任职要求：
1、本科及以上学历（硕士优先），计算机相关专业，具备5年以上自然语言处理（NLP）、数据挖掘相关领域的工作经验，最好有团队管理经验；
2、对人工智能、大数据、信息抽取领域有深入了解和实践经验；
3、具备扎实的编程能力，熟练掌握Python、pytorch等编程语言和框架；
4、熟悉并掌握分词、词向量、序列标注、关系提取、短文本匹配、文本分类，同义词挖掘等算法技术。
5、良好的文档、沟通表达能力。",2024-12-01,智联
算法工程师(点云ai方向),北京-昌平,25k-40k,3-5年,本科,"深度学习
自动驾驶
激光雷达感知
点云感知
AI
POINT PILLAR",北京永生鼎立信息技术有限公司,"计算机软件,互联网,IT服务",100-299人,"职位描述
深度学习自动驾驶激光雷达感知点云感知AIPOINT PILLAR
岗位职责
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算;
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升。
任职要求:
1、统招本科及以上学历，要有ai模型训练和使用经验具备深度学习经验；
2、有至少4年工作经验;",2024-12-23,智联
AI算法工程师,北京-顺义,15k-30k,5-10年,本科,"自然语言处理
视觉图像算法",智联猎头,"互联网,人力资源服务",1000-9999人,"职位描述
自然语言处理视觉图像算法
岗位职责：
1.负责公司内部的AI需求承接和模型建设工作；
2.负责公司外部AI需求的方案解决和集团AI能力的承接。
3.参与数据中台中AI能力的平台搭建和运维工作。
要求：
1.计算机、通信、数学方向的本科及以上，5年以上的工作经验;
2.熟悉图像处理基础理论、图像识别、机器学习等相关算法，有机器学习或深度学习研究背景。
3.有深度学习模型框架（如：cnn、rnn、lstm、fcn、VGG16、resnet等）使用经验。
4.熟悉至少一种常用深度学习计算框架，包括但不局限Caffe，Tensorflow，Torch等；
5.有深度学习模型框架（如：cnn、rnn、lstm、fcn、VGG16、resnet等）使用经验。
6.良好的自学能力，可以快速学习和掌握新的方法和技术；具备项目团队管理能力，具备文档编写能力。
职位福利：周末双休、带薪年假",2024-01-04,智联
高级NLP算法工程师,北京-海淀,25k-50k·16薪,经验不限,本科,"Python
舆情监控
主题模型
决策树
逻辑回归
PyTorch
情感分析
文本分析
句法分析
舆情分析
搜索引擎",浪潮集团,,无,"职位描述
Python舆情监控主题模型决策树逻辑回归PyTorch情感分析文本分析句法分析舆情分析搜索引擎
工作职责:
1、负责 NLP 相关底层技术和平台的研发与实现；
2、运用先进的自然语言处理及机器学习技术, 研发特定场景下文本标签、信息抽取，问答系统，任务型聊天机器人等产品；
任职资格：
1、计算机、数学、统计学等相关专业，硕士以上学历,至少有一年以上的工作经验。
2、 精通Java、C++/Python中至少一门编程语言，有扎实的编程能力，至少精通一种深度学习框架，Tensorflow、Pytorch 等。
3、有2年以上NLP相关工作经验，有预训练（如BERT、GPT）、超大规模数据和大模型训练与落地相关经验，包括但不限于文本分类/聚类、实体识别、关键词抽取、情感分析、语言模型、自动摘要、知识推理等；
4、具备工程架构能力， 参与过大规模机器学习算法的架构设计与算法优化工作者优先；
5、有强烈的责任心和团队精神，善于沟通，自驱力强，主动完成目标。
职位福利：带薪年假、定期体检、节日福利、餐补、五险一金、绩效奖金、定期团建、年底双薪",2024-12-21,智联
AI算法工程师,北京-海淀,15k-16k,1年以下,本科,,首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】1. 精通linux平台2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法3. 具备良好的逻辑思维能力、沟通能力，做事认真细心4. 有深度学习、自然语言处理相关经验者优先",2024-12-30,智联
