岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
视觉ai算法工程师,北京-海淀,20k-40k·15薪,1-3年,本科,,南方新华,,无,"职位描述
岗位职责及主要工作描述
负责视觉类算法的部署优化，将相关算法进行工程化落地实现。
负责视觉相关的算法在嵌入式设备（NPU、GPU等AI芯片）上的轻量化与部署；
负责业务的视觉感知算法的研发和迭代；
负责真实业务场景的问题分析、跟踪及解决。
专业技能要求
熟练使用C/C++、CUDA、Python，有良好的数据结构和算法基础，熟悉Linux开发环境；
掌握AI算法加速、量化、剪枝，模型搜索相关的技术及工具链；
具有深度学习算法模型量化移植和应用落地经验，具备独立进行算法应用问题排查及定位能力；
有Jetson GPU、Atlas等相关芯片移植优化经验者优先；
良好的团队合作，沟通和协作能力
可解决北京工作居住证，表现优异者协助解决户口，以及发放期权激励。
应届生可解决北京户口",2024-01-04,智联
AI算法工程师,北京-昌平,15k-20k·14薪,1-3年,本科,"CNN
智能机器人
TensorFlow
PyTorch",图湃(北京)医疗科技有限公司,"医疗设备/器械,医疗设备/器械",100-299人,"职位描述
CNN智能机器人TensorFlowPyTorch
岗位描述
1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。
任职要求：
软件、计算机、自动化、生物医学工程专业背景或临床医学背景
1. 两年深度学习CNN算法实践经验 ，精通pytorch或tensorflow中的一种 并熟练使用opencv算法库。
2. 有SCI期刊或会议学术成果发表者优先。
3. 具备良好的英文读、写能力。
4. （独立选项）具备医学尤其是眼科医学背景，对人工智能产品熟悉了解的，可选择成为AI项目经理。
职位福利：五险一金、股票期权、全勤奖、餐补、免费班车、补充医疗保险、14薪、定期体检",2024-01-04,智联
AI算法工程师,北京-海淀,30k-60k·13薪,5-10年,硕士,"视觉图像算法
自然语言处理
C++
Python",北京达美盛软件股份有限公司,"计算机软件,IT服务",500-999人,"职位描述
视觉图像算法自然语言处理C++Python
岗位描述:
1、支撑开发团队与项目团队的算法需求，并参与相关产品、项目的可行性评估；
2、设计并实现相关算法，主要包括机器视觉（语义分割、目标检测、图像分类、行为检测等）、自然语言处理（分类、语义理解）和其它场景中的传统机器学习、数据挖掘类算法；
3、跟进国际前沿研究进展，能够快速验证相关算法是否能够在真实场景中落地应用；
任职要求:
1、5年以上相关经验，计算机、电子或数学等相关专业硕士及以上学历；
2、熟练使用C++或Python编程语言；
3、熟悉计算机视觉中多数标准任务的常见算法，常见任务包括图像及点云数据的语义分割、分类、目标检测等；
4、熟悉自然语言处理中多数标准任务的常见算法，常见任务包括文本分类、实体识别、关系抽取、问答系统等；
5、熟悉机器学习、深度学习相关理论，能够根据产品、项目中的实际情况分析、设计相应算法，并工程化应用；
6、熟悉PyTorch、TensorFlow等主流深度学习框架；
7、较强的编码能力与良好的编程风格；
8、较强的前沿研究、论文追踪、文档撰写能力。
职位福利：周末双休、五险一金、带薪年假、弹性工作、员工旅游、定期体检、补充医疗保险、绩效奖金",2024-01-04,智联
AI视觉算法工程师,北京-海淀,20k-40k,1-3年,硕士,"视觉图像算法
OpenCV
Python
C/C++
工业机器人
智能机器人",北京京城机电控股有限责任公司,"电气机械/电力设备,仪器仪表制造",1000-9999人,"职位描述
视觉图像算法OpenCVPythonC/C++工业机器人智能机器人
职位描述：
1.负责 2D/3D 视觉算法的设计、研发、测试与部署，包括但不限于目标检测、跟踪、分割等算法研发
2.图像预处理及后处理算法的研发，包括去噪、分割、特征提取、融合、重建等
任职要求：
1. 硕士以上学历
2. 精通 C++, Python 编程
3. 熟练使用 OpenCV 、HalconLab-view、Python等机器视觉开发包
4. 有图像分割、立体视觉标定、三维重建、相机标定等领域工作经验者优先
5. 熟悉 Linux 开发环境，具备ROS、 QT 开发经验者优先
6. 有模式识别、图像匹配、特征提取以及其他常用的机器学习、深度学习算法的研发及使用经验，数学功底扎实
7. 熟悉图像处理常用算法，对目标检测、图像分类、实例分割、目标跟踪等算法有深入理解",2024-01-04,智联
AI算法工程师,北京-海淀,20k-40k·15薪,3-5年,本科,"深度学习
机器学习
图像处理
Python
TensorFlow
深度学习算法",北京朗视仪器股份有限公司,"医疗设备/器械,医疗设备/器械",300-499人,"职位描述
深度学习机器学习图像处理PythonTensorFlow深度学习算法
岗位职责：
1、负责公司AI医疗项目的算法设计和实现；
2、提出和实现最前沿的算法，结合医疗场景实现科研成果产出；
3、推动深度学习算法在AI医疗应用领域的性能优化和落地；
4、进行医疗AI方向的深度学习算法等前沿技术的研发储备；
任职要求：
1、本科及以上学历；医疗影像处理，计算机视觉，机器学习生物医学工程等相关专业；
2、机器学习和图像处理基础扎实，熟悉深度学习计算机视觉中的经典应用，包括图像分类、检测、分割等；
3、至少熟练应用一种深度学习开源框架；
4、对新技术充满好奇心，善于提出idea并快速动手验证。
★我司可为符合留学生落户条件的毕业生提供就业落户机会。
★我司可择优为应届生落户。
职位福利：五险一金、交通补助、餐补、通讯补助、带薪年假、补充医疗保险、定期体检",2024-12-19,智联
算法工程师（AI 大数据 图像 智能车）,北京-海淀,20k-40k·16薪,经验不限,本科,,外企德科,,无,"职位描述
岗位职责
我们致力于软件算法的研究设计，通过算法大幅改善产品体验和性能效率
1、可以对单点算法性能做出极致优化，或具备全局视野，能从 E2E考虑算法应用竞争力体现;
2、负责移动终端设备人工智能、大数据挖掘算法和解决方案的研究、设计、验证和交付;
3、 对传感器在专业运动健康、生物识别、情景感知等技术做出优秀的用户体验。
岗位要求
1、具备人工智能AI算法、大数据算法、数据结构算法设计和开发能力;
2、具备前沿人工智能技术跟踪和业界趋势的跟踪和算法应用能力;
3、至少掌握Java/Python/C其中一种开发语言，掌握Hadoop开源工具使用更佳;
4、至少掌握一种数据挖掘工具和深度模型训练工具,如 Tensorflow.caffe.matlab;
5、具备较强的动手实践能力,能够快速把想法用算法程序的实现;
6、具备挑战不可能的精神和创新意识，主动担责，攻坚破难;
7、具备良好的团队合作精神，善于沟通。",2024-12-28,智联
算法工程师（点云ai方向）,北京-昌平,40k-45k·16薪,3-5年,本科,激光雷达感知算法,三一集团有限公司,,无,"职位描述
激光雷达感知算法
岗位职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业从业经验",2024-01-04,智联
AI算法工程师,北京-海淀,50k-70k,3-5年,硕士,"C++
Python
TF
PyTorch",深圳市拓普明途企业管理咨询有限公司,"人力资源服务,人力资源服务,咨询服务",20-99人,"职位描述
C++PythonTFPyTorch
工作职责：
1. 利用公司强大的计算资源，挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
职位福利：五险一金、周末双休、弹性工作",2024-12-30,智联
NLP算法专家,北京-海淀,30k-50k·13薪,3-5年,硕士,"搜索引擎
Python
多模态算法
大模型算法",北京芳华明德文化艺术有限责任公司,培训/辅导服务,100-299人,"职位描述
搜索引擎Python多模态算法大模型算法
岗位职责：
1.构建知识产权领域文本数据的NLP核心能力，对相关算法模型进行选型和优化；
2.负责海量文本数据的分析理解工作，包括但不限于文本语义表示，分类，聚类，检索，抽取，生成等；
3.跟踪前沿算法，主动使用新技术、新算法、新思路、新观念，负责NLP算法系统的开发和优化。
4.与用户紧密沟通合作，深度了解用户业务需求，提供精细化的nlp分析服务，并撰写方案及培训材料；
5.与公司产品研发团队紧密沟通合作，通过提出需求，使用反馈等方式辅助完善产品功能；
6.对团队其他成员给予必要的工作上的指导和帮助。
岗位要求：
1.对创新和挑战的工作有激情，有良好的沟通能力和团队管理能力，具备出色的规划、执行力，强烈的责任感，以及优秀的学习能力。
2.统招一本及以上学历，计算机，数学，统计学或相关专业；
3.熟练使用python开发语言，熟练掌握机器学习、深度学习的基础理论和方法，熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等）；
4.具有较好的方案写作能力，较好的学习能力和分析解决问题的能力；
5.具有良好的团队精神，沟通能力和用户服务意识，有带领团队经验者优先；
6.具有多模态、AIGC、大模型等相关经验者优先；
7.高质量相关论文ACL，EMNLP，COLING，NAACL作者优先。
本研发中心可以提供包括薪资和期权在内的具有行业竞争力的待遇，具体情况面谈。
公司和团队介绍
知呱呱科技服务有限公司是全国领先的知识产权大数据与整体解决方案提供商，致力于用心成就每一次创新，促进人类智慧进步事业。公司的企业文化是成就客户，拼尽全力，合作共赢，拥抱变化，和突破成知呱呱技术研发中心分布在北京，天津和西安几大城市，以技术作为核心驱动力，涵盖与知识产权相关所有业务，是最值得创新者信赖的伙伴，是人才成长和实现价值的沃土！我们诚挚欢迎广大有聪明才智和创业激情的人才加入！研发中心的团队文化是阳光，创新，和追求卓越！在这里您将可以和大数据，人工智能以及互联网领域的具有聪明才智的年轻人一同工作，探讨和发展职业；你将作为技术领头人组建并且带领团队走向成功，实现人生的创业梦想；在这里您将可以沉浸在人类智慧结晶的知识类大数据海洋中，时刻紧跟各个领域的前沿科学技术和知识创新，并且为祖国的知识产权自主创新伟大目标贡献力量！",2024-12-19,智联
ai图像算法工程师,北京-丰台,18k-19k,5-10年,本科,"图像识别产品
人脸识别产品
机器人
Python
PyTorch",先进数通,,无,"职位描述
图像识别产品人脸识别产品机器人PythonPyTorch
1、有AI项目经验，有图像数据处理经验；
2、可独立组织大规模数据集的构建，有数据抓取（使用爬虫工具），数据标注，数据处理经验，了解AI模型训练流程；
3、熟练使用Python，有大模型项目者优先；",2024-12-29,智联
ai算法工程师,北京-海淀,10k-15k,3-5年,本科,"AI机器人训练
智能客服训练
电商类AI训练
智能家居训练
金融类AI训练
政务类AI训练
医疗类AI训练",上海兴岩信息科技有限公司,"互联网,IT服务,证券/期货",100-299人,"职位描述
AI机器人训练智能客服训练电商类AI训练智能家居训练金融类AI训练政务类AI训练医疗类AI训练
A-Air系统004-AI运维工程师-北京
特殊说明：
要求 python 熟练，有使用 python 为主的工作的经验
有大量文本、图像数据处理经验
***本科学信网的简历（至少二本） 1周内可到岗的
岗位职责：
1、负责现场各AI线上应用必要正样本、负样本的采集、汇总，支持算法的持续迭代；
2、负责技术运维相关的文档、手册、流程编写整理。
3、根据用户需求，部署测试及功能上线支持保障工作，跟进问题处理并及时有效跟客户沟通，提供快速有效的沟通和反馈；
4、负责系统日常监控和故障处理，保证业务系统的高并发和高可用性，遇到故障及时定位并找出解决办法；
任职要求：
• 工作积极主动、细致、耐心、踏实，具备优秀的抗压能力
• 具备较好团队合作精神，能与团队协同获得成功
• 具备良好的沟通、应变能力，普通话标准
PS：
岗位关键词：AI、运维
经验要求：
1、3年以上AI运维经验，熟悉AI迭代流程；
2、有计算机视觉模型数据清洗、标注相关经验
3、对docker容器，镜像，网络，存储，持久化，监控有一定的理解；
4、具备很强的ownership，故障排查能力，多线程工作能力，有很好的技术敏感度和风险识别能力；
5、良好的客户服务意识，善于团队协作，能够承受较大的工作压力。
专业要求：python、shell",2024-01-04,智联
AI视觉算法工程师,北京-海淀,15k-30k·13薪,1-3年,学历不限,"视觉图像算法
部署
加速",重庆慧猎信息科技有限公司,光电子行业,500-999人,"职位描述
视觉图像算法部署加速
岗位职责及主要工作描述
负责视觉类算法的部署优化，将相关算法进行工程化落地实现。
负责视觉相关的算法在嵌入式设备（NPU、GPU等AI芯片）上的轻量化与部署；
负责业务的视觉感知算法的研发和迭代；
负责真实业务场景的问题分析、跟踪及解决。
专业技能要求
熟练使用C/C++、CUDA、Python，有良好的数据结构和算法基础，熟悉Linux开发环境；
掌握AI算法加速、量化、剪枝，模型搜索相关的技术及工具链；
具有深度学习算法模型量化移植和应用落地经验，具备独立进行算法应用问题排查及定位能力；
有Jetson GPU、Atlas等相关芯片移植优化经验者优先；
良好的团队合作，沟通和协作能力
可解决北京工作居住证，表现优异者协助解决户口，以及发放期权激励。
应届生可解决北京户口",2024-12-14,智联
