岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
算法工程师（AI 大数据 图像 智能车）,上海-浦东,20k-40k·16薪,经验不限,本科,,外企德科,无,无,"职位描述
岗位职责
我们致力于软件算法的研究设计，通过算法大幅改善产品体验和性能效率
1、可以对单点算法性能做出极致优化，或具备全局视野，能从 E2E考虑算法应用竞争力体现;
2、负责移动终端设备人工智能、大数据挖掘算法和解决方案的研究、设计、验证和交付;
3、 对传感器在专业运动健康、生物识别、情景感知等技术做出优秀的用户体验。
岗位要求
1、具备人工智能AI算法、大数据算法、数据结构算法设计和开发能力;
2、具备前沿人工智能技术跟踪和业界趋势的跟踪和算法应用能力;
3、至少掌握Java/Python/C其中一种开发语言，掌握Hadoop开源工具使用更佳;
4、至少掌握一种数据挖掘工具和深度模型训练工具,如 Tensorflow.caffe.matlab;
5、具备较强的动手实践能力,能够快速把想法用算法程序的实现;
6、具备挑战不可能的精神和创新意识，主动担责，攻坚破难;
7、具备良好的团队合作精神，善于沟通。",2024-01-13,智联
算法工程师,上海-虹口,20k-35k,3-5年,本科,"Python
Shell
自然语言处理
算法基础
数据挖掘",第九城市,无,无,"职位描述
PythonShell自然语言处理算法基础数据挖掘
岗位职责：
-负责信息流推荐分发的算法相关工作，结合业务场景，通过排序模型优化等手段，提高推荐效率，提升用户体验；
-包括不限于搜索、推荐、营销、个性化Push等方向；
-分析基础数据，挖掘用户兴趣，构建用户画像，增强推荐、广告系统的预测能力；
-分析用户行为，挖掘流量潜在商业价值，提升流量转化率和变现能力；
-利用图像理解、文本挖掘等业界先进技术，对多模态内容进行挖掘与理解；
-持续优化算法和模型，提高模型的准确性、效率和鲁棒性；
任职要求：
-计算机、数学、机器学习、模式识别、电子信息等相关专业本科或本科以上学历，3-5年相关工作经验；
-具备较强的编码能力，熟悉Linux开发环境，熟悉Python/R/Scala/Shell等开发语言；
-具备扎实的数据结构和算法功底，熟悉机器学习、自然语言处理、数据挖掘、分布式计算等技术；
-在机器学习/深度学习上有丰富的实践经验。熟练使用一种或几种深度学习框架（如pytorch、tensorflow、caffe、mxnet等），或者熟悉spark、hadoop分布式计算；
-有搜索、推荐领域算法方向工作经验优先；
-有AIGC、LLM相关经验优先；
-有优秀的业务理解和数据分析能力，对有挑战的问题充满热情，并勇于承担责任。",2024-01-14,智联
AI算法工程师,上海-浦东,30k-40k,5-10年,本科,"视觉图像算法
搜索算法",上海晨钦信息科技服务有限公司,互联网,1000-9999人,"职位描述
视觉图像算法搜索算法
职责描述：
1. 运用各类机器学习模型，进行图像、语音、自然语言处理、搜索推荐等领域的算法设计、评估、优化，提供个性化推荐服务, 进行精准营销、推荐算法引擎等研发，负责基于大数据个性化推荐的开发和优化
2. 基于海量数据，通过数据挖掘、知识图谱、自然语言处理、图像处理、语音处理等技术，设计推荐算法模型，为用户提供服务，优化、迭代业务的核心算法、模型及推荐策略，提升推荐精准度和用户体验
3. 关注点击率、留存率、转化率、观看完整率等效果指标，分析用户行为，构建用户画像系统
4. 结合实际业务应用场景，提供产品解决方案，有效对接相关业务部门，保质保量的推动需求落地、项目交付
任职要求：
1. 5年以上推荐算法相关工作经验
2. 在个性化、精准营销、推荐算法方面有深入研究，精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），并且具备多个实际项目从0到1的开发建设经验
3. 至少熟悉一类深度神经网络模型，如DNN、CNN、RNN等
4. 熟练使用至少一种深度学习开源框架，如TensorFlow，PyTorch，Keras、Caffe等
5. 熟练使用Python、Java、C++等编程语言
6. 熟悉推荐系统架构，上下游调用逻辑，具备较强的算法设计能力
7. 具备大数据编程和处理能力，如Hadoop、Hive、Flink、Spark等",2024-01-04,智联
软件测试/开发/AI算法（接受应届生+双休）,上海-浦东,17k-30k·13薪,经验不限,本科,"Java
C
Python
Postman
JIRA
禅道",外企德科,无,无,"职位描述
JavaCPythonPostmanJIRA禅道
岗位类别：Java、测试、c++、嵌入式操作系统、前端、安卓、电池工程师等。
可匹配的项目有：存储、数据库、云计算、人工智能、智能驾驶、音视频、实验室、芯片等。
岗位职责：
1. 负责数据保护业务模块架构设计与代码开发，实现数据备份、恢复、复制、归档、防勒索
2. 负责大数据(如 Hadoop)、虚拟化(如 VMware)、数据库(如 MySQL)等应用数据保护特
性的方案分析与代码开发，实现应用数据的极致可靠性。任职要求
3. 热爱编程、基础扎实、熟练掌握JAVA/C++/C/Python/JS 等编程语言中的一种或多种
4.有很强的钻研技术精神，责任心，具备良好的沟通能力和团队协作能力。
福利：
入职缴纳五险一金，试用期不打折，有班车和食堂
工作时间：弹性打卡，周末双休，每天早上九点上班，12-2午休两小时，提供免费宵夜，周三、五家庭日，月末最后一个周六上班双倍加班费",2024-01-13,智联
AI算法工程师,上海-徐汇,15k-25k,经验不限,本科,,铂睿德佳,"咨询服务,仪器仪表制造,电气机械/电力设备,电力/水利/热力/燃气",100-299人,"职位描述
岗位职责：
1、负责机器学习，深度学习等主流人工智能技术学习以及研究；
2、负责公司大规模机器学习算法的研发和实施，包括模型设计、模型训练；
3、负责AI产品的系统开发工作，开发与改进模型算法，将先进技术应用到产品中；
4、为公司业务组提供数据分析及机器学习方面的技术支持。
加分项：：
• 熟悉网络爬虫技术，能够实现多种渠道自动化监控和下载报告。
• 熟练掌握搜索引擎技术，网页后台搜索模块的嵌入和定制化功能。要实现根据关键字检索报告时，结果显示相关报告以及报告中有关键字的内容。
• 对Generative AI的前沿有追踪、感兴趣。能够使用OpenAI API的进阶功能，比如fine-tuning, embedding。Python必须熟练并可以按需求写程序。
• 对企业云服务商和服务有了解，帮助团队参谋资料储存的云上解决方案提供商。
• 对ChatGPT及相关Gen AI领域有深入的了解或相关项目经验的。
• 具备良好的团队合作精神和沟通能力。",2024-01-13,智联
高级深度学习算法工程师,上海-宝山,15k-30k·13薪,3-5年,本科,"C++
Python
C#
深度学习算法
视觉图像算法
推荐算法
TensorFlow
PyTorch",沈阳东硕信息技术有限公司,"计算机软件,计算机硬件,互联网",20-99人,"职位描述
C++PythonC#深度学习算法视觉图像算法推荐算法TensorFlowPyTorch
任职要求：
1. 计算机、数学、统计等相关专业本科及以上学历；
2. 至少3年以上深度学习或计算机视觉方向相关工作经验；
3. 熟悉Caffe、Tensorflow、Pytorch至少一种框架，熟知常见的深度学习网络结构（如CNN、RNN、GAN等）和训练技巧，熟悉CUDA编程；
4. 具备优秀的编程能力，精通Python语言，熟悉Linux系统环境；
5. 具有扎实的数学基础，熟悉概率论、线性代数、优化算法等相关知识；
6. 良好的团队协作精神和沟通能力，积极乐观，有责任感和抗压能力。
7. 有在期刊/论坛发表过论文者优先。",2024-01-05,智联
算法工程师,上海-浦东,15k-30k·14薪,经验不限,本科,"视觉图像算法
自然语言处理
推荐算法
机器人算法
视频算法
搜索算法
语音算法
PyTorch
TensorFlow
Python",外企德科,无,无,"职位描述
视觉图像算法自然语言处理推荐算法机器人算法视频算法搜索算法语音算法PyTorchTensorFlowPython
岗位职责
1、 紧跟算法前沿，洞察学界/业界相关技术方向的最新成果和发展趋势，面向客户应用场景实现技术创新和突破；
2、 理解公司内外部客户需求，定义痛点问题，识别关键路径，面向商用成功探索预研可行的技术方案；
3、 与全球范围内相关方向的顶尖老师沟通交流、识别合作技术点并联合创新；
4、 负责AI完整系统架设和搭建、性能和内存的深度优化。
岗位要求
1、 有CV或NLP算法基础和视觉算法相关业务/研究经历；
2、 熟练使用Python/C/C++至少一种编程语言，熟练使用Pytorch/Tensorflow/Mindspore等至少一种主流训练框架。
3、 具备良好的协调、沟通和团队协作能力；
4、 具备开阔的研究视野，有创新、探索的热情和攻克难题的坚韧。",2024-01-14,智联
AI算法安全研究员(002023),上海-浦东,20k-40k·16薪,经验不限,本科,"PyTorch
网络安全
人工智能",安恒信息,无,无,"职位描述
PyTorch网络安全人工智能
岗位职责:
1、基于人工智能技术对网络安全事件进行分析；
2、研究数据挖掘、统计学习、深度学习领域的前沿技术，针对海量数据建模，进行行为分析。
任职要求:
1、熟悉常见的机器学习、深度学习算法，熟悉sk-learn,xgboost,pytorch等框架；
2、良好的数学功底，能够深入算法细节，具备算法优化、算法落地的能力；
3、优秀的数据分析能力，具备数据清洗、特征工程的能力，客观评估算法效能和智能化方案的落地效果；
4、热爱AI，能自我驱动持续学习，对新技术有强烈求知欲和探索能力，对业界新成果有高敏感度；
5、对网络安全领域充满热情，具有恶意软件检测、流量检测、钓鱼邮件检测等方向的实践经验者优先；
6、计算机科学、图像处理、模式识别、机器学习、人工智能、数学等相关专业本科以上学历。",2024-01-13,智联
AI算法工程师,上海-浦东,薪资面议,经验不限,本科,机器人算法,无,无,无,"职位描述
机器人算法
岗位职责： 1、负责AI领域的软件工程化和产品开发。 2、负责AI算法的设计和实现，包括但不限于：神经网络与机器学习、计算机视觉、无人驾驶、路径规划、智能决策、推荐系统等。 3、负责产品的集成和调测，以及各类工具链的开发。 岗位要求： 1、计算机相关专业，具备一个及以上大型实际软件项目经验，独立承担过关键子模块的开发工作； 2、熟练运用至少一门编程语言（C++ /Java /Python等）； 3、熟悉Tensorflow/scikit-learn/xgboost/Caffe/MindSpore等主流深度学习框架的使用，具备AI算法开发及应用经验者优先； 4、深入理解计算机系统架构与操作系统，熟练掌握异构计算平台原理和典型硬件加速器的使用方法，熟练运用并发编程和底层调试，熟悉Linux/ROS； 5、熟悉深度神经网络、计算机视觉、机器人导航定位、运动规划、机器学习算法和知识图谱等的至少一种，能够针对算法特点与芯片硬件特点设计最佳算法实现方式并优化部署或者有数据分析、挖掘、建模等方面的背景； 6、了解编程规范/惯用法/设计模式，掌握OOD/业界常用框架优先。",2024-01-10,智联
算法工程师,上海-长宁,薪资面议,经验不限,本科,产品研发,中国联通上海分公司,"运营商/增值服务,互联网,计算机软件,计算机硬件",1000-9999人,"职位描述
产品研发
岗位职责：1.技术研发：负责深度学习算法前沿技术的研发、开发和产品优化;
2.技术实现：负责图像无监督目标检测、物体检测、OCR等技术的研发和实现;
3.架构建设：负责AI中台的架构设计和能力建设，保证AI中台的可靠运行实施；
任职要求：
一、学历要求
2024届普通高等院校本科及以上学历，并具有相应学位。
二、专业要求
计算机、电子信息、数学、统计学、自动化、能源动力类相关专业。
三、综合素质
具有较强进取心、开拓意识，良好的沟通能力和较强的团队协作精神。",2024-01-13,智联
AI算法工程师,上海-黄浦,25k-35k,3-5年,本科,工厂机器智能控制,软通动力信息技术(集团)股份有限公司,无,无,"职位描述
工厂机器智能控制
职位要求：
计算机科学、电气工程、自动化或相关专业的学士或硕士学位。
熟悉工厂控制系统的架构和流程，具备相关实施经验或熟悉推荐系统、风险控制等相关领域的算法设计和实现，有相关项目经验；
掌握常用的机器学习、深度学习算法和数据分析方法，对于大规模数据处理有一定经验；
熟悉常见的算法框架和工具，如Spark、TensorFlow等。
具备良好的编程能力，熟练使用至少一门编程语言，如Python、Java等。
具备较强的问题解决能力和代码调优能力，能够解决实际问题并进行性能优化。
具备良好的沟通和团队协作能力，能够迅速融入团队并与其他成员合作。
具备快速学习能力和对新技术的持续学习热情，能够跟进行业新动态和算法发展趋势",2024-01-10,智联
算法工程师,上海-青浦,20k-25k·13薪,经验不限,硕士,"图像处理
语音信号处理",上海瀚界科技发展有限公司,"电子/半导体/集成电路,计算机软件,通信/网络设备",20-99人,"职位描述
图像处理语音信号处理
一、职位描述：
1）水声信号处理算法研究与实现，以及系统设计。
2）负责水声目标定位、目标检测分析、特征识别、声场模型等算法的研究、仿真、实现。
3）参与制定试验方案，参与包括湖试、海试在内的各种外场试验。
4）外场试验数据的处理、分析。
5)完成领导交办的其它工作任务。
二、任职资格：
1）电子、通信、计算机、信号处理、模式识别、水声工程、声学等相关专业，211硕士及以上学历，欢迎优秀应届毕业生的加入。
2）有数字信号处理等课程学习经历，有信号处理开发经验；
3）掌握C/C++、python等编程语言，掌握matlab等仿真分析软件，能够独立完成算法仿真及工程实现。
4）具有在FPGA平台下实际算法移植、优化经验优先；
三、职位福利：
周末双休、五险一金、绩效奖金、定期体检、节日福利、定期团建、每年多次调薪、多次晋升机会",2024-01-10,智联
AI算法工程师,上海-嘉定,23k-27k,5-10年,本科,机器人算法,上海晨钦信息科技服务有限公司,互联网,1000-9999人,"职位描述
机器人算法
职责描述：
1. 运用各类机器学习模型，进行图像、语音、自然语言处理、搜索推荐等领域的算法设计、评估、优化，提供个性化推荐服务, 进行精准营销、推荐算法引擎等研发，负责基于大数据个性化推荐的开发和优化
2. 基于海量数据，通过数据挖掘、知识图谱、自然语言处理、图像处理、语音处理等技术，设计推荐算法模型，为用户提供服务，优化、迭代业务的核心算法、模型及推荐策略，提升推荐精准度和用户体验
3. 关注点击率、留存率、转化率、观看完整率等效果指标，分析用户行为，构建用户画像系统
4. 结合实际业务应用场景，提供产品解决方案，有效对接相关业务部门，保质保量的推动需求落地、项目交付
任职要求：
1. 5年以上推荐算法相关工作经验
2. 在个性化、精准营销、推荐算法方面有深入研究，精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），并且具备多个实际项目从0到1的开发建设经验
3. 至少熟悉一类深度神经网络模型，如DNN、CNN、RNN等
4. 熟练使用至少一种深度学习开源框架，如TensorFlow，PyTorch，Keras、Caffe等
5. 熟练使用Python、Java、C++等编程语言
6. 熟悉推荐系统架构，上下游调用逻辑，具备较强的算法设计能力
7. 具备大数据编程和处理能力，如Hadoop、Hive、Flink、Spark等",2024-01-10,智联
高级算法工程师,上海-杨浦,20k-40k·15薪,5-10年,硕士,"算法研究
算法优化
集成算法
Shell
C语言
Python
定位算法
强化学习",通用技术集团机床工程研究院有限公司,通用设备制造,1000-9999人,"职位描述
算法研究算法优化集成算法ShellC语言Python定位算法强化学习
工作职责
1.趋势研究与规划制定：跟踪国内外数控机床、系统的算法优化方向，掌握相关技术发展方向；贯彻落实机床研究院科技发展规划，制定和完善轨迹平滑和速度规划优化方案；跟踪国内外数控机床误差补偿和故障诊断相关技术动态，掌握相关技术国内外发展现状和趋势；贯彻落实机床研究院科技发展规划，制定和完善数控系统技术发展规划。
2.搭建技术体系：组织开展运动学控制，轨迹平滑和速度规划优化等关键技术的研究；负责算法模块的需求文档、详细设计文档、测试文档等的制定与修订。
3.承担科研项目：组织承担轨迹平滑和速度规划优化技术相关的科研项目工作；负责推进轨迹平滑和速度规划优化算法的系统集成；组织开展数控机床误差补偿和故障诊断算法的研究，搭建和完善相应技术体系；负责数控机床误差补偿和故障诊断算法的落地和产品化推广。
4.业务拓展与技术服务：负责算法工程师与其他部门协同完成系统集成、调试和测试工作；负责算法工程师的算法设计、仿真与调试方案的评估和修订工作；组织团队服务研究院自研产品功能和性能的提升；组织开展商业模式研究，开拓相关技术服务业务。
任职资格要求
1.自动化、控制、机械、电气、机器人等相关专业硕士及以上学历。
2.具有5年及以上机器学习、数据分析和信号处理等实践经验。
3.熟练掌握控制理论，机器人或数控系统运动学、动力学及控制等。
4.熟练掌握Matlab、Python, C/C++；扎实的算法基础，丰富实践经验；具备量产机器人，数控系统等规划优化经验。
5.具有较强的数控机床误差补偿、故障诊断基础知识。
6.良好的英语阅读能力与资料检索能力，具有较强的解决算法问题的能力。
7.具备较强的领导、组织协调、分析决策、沟通能力，较强的创新思维能力。",2024-12-28,智联
