岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,11000-15000元/月,1-3年,大专,"深度学习
语音算法
推荐算法
图像算法
MATLAB
Python",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-02-21
算法工程师（AI产品）,北京·朝阳区·酒仙桥,25-50K·14薪,1-3年,本科,"深度学习
大模型算法
机器学习
自然语言处理算法
模型加速/性能优化
C/C++
Python",花房集团,互联网,1000-9999人,"【工作内容】
- 跟进LLM、图片生成、TTS等领域最新动态和应用。
- 算法服务的引擎开发，对各种算法模块进行封装，支持在线请求和离线计算。
- 结合自研产品需求，从prompt优化、模型finetune、模型组合等方面优化生成效果。
- 通过模型部署和加速，提升生成性能。
【职位要求】
- 计算机、数学、自动化、人工智能等相关专业的全日制硕士研究生及以上学历
- 了解机器学习和深度学习的基本原理，有过主流深度学习框架使用经验（TensorFlow/Pytorch等）。
- 具备基本的算法服务工程能力，熟悉RESTful、RPC等接口的开发。有CV、NLP、多模态、广告、推荐、搜索等算法服务工程系统研发经验者优先。
- 具备良好的产品意识，关注用户体验，拥有发现、分析、建模、解决问题的能力。
- 具有较强的学习能力、清晰的逻辑思维能力和出色的沟通表达能力，对AI生成技术的应用抱有强烈兴趣。",更新于：2024-02-21
aigc算法工程师（cv/nlp）,北京,20-30K·14薪,1-3年,本科,"C/C++
OpenCV",某游戏公司,游戏,0-20人,"岗位需求
算法工程师
岗位职责
探索[AI+游戏]的产品方向和AIGC在3D游戏资产领域工业管线的设计开发。
将深度学习技术应用于可扩展的3D内容创建，协助模型调优，数据集工程，工具链开发。
构建工具和流水线抽象，设计和开发从模型到游戏内容生产的基础设施和工具
岗位要求
我们欢迎对机器学习，计算机视觉或NLP相关有研究兴趣和想法的同学。
优秀的数理基础，较强动手能力，良好的沟通能力和团队合作能力。
有深度学习框架(如Pytorch，conda)或CUDA编程能力优先，有生成模型(Generative Model)研究背景优先(如diffusion, Nerf, Magic3D)",更新于：2024-02-21
百度智能云AI原生-算法策略工程师(J68761),北京·海淀区·西二旗,20-40K·16薪,经验不限,本科,"TensorFlow/PyTorch
C/C++
Python
计算机相关专业
不限
大模型算法
自然语言处理算法
Python
C/C++
LLM",百度,互联网,10000人以上,"工作职责:
-负责百度大模型应用平台上的模型开发、效果调优，使平台上的模型算法保持领先
-负责基于大模型面向应用场景的算法策略组件建设
-深入用户业务场景中，分析和沉淀最佳实践的开发框架
-负责LLM、深度学习、机器学习等方向相关问题研究，跟进前沿技术动态
任职资格:
-本科及以上学历，计算机相关专业优先，2年以上工作经验，良好的沟通与表达和团队协作能力
-熟悉至少一种深度学习框架（PaddlePaddle、PyTorch、TensorFlow、Caffe等），熟练使用Linux系统，熟练使用c++、python等语言，精通常用算法和数据结构，对常见的机器学习、深度学习算法有较强的实践能力
-掌握NLP基本算法，在自然语言处理相关领域中至少一个方向有一定的实践经验，如语义检索与推荐、信息抽取、对话系统、语义理解、阅读理解、聚类、迁移学习、多模学习、低资源学习等
-熟悉LLM相关技术，如transformer, prompt tuning, RLHF, langchain等，对相关技术落地有自己的理解
-在机器学习/NLP领域顶级学术会议发表过高质量文章者优先
-有ToB领域落地项目经验优先",更新于：2024-02-21
AI算法工程师,北京·海淀区·永泰,20-40K,1-3年,本科,"深度学习
机器学习
Python
C/C++
算法工程化经验
发表算法相关优秀论文
参加算法相关竞赛/获奖",北京德睿特科技,铁路/船舶/航空/航天制造,0-20人,"岗位职责：
1.支持AI智能算法研究，包括但不限于机器学习、深度学习、强化学习等技术；
2.实现和探索前沿的机器学习算法，丰富框架的应用案例；
3.准备数据集，选取特征，搭建模型训练和实验评估环境，持续优化算法表现；
任职要求：
1.对机器学习有独到的理解，熟悉常见的深度学习模型、优化方法；
2.在CV/NLP/Speech等任一深度学习领域有较为深入的研究；
3.熟悉一个或多个深度学习框架，包括但不限于PyTorch、TensorFlow、hugging face、deepspeed等；
4.对主流深度学习框架有项目应用经验，熟悉常见深度学习模型结构和优化方法，能够进行常见深度模型训练；
5.学习能力强、自我驱动力强，紧跟人工智能技术的发展动态；
具有以下条件者优先考虑：
1.在机器学习相关竞赛中取得优异成绩者优先；
2.在国际顶级会议或期刊发表论文、或有开源项目经历者优先；
3.有较强的实现能力，能从容应对算法实现过程中的调试、性能优化等问题者优先；
4.复合背景，熟悉深度学习多个领域者优先。",更新于：2024-02-21
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-02-21
AI算法/开发工程师,北京·海淀区·西北旺,55-85K·15薪,经验不限,本科,"大模型算法
自然语言处理算法
优秀开源项目经历",荣耀终端有限公司,消费电子,10000人以上,"工作职责
1、基于机器学习、深度神经网络等技术，构建人工智能服务模型，实现智能推荐、智能客服、智能助手等智慧服务领域的功能；
2、设计、开发和优化自然语言处理系统，实现语音识别、语义分析、自动问答等功能，提升智慧语音产品的性能；
3、开发计算机视觉算法，包括对象识别、场景理解、图像分割等，提升智慧视觉产品的识别和分类能力；
4、持续跟踪国内外最新的人工智能技术发展趋势，进行技术研究和探索，不断优化公司的人工智能产品和方案；
5、与其他部门紧密协作，包括产品、运营、销售等，进行技术支持和需求沟通，不断为公司的产品和服务提供高质量的技术支持。
任职要求
1、计算机科学、机器学习、统计学、应用数学等专业领域；
2、有良好的研究背景和成果，对算法研究兴趣浓厚，业务抽象能力强；具备创造性思维，能够将全新想法转化为工程应用；对研究工作充满热情，具备良好的团队合作精神和沟通能力；
3、具备较强的编程能力，精通主流编程语言，如C++ /Java /Python等。",更新于：2024-02-21
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-02-21
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-02-21
AI算法工程师（政务大模型）,北京·西城区·西便门,35-55K·15薪,经验不限,本科,"计算机相关专业
数学/统计相关专业",中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",更新于：2024-02-21
AI 算法工程师,北京·朝阳区·酒仙桥,20-35K,1-3年,本科,"机器学习
大模型算法
图像算法
C/C++
分布式训练
MATLAB
算法工程化经验",MOREVFX,广播/影视,100-499人,"- 学习研究最新人工智能技术的应用方案，紧密关注人工智能技术发展的最新动向。
- 学习研究人工智能技术的演示示例和官方论文文献。
- 通过文献及论坛交流，学习掌握不同数据模型的差异，为应用实践提供理论支持。
- 根据测试应用的需求，利用多种编程语言，快速搭建和开发有效的测试平台和测试工具。
- 处理人工智能软件或平台与DCC平台的接口连接。
- 配合团队其他成员测试人工智能的技术应用，在应用过程中提供技术支持和帮助。
- 遇到问题时积极在相关技术交流论坛交流询问，与更广泛的研究社区和平台保持联系。
- 遇到问题时与公司内部的TA、IT、TD开展紧密合作，寻找解决方案。
- 辅助部门负责人，向制作部主管及公司领导汇报研究进度和测试结果。
- 根据制作部门需求，推动和参与技术落地到项目生产制作中。
- 通过大量测试学习以及总结归纳，对已有模型进行编辑或扩充，通过神经元网络训练，尝试建立公司特定计算模型的应用。",更新于：2024-02-21
AI气象大模型算法研发,北京·海淀区·四季青,16-30K,1-3年,本科,"Python
数学/统计相关专业
机器学习算法/工程化经验",航天宏图,计算机软件,1000-9999人,"技能要求：
了解并掌握深度学习的基本工作原理；
掌握 Python编程语言，掌握至少一种深度学习框架（pytorch, tensorflow 等）
掌握常用数据处理工具包，numpy, pandas,sklrean等；
工作职责：
1. 负责基于深度学习算法的气象检测和预测算法的研发；
2.参与公司自主设计的气象AI大模型的开发；
3.根据不同产品的特性持续对模型进行优化和调整；
任职要求：
1.对深度学习在气象领域的应用有浓厚的兴趣，愿意在这个领域内有所尝试；
2.有深厚的数理与统计学功底，包括矩阵运算，偏微分方程，基于梯度风反向传播，常用统计学方法以及评价指标；
3 .对数据集预处理，数据增强，特征工程 有全面的了解并拥有个人见解； 4. 了解目前主流的AI大模型原理，如Transformer模型架构，注意力机制，扩散模型、embedding，Normolization等相关概念，多模态中数据对齐的方法; 对模型可解释性工具和应用有积累；
5. 独立完成过深度学习模型的开发流程，或者完整的参与过一项深度学习任务的开发项目，并在项目中担任核心算法以及训练流程的开发； 6. 对气象数据有基本的了解；
7. 具有本科及以上的学历；
加分项：
1. 气象专业毕业的本科/研究生；
2. 对多模态模型，AIGC，Diffusion Model有一定了解或者相关项目经验； 3. 参与过某AI大模型的研发；
4.在国内外期刊或会议上有AI 技术相关的论文发表；",更新于：2024-02-21
ai算法工程师,北京·朝阳区·常营,40-60K·15薪,经验不限,本科,diffusion,乐我无限,计算机软件,500-999人,"岗位职责：
1、跟踪和探索AIGC方向研究前沿，实现关键技术突破，解决面向内容生产场景的应用中的算法难点；
2、负责多模态媒体内容的理解、编辑、生成相关新技术的应用落地和探索；
3、支持数字人、3D空间等产品和应用场景的关键算法实现和优化。
职位要求
4、有Midjourney等实践经验，可有效达成提升AI绘画的模型训练效率。
1、掌握计算机视觉和图像处理基本算法、常用深度学习算法，参与到stable diffusion模型调优和训练
2、具备扎实的编程功底，熟悉Pytorch等主流深度学习框架，熟练使用C++/Python等至少一种编程语言，熟悉Linux开发环境；
3、有良好的学习能力和创新思维，能够与团队良好合作和沟通，工作积极主动，自驱力强；
4、具有优秀的分析、解决实际问题的能力，能够自我驱动，良好的团队合作精神，较强的沟通能力；
5、有AIGC相关产品落地经验者优先。",更新于：2024-02-21
