岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-02-29
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-02-29
人工智能工程师,北京·海淀区·学院路,20-40K·16薪,1-3年,本科,"机器学习
自然语言处理算法
Python
NLP",华深智药,生物/制药,20-99人,"职位要求：
教育背景： 硕士及以上学历，计算机科学、统计学、人工智能等相关专业，本科毕业生如有丰富的相关从业经验和突出的技术能力，也可考虑。
工作经验： 至少2年以上在学术界或工业界的机器学习或AI相关工作经验，具有在大厂或知名技术公司工作背景及丰富项目经验者优先。
技能要求： 精通机器学习算法，包括深度学习、自然语言处理等；熟悉Python编程，熟练使用TensorFlow、PyTorch等深度学习框架；对数据结构和算法有深入理解，具备良好的数学基础。
项目经验： 参与过多个实际项目，具备从概念设计到产品实现的完整项目经验；能够独立解决问题，并在团队中发挥关键作用。",更新于：2024-02-29
初级AI算法工程师,北京·西城区·宣武门,12-16K,1-3年,本科,"深度学习
机器学习
Python
C/C++",慧流科技,计算机软件,20-99人,"岗位职责:
1.负责人工智能领域相关研究与应用；
2.设计、训练和测试机器学习、深度学习算法模型；
3.负责AI模型的应用设计、开发和维护；
4.参与AI平台架构设计和路标规划及产品方案设计工作;
5.负责或参与完成AI项目、AI产品的研发、调优、落地等工作；
岗位要求：
1.计算机、应用数学、人工智能、统计学等相关专业，本科及以上学历;
2.能够熟练使用Python、C++等开发语言中的一种或多种语言; 了解主流机器学习算法;
3.具有深度学习、数据建模相关项目经验，了解pytorch、tensorflow等深度学习框架中的一种或多种；
4.具有一定的Linux命令操作基础，可在Linux环境下完成各种模型训练与推理测试实验；
5.熟悉Flask、Django等web框架中的一种或多种；
6.有AI系统/平台架构、核心模块开发设计经验参与过中大型人工智能相关项目研究与开发经验优先；
7.工作细致、责任心强，有较强的沟通与执行能力，有团队合作精神；
8.对AI有浓厚兴趣，致力于往AI方向发展；",更新于：2024-02-29
大模型算法工程师-AI/海外教育,北京·海淀区·苏州桥,30-50K·15薪,1-3年,本科,"大模型算法
机器学习
深度学习
自然语言处理算法
融合感知算法
Python
参加算法相关竞赛/获奖
发表算法相关优秀论文
多模态
AI
PyTorch",北京字节跳动,移动互联网,10000人以上,"职位描述
1、负责Gauthmath的大模型算法工作，研究相关技术在各种学习场景的应用和解决方案，满足全球学生群体日益增长的智能交互需求，全面提升学习体验；
2、探索Prompt Engineering、COT等技巧，基于LLM设计解题Agent，提高数学解题能力；
3、追踪业界LLM、多模态最新技术，探索提升文本解题、图形解题的方法；
4、发挥想象力，探索LLM在更多学习场景的落地。
职位要求
1、优秀的代码能力、数据结构和基础算法功底，熟练Python/PyTorch，ACM/ICPC、NOI/IOI等比赛获奖者优先；
2、对解决探索性问题充满热情，有良好的沟通协作能力，具备精英级别的动手能力和自驱力；
3、有LLM、数学解题相关研究的优先。",更新于：2024-02-29
ai视觉算法工程师,北京,20-35K·13薪,1-3年,本科,"深度学习
机器学习
图像算法
C/C++
Python
其他
发表算法相关优秀论文
参加算法相关竞赛/获奖
优秀开源项目经历
视觉算法
AI视觉算法
TensorFlow",某计算机软件公司,计算机软件,20-99人,"职位描述：
1. 智能制造领域核心视觉算法优化和创新研究，包括但不限于：检测分类，分割，OCR等；
2. 大规模深度学习/机器学习相关的核心算法研究，包括但不限于：网络结构设计、大规模分布式训练、持续学习、无/自/半监督学习、部署量化等；
3. 针对智能制造领域的实际需求，进行算法设计、实现、迭代优化等工作，将算法功能交付下游团队；
4. 维护相关研究方向的benchmark（代码、数据等），将创新算法整理成技术文档或正式论文。
职位要求：
1.统招重点大学本科及以上学历，计算机相关专业毕业；
2. 具有计算机视觉，机器学习优化算法基础，数据挖掘或人工智能的相关经验；
3. 有较强的研究能力，可以进行算法研究的创新设计和实现；
4. 熟练使用C/C++、python中至少一种编程语言；熟悉caffe、tensorflow、pytorch等深度学习框架之一；
5. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；
6. 有计算机视觉、机器学习开源项目的贡献背景者优先；
7. 在国际顶级会议或期刊发表机器学习相关论文者优先；
8. 有相关的比赛经验者或在重要数据集的排行榜上排名靠前者优先。",更新于：2024-02-29
aigc算法工程师（cv/nlp）,北京,20-30K·14薪,1-3年,本科,"C/C++
OpenCV",某游戏公司,游戏,0-20人,"岗位需求
算法工程师
岗位职责
探索[AI+游戏]的产品方向和AIGC在3D游戏资产领域工业管线的设计开发。
将深度学习技术应用于可扩展的3D内容创建，协助模型调优，数据集工程，工具链开发。
构建工具和流水线抽象，设计和开发从模型到游戏内容生产的基础设施和工具
岗位要求
我们欢迎对机器学习，计算机视觉或NLP相关有研究兴趣和想法的同学。
优秀的数理基础，较强动手能力，良好的沟通能力和团队合作能力。
有深度学习框架(如Pytorch，conda)或CUDA编程能力优先，有生成模型(Generative Model)研究背景优先(如diffusion, Nerf, Magic3D)",更新于：2024-02-29
AI算法工程师（高薪诚聘）,北京,21-40K·14薪,经验不限,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
推荐算法
搜索算法
Python
C/C++
算法工程化经验
参加算法相关竞赛/获奖",某500强上市公司,计算机软件,10000人以上,"【工作职责：】
1、 通过AI相关的算法推动企业的商业数字化和智能化转型；
2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补；
3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。
【专业知识要求】
1、过硬的科研背景和扎实的算法基础，有相关科研成果（如相关论文、专利或者报告）优先，蓝桥杯优先，刷过很多算法题的优先；
2、具备扎实的编程实现能力，熟练使用C/C++、Python、Scala、Java等编程语言。
3、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻；
【学历要求】本科/硕士，留学生/国内双一流即以上院校优先，理工科优先
【经验要求】1年以上，对优秀应聘人员可降低经验要求，接受无经验23届。",更新于：2024-02-29
AI资深算法工程师,北京·海淀区·中关村,25-50K·15薪,经验不限,本科,"深度学习
搜索算法
C/C++
Python
发表算法相关优秀论文
算法工程化经验
优秀开源项目经历",抖音有限公司,移动互联网,10000人以上,"职位描述
1、在人工智能等领域开展前沿技术研发和落地；
2、参与和推动技术落地到产品；
3、研发以人工智能技术为核心的产品功能；
4、打造新一代的企业智能的产品。
职位要求
1、本科及以上学历，4年以上人工智能产品经验；
2、能够独立思考，具有良好的沟通能力、判断力、数据分析能力、执行力，自我驱动；
3、对互联网、人工智能技术有深刻的认识，熟悉热点领域和主要的算法模型；
4、有较强的沟通协作能力。",更新于：2024-02-29
算法工程师（人工智能）,北京·西城区·德外大街,15-30K·14薪,3-5年,本科,"深度学习
自然语言处理算法
Python",中企云链,互联网金融,1000-9999人,"岗位职责
1、负责供应链金融领域NLP相关技术（文本分类、舆情分析、语义理解、命名实体识别、关系抽取、摘要生成等、语音识别技术）的研发、优化及部署落地工作；
2、负责相应的数据收集、增强及标注工作；
3、负责跟进行业（NLP和知识图谱）前沿技术，并应用于业务场景优化。
任职要求
1、统招本科学历及以上（985/211院校优先），计算机、数学相关专业，3年及以上相关工作经验；
2、熟悉NLP领域的理论基础，具有NLP实战经验。有海量数据挖掘、文本分类与语义分析、知识图谱构建、语音识别技术、深度学习研发等经验者优先；
3、精通Python语言，熟悉常见的开源算法和工具，如TensorFlow、Pytorch、TextCNN、LSTM、Transformer、BERT等；
4、具备良好的沟通技巧和意识，具备团队协作精神，学习能力强，善于思考钻研，认真严谨，主动积极，具有高度责任心及抗压能力。",更新于：2024-02-29
AI 算法运营实习生/兼职,北京·朝阳区·三里屯,150-200元/天,经验不限,本科,"深度学习
机器学习
大模型算法
Python
Java
C/C++
算法工程化经验",OpenBayes贝式计算,计算机软件,20-99人,"工作周期：3个月
每周工期：无要求
工作时间：不限
工作时段：工作日
结算方式：日结
招聘截止时间：2024-04-20
岗位职责：
1. 负责 OpenBayes 官网公共教程本土化，包含撰写教程简介、代码跑通、结果复现等
2. 参与模型收集整理，提高官网教程的可维护性和可读性
3. 配合完成其他开发及定期维护工作。
任职要求:
1. 本科及以上学历，统计学、数学、计算机科学或其他相关专业优先；
2. 熟悉 Python，有良好的代码能力，了解 Linux 系统，熟悉机器学习基本知识，使用过 pytorch、sklearn 等算法库，做过机器学习项目；
3. 熟悉 GitHub、HuggingFace、jupyter 等常见平台及工具；
4. 具备良好的英文文献阅读能力优先；
5. 性格开朗，责任心强，有良好的执行能力和沟通能力，具备团队协作能力和学习能力，能够快速适应工作内容;
6. 实习期至少 3 个月
职位诱惑:
该岗位为算法与运营相结合的岗位，可远程实习，无需坐班，可提供实习证明，薪资面谈
面试信息:
面试方式：可远程面试
面试轮数：1-2 轮面试，1 轮笔试
时间安排：一天内完成",更新于：2024-02-29
安全AI算法工程师,北京·海淀区·西北旺,15-25K·16薪,经验不限,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
Python
C/C++
算法工程化经验",华为技术有限公司,计算机软件,10000人以上,"【工作职责】
1、安全类产品的端到端可信任设计、开发、验证与维护工作；
2、独立完成模块设计、详细设计、代码编写、单元测试、静态检查、本地构建、测试环境搭建、交付验证、问题定位、资料开发等工作；
3、安全产品如大数据平台、安全管理及安全分析系统、态势感知等产品特性的系统设计、核心开发、交付与运维;
4、基于大数据&AI平台，开发、优化AI算法，分析攻击流量、构建威胁检测模型，支撑各类安全产品（AI防火墙、AI DDOS、态势感知等）安全竞争力构建;
【岗位要求：满足一种即可】
1、能够熟练使用C/C++/Python/Perl/Ruby/Shell等至少一种脚本编程语言
2、熟练掌握一个或多个大数据主流技术框架的原理及应用，如Hadoop、Flink、Spark、HBase、Kafka、Redis、Zookeeper等
3、熟悉网络通信基础知识，具备网络安全相关业务的开发经验优先；",更新于：2024-02-29
ai算法工程师,北京·丰台区·右安门,20-40K,1-3年,学历不限,"大模型算法
深度学习
机器学习
图像算法
Python
算法工程化经验",北京陆海新越智联科技,计算机软件,20-99人,"1、基于实际应用场景开发图片识别、目标检测、视觉定位、图像数据分析等算法；
2、负责图片处理与识别系统的研发，包括图像处理、图像识别算法的设计、验证；
3、基于算法的开发进行模块化测试与部署；
4、跟进行业内与视觉相关的最近研究，对应用模型进行精度调优和性能提升；
5、有图像识别经验，比如识别人、安全帽、安全服等 ，会深度学习算法。
任职要求：
1、计算机、电子、自动化、图像处理、模式识别等相关专业优先；
2、有较强的编程能力和素养，精通C/C++、python、java其中一种开发语言，算法编写；
3、熟悉OpenCV/Halcon，熟悉主流的模式识别与计算机视觉算法，熟悉TensorFlow、Pytorch、Caffe和Yolov5等一种或多种深度学习框架，了解卷积神经网络结构及其原理；
4、熟悉计算机视觉、机器学习相关基础算法和模型的研发，熟悉常用的图像处理等算法，能够对样本数据进行回归、整理、清洗、分析；
5、熟悉英伟达相关硬件和软件组件的应用和调试等工作；
6、有图像识别、视觉定位、目标检测、人脸识别等深度学习的项目经验者优先；
7、具备较强的解决问题能力、沟通能力、团队合作精神以及执行力。",更新于：2024-02-29
