岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
ai高级算法工程师,北京,40-70K,经验不限,本科,"搜索/推荐
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验",某500强上市公司,基金,100-499人,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",更新于：2024-01-26
AI算法工程师(NLP方向)【No.001】,北京,25-50K·14薪,1-3年,本科,"计算机相关专业
自然语言处理项目经验
知识图谱相关经验",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-01-26
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-01-26
算法工程师(AI 风险与安全),北京·朝阳区·团结湖,30-40K,1-3年,本科,"深度学习
机器学习
大模型算法
AI风险与安全
算法安全
模型安全",普华永道中天会计师,投资/融资,10000人以上,"职位描述
1、通过蓝军演练评估 AI系统的安全性，挖掘和利用AI系统中的漏洞；
2、开发针对 AI系统的攻击以及漏洞挖掘工具和技术；
3、设计解决AI系统漏洞的技术和方案；
4、研究针对AI系统的新威胁，包括Prompt注入攻击的原理、实践和防御。
职位要求
1、有2年及以上AI安全相关工作经验，计算机、人工智能和信息安全等相关专业；
2、熟练掌握Python/C/C++，熟悉常用的AI开发框架，具有扎实的数据结构、算法设计和机器学习理论基础；
3、拥有AI系统漏洞挖掘、设计 AI系统保护方案、可解释性AI、及Al训练/推理框架设计的一项或多项经验；
4、拥有AI安全相关顶会论文者优先；
5、逻辑思考能力强，善于发现和解决问题，自我驱动。",更新于：2024-01-26
AI Agent算法工程师,北京·东城区·王府井,50-80K·13薪,经验不限,本科,"大模型算法
强化学习
Python
C/C++
优秀开源项目经历
团队管理经验
参加算法相关竞赛/获奖
Agent",昆仑天工,互联网,500-999人,"岗位职责：
1. 跟进工业界/学术界最新的大模型动态，特别是AI Agent方面的最新研究成果；
2. 参与前沿技术的技术研究和时间，对算法进行优化改进，提升系统的稳定性和性能；
3.和跨职能团队合作，包括产品、开发团队，确保按时交付高质量的Agent产品解决方案。
任职要求：
1. 统招本科及以上学历，计算机及相关专业，有较强的工程能力；
2. 有较强的自我驱动能力，能快速推进新任务的完成；
3.熟悉Agent技术领域最新的研究成果，有实际项目落地经验着优先。",更新于：2024-01-26
AI算法实习生,北京·海淀区·苏州桥,9-12K,经验不限,本科,"无明显侧重
语音/图像识别
Python
TensorFlow/PyTorch
CNN/RNN/LSTM
计算机相关专业
数学/统计相关专业
有国际期刊/会议论文发表",驿心科技,互联网,,参与公司生成式人工智能相关研究和应用，工作能让包括并不限于：参与基于大语言模型的对话式产品研发和优化，如大模型训练及微调、加速优化等；参与公司AIGC类产品研发，如文生视频等多模态预训练及微调等。,更新于：2024-01-27
人工智能 NLP工程师,北京·朝阳区·南磨房,20-40K·13薪,1-3年,本科,"DALLE、Midjourney
ChatGPT模型
StableDiffusion",上海美踏全宇数字科技,互联网,100-499人,"岗位职责：
1、承担基于GPT系列或者其他开源大模型的开发和调优工作，包括训练流程搭建、指令微调、Prompt工程以及面向下游任务的效果优化等；
2、负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
完成大规模预训练模型在游戏、影视等细分领域的落地，支持业务目标提升;
3、紧跟业界大模型进展，探索前沿技术，解决实际问题，包括智能问答、图文内容生成等；4、与其他团队密切合作，包括数据工程师、前后端工程师、产品经理等，实现高质量的产品和解决方案。
任职要求:
1、2年以上相关工作经验， 计算机、人工智能、数学等相关专业研究生学历，优秀者可放宽至本科，有相关方向论文者优先；
2、熟悉NLP主流大模型，如ChatGPT/T5/PaLM/LLaMA/GLM等,对模型背后的原理和各自适用场景有深入的理解。有大模型预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；
3、有小样本学习 (Few-shot learning)、提示学习(P‘rompt learning)等相关技术经验；
4、有扎实的自然语言处理理论和方法基础，掌握自然语言主要算法模型，具备对Transformer架构及其变体的深入理解；
5、熟悉常见的自然语言处理任务，如文本生成、语义理解、实体识别、知识抽取等；
6、扎实的编程基础：掌握至少一种开发语言如 Python、C、C++等，有基于PyTorch等深度学习框架的实战项目经验；
7、具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
8、具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。
9、关注AIGC领域的业界最新动态，了解 DALLE、Midjourney、StableDiffusion等前沿技术；
10、有CV、多模态项目经验。",更新于：2024-01-26
AI算法工程师（政务大模型）,北京·西城区·西便门,35-55K·15薪,经验不限,本科,"计算机相关专业
数学/统计相关专业",中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",更新于：2024-01-26
ai算法工程师,北京·海淀区·西三旗,11-17K,1-3年,本科,"深度学习
大模型算法
机器学习
风控算法
推荐算法
Python
优秀开源项目经历",中电金信软件有限公司,计算机软件,,"1、计算机、自动化、数学、统计等相关专业，掌握数据挖掘、算法开发相关的理论及方法。
2、拥有1-3年以上从事数据挖掘、算法开发相关工作的经验，参与过大型项目开展。如拥有1-3年以上在银行、证券、保险、互联网等行业的数据挖掘、算法开发项目经验者，可适度放宽年限要求。
3、了解Linux、ssh、git等、了解FastAPI、Flask、Django等后端框架，能将算法模型落地的经验者优先。
4、熟悉Sklearn、PyTorch、TensorFlow、Keras等主流深度学习框架，或有风控、营销、运营等方面组合建模工作经验者优先。
5、熟悉Nebular Graph、Neo4j等主流图数据库、以及相关图算法，做过图数据挖掘、风险传导、社交网络分析等经验者优先。
6、熟悉NLP相关技术、熟悉信息抽取等任务，了解ChatGLM、LLAMA等语言模型微调等经验者优先。",更新于：2024-01-27
AI算法工程师（NLP方向）（央企正编）,北京,40-50K,经验不限,硕士,"AIGC
chatGPT
知识图谱",某通信公司,通信/网络设备,,AIGC，chatGPT，知识图谱，将同一副影像中的AI告警事件进行归并整合、告警压制、告警升级等处理。,更新于：2024-01-27
AI高级算法工程师,北京,35-65K,经验不限,本科,"Java
C/C++
Python",某大型社交网络公司,社交网络,100-499人,"1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-01-27
aigc算法工程师（cv/nlp）,北京,20-30K·14薪,1-3年,本科,"C/C++
OpenCV",某游戏公司,游戏,0-20人,"岗位需求
算法工程师
岗位职责
探索[AI+游戏]的产品方向和AIGC在3D游戏资产领域工业管线的设计开发。
将深度学习技术应用于可扩展的3D内容创建，协助模型调优，数据集工程，工具链开发。
构建工具和流水线抽象，设计和开发从模型到游戏内容生产的基础设施和工具
岗位要求
我们欢迎对机器学习，计算机视觉或NLP相关有研究兴趣和想法的同学。
优秀的数理基础，较强动手能力，良好的沟通能力和团队合作能力。
有深度学习框架(如Pytorch，conda)或CUDA编程能力优先，有生成模型(Generative Model)研究背景优先(如diffusion, Nerf, Magic3D)",更新于：2024-01-26
CV方向 AI算法工程师 国企正式编制,北京,20-40K,经验不限,本科,"业务导向
搜索/推荐
风控/反欺诈
语音/图像识别
Java
Python
C/C++
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验
CV算法工程师国企正编
AI算法工程师国企正编
算法国企正式编制",某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2024-01-26
AI算法/开发工程师,北京·海淀区·西北旺,55-85K·15薪,经验不限,本科,"大模型算法
自然语言处理算法
优秀开源项目经历",荣耀终端有限公司,消费电子,10000人以上,"工作职责
1、基于机器学习、深度神经网络等技术，构建人工智能服务模型，实现智能推荐、智能客服、智能助手等智慧服务领域的功能；
2、设计、开发和优化自然语言处理系统，实现语音识别、语义分析、自动问答等功能，提升智慧语音产品的性能；
3、开发计算机视觉算法，包括对象识别、场景理解、图像分割等，提升智慧视觉产品的识别和分类能力；
4、持续跟踪国内外最新的人工智能技术发展趋势，进行技术研究和探索，不断优化公司的人工智能产品和方案；
5、与其他部门紧密协作，包括产品、运营、销售等，进行技术支持和需求沟通，不断为公司的产品和服务提供高质量的技术支持。
任职要求
1、计算机科学、机器学习、统计学、应用数学等专业领域；
2、有良好的研究背景和成果，对算法研究兴趣浓厚，业务抽象能力强；具备创造性思维，能够将全新想法转化为工程应用；对研究工作充满热情，具备良好的团队合作精神和沟通能力；
3、具备较强的编程能力，精通主流编程语言，如C++ /Java /Python等。",更新于：2024-01-26
人工智能算法工程师 24年毕业解决北京户口,北京·朝阳区·国贸,15-25K,经验不限,本科,人工智能算法,北京烽火万家,通信/网络设备,100-499人,"岗位职责：
1. 根据业务实际需求，选择或设计相应的机器学习或深度学习的算法；
2. 对算法模型进行训练、评估和优化，例如迁移学习、参数优化等；
3. 负责模型所需数据、图片的收集；
4. 对模型进行工程化实现，与项目整体系统做集成。
岗位要求：
1.本科及以上学历，计算机、通信、数学等相关专业；
2.熟练掌握信号与系统基本理论和分析方法；
3.熟练掌握C/C++/MATLAB/Python；
4.有责任心，乐于学习并具有团队合作精神，及良好的沟通能力。",更新于：2024-01-26
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-01-27
算法/AI讲师（深度学习/机器学习方向）,北京·朝阳区·高碑店,15-30K,1-3年,本科,"机器学习
深度学习
自然语言处理算法
图像算法
Python
算法工程化经验
参加算法相关竞赛/获奖
职业技能培训
在线教育",赋范空间,培训/辅导机构,20-99人,"岗位职责：
1. 深入研究机器学习/深度学习/人工智能各大应用领域的前沿/实用技术，围绕顶尖技术研发市场一流的课程与教学内容（课件/代码），涉及领域包括但不限于集成算法、特征工程、计算机视觉、自然语言处理、深度时间序列、生成式模型、推荐系统、强化学习、图神经网络等前沿领域
2. 实践各类机器学习/深度学习算法前沿应用、参与海内外各类机器学习/深度学习前沿竞赛，围绕应用结果与竞赛结果研发市场一流的算法实践课程内容（课件/代码）
3. 完成机器学习/深度学习各类前沿领域的教学、授课工作，包括但不限于录制课程视频、完成课程直播、完成公开课直播、完成体验课等各种形式的授课工作
4. 协助追踪机器学习/深度学习各类前沿领域的行业动态、技术进步，协助制作基于行业前沿信息的通识类课程与教学内容（课件/代码/视频/直播），协助向行业传递技术视野与技术观点
5. 协助完成机器学习/深度学习领域课程的价值宣传工作，包括但不限于录制课程介绍视频、进行课程介绍直播、整理课程卖点、输出课程价值等各种形式的宣传工作
6. 协助完成机器学习/深度学习领域课程的辅导工作，包括协助课程答疑、指导课程项目、协助产出课程习题等各种服务性质工作
任职要求：
1. 拥有本科及以上学历
2. 至少2年以上算法授课经验或算法行业工作经验，对机器学习/深度学习/人工智能技术有一定理解；
3. 具有较强的学习能力与思考能力，能够短时间内掌握全新知识、快速获取对新兴领域的理解和洞察
4. 具有较强的逻辑能力与表达能力，能够将复杂知识抽丝剥茧、化繁为简，或能够传递观点、引导共情
5. 形象好气质佳，同时兼备亲和力与专业能力，能够把握用户注意力、与用户愉快沟通
6. 有意愿和能力不断挑战自我、突破自我、不断提升自己的知识、技能水平和职场成熟度
7. 对教育或技术传播有一定的了解和较强的认可，具备一定的服务意识和团队协作意识
福利待遇：
1. 底薪15K+奖金，试用期3-6个月
2. 90后年轻团队、不定期下午茶、弹性工作
3. 入职后购买六险一金、带薪年假等
4. 提供带薪培训、沉浸式学习最前沿技术、积累个人技术能力",更新于：2024-01-27
