岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI Agent算法工程师,北京·东城区·王府井,50-80K·13薪,经验不限,本科,"大模型算法
强化学习
Python
C/C++
优秀开源项目经历
团队管理经验
参加算法相关竞赛/获奖
Agent",昆仑天工,互联网,500-999人,"岗位职责：
1. 跟进工业界/学术界最新的大模型动态，特别是AI Agent方面的最新研究成果；
2. 参与前沿技术的技术研究和时间，对算法进行优化改进，提升系统的稳定性和性能；
3.和跨职能团队合作，包括产品、开发团队，确保按时交付高质量的Agent产品解决方案。
任职要求：
1. 统招本科及以上学历，计算机及相关专业，有较强的工程能力；
2. 有较强的自我驱动能力，能快速推进新任务的完成；
3.熟悉Agent技术领域最新的研究成果，有实际项目落地经验着优先。",更新于：2024-01-17
算法工程师（点云ai方向）,北京,40-50K·16薪,经验不限,本科,"深度学习
融合感知算法
C/C++
矿山项目
激光雷达感知算法",某大型知名机械设备公司,机械设备/机电/重工,10000人以上,"工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",更新于：2024-01-17
智驾技术部_自动驾驶场景生成AI算法工程师,北京·海淀区·西北旺,28-45K·16薪,1-3年,本科,"C/C++
Python
TensorFlow/PyTorch",百度,互联网,10000人以上,"工作职责
-通过主动学习等方法挖掘高质量数据，并通过生成式模型生成高质量数据集
-打通仿真数据到测试研发数据全链路
-负责生成式AI算法的研发调试、和测试等工作
-完成相关算法研发和效果验证
任职资格
-具备较好的编程能力，熟练掌握Python/C++编程语言，有Linux平台下开发经验，包括具有使用机器学习库例如TensorFlow、PyTorch的经验
-熟悉NLP、CV等相关技术，熟悉Transformer等深度学习算法，在NLP和CV方面有一定积累沉淀，有一定的多模态相关背景，较强的算法实现能力，熟悉多模态常用算法
-具备深度预训练模型经验者优先。有多模态、NLP、CV、视频/音频算法相关领域经验者优先；对LLM、多模态学习有深入理解和实践，有预训练、可控内容生成方向经验者优先
-有生成模型GAN、VAE、diffusion等工程项目为加分项；有AIGC相关经验者为加分项；有NLP/CV/ML顶会发表经验者（ACL/EMNLP/CVPR/ICCV/NeurIPS等）为加分项
-具备良好的逻辑思维能力、沟通协作能力、自我学习能力，保持对事物的好奇心。态度积极向上，有责任心",更新于：2024-01-17
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-01-17
AI高级算法工程师,北京,35-65K,经验不限,本科,"Java
C/C++
Python",某大型社交网络公司,社交网络,100-499人,"1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-01-17
AI算法/开发工程师,北京·海淀区·西北旺,55-85K·15薪,经验不限,本科,"大模型算法
自然语言处理算法
优秀开源项目经历",荣耀终端有限公司,消费电子,10000人以上,"工作职责
1、基于机器学习、深度神经网络等技术，构建人工智能服务模型，实现智能推荐、智能客服、智能助手等智慧服务领域的功能；
2、设计、开发和优化自然语言处理系统，实现语音识别、语义分析、自动问答等功能，提升智慧语音产品的性能；
3、开发计算机视觉算法，包括对象识别、场景理解、图像分割等，提升智慧视觉产品的识别和分类能力；
4、持续跟踪国内外最新的人工智能技术发展趋势，进行技术研究和探索，不断优化公司的人工智能产品和方案；
5、与其他部门紧密协作，包括产品、运营、销售等，进行技术支持和需求沟通，不断为公司的产品和服务提供高质量的技术支持。
任职要求
1、计算机科学、机器学习、统计学、应用数学等专业领域；
2、有良好的研究背景和成果，对算法研究兴趣浓厚，业务抽象能力强；具备创造性思维，能够将全新想法转化为工程应用；对研究工作充满热情，具备良好的团队合作精神和沟通能力；
3、具备较强的编程能力，精通主流编程语言，如C++ /Java /Python等。",更新于：2024-01-17
遥感AI算法工程师,北京,18-25K·14薪,1-3年,本科,"算法
遥感",某铁路公司,铁路/船舶/航空/航天制造,20-99人,"岗位职责：
1. 参与遥感影像智能识别相关的产品研发，协助算法落地
2. 负责遥感业务的视觉感知算法的研发和迭代，研究卫星遥感影像中的物体检
测与分割算法
任职要求：
1. 熟悉 C/C++、Python，有良好的数据结构和算法基础；
2. 有遥感(光学或 SAR)图像处理经验；
3. 深刻理解机器学习、深度学习等相关知识，在目标检测、图像分割、视频分
析等相关领域具有丰富的实践或研究经验
4. 熟悉主流模型和算法，关注领域内的最新进展，能够跟进和实现新的算法;
5. 较强的算法设计和实现能力，熟悉 Caffe/TensorFlow/Pytorch 等训练框架。
6. 良好的团队合作，沟通和协作能力",更新于：2024-01-17
人工智能 NLP工程师,北京·朝阳区·南磨房,20-40K·13薪,1-3年,本科,"DALLE、Midjourney
ChatGPT模型
StableDiffusion",上海美踏全宇数字科技,互联网,100-499人,"岗位职责：
1、承担基于GPT系列或者其他开源大模型的开发和调优工作，包括训练流程搭建、指令微调、Prompt工程以及面向下游任务的效果优化等；
2、负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
完成大规模预训练模型在游戏、影视等细分领域的落地，支持业务目标提升;
3、紧跟业界大模型进展，探索前沿技术，解决实际问题，包括智能问答、图文内容生成等；4、与其他团队密切合作，包括数据工程师、前后端工程师、产品经理等，实现高质量的产品和解决方案。
任职要求:
1、2年以上相关工作经验， 计算机、人工智能、数学等相关专业研究生学历，优秀者可放宽至本科，有相关方向论文者优先；
2、熟悉NLP主流大模型，如ChatGPT/T5/PaLM/LLaMA/GLM等,对模型背后的原理和各自适用场景有深入的理解。有大模型预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；
3、有小样本学习 (Few-shot learning)、提示学习(P‘rompt learning)等相关技术经验；
4、有扎实的自然语言处理理论和方法基础，掌握自然语言主要算法模型，具备对Transformer架构及其变体的深入理解；
5、熟悉常见的自然语言处理任务，如文本生成、语义理解、实体识别、知识抽取等；
6、扎实的编程基础：掌握至少一种开发语言如 Python、C、C++等，有基于PyTorch等深度学习框架的实战项目经验；
7、具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
8、具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。
9、关注AIGC领域的业界最新动态，了解 DALLE、Midjourney、StableDiffusion等前沿技术；
10、有CV、多模态项目经验。",更新于：2024-01-17
AI算法工程师,北京·朝阳区·朝阳公园,20-30K,1-3年,本科,"研究导向
Python
机器学习算法/工程化经验
计算机相关专业
深度学习经验
人工智能
Prompt Engineering
Finetune",时光乐章,医疗健康,20-99人,"公司简介：
时光乐章成立于2023年，背靠消费、文娱产业巨头，致力于打造 AI+心理健康用户服务体系。创始团队汇聚老牌产业大佬、心理学领域顶级权威、AI 领域国际顶尖科学家、VR/AR 知名企业创始人、管理咨询和私募股权投资等领域资深人士。
我们正在招聘一名专注于大语言模型（LLMs）的AI算法工程师加入我们的团队，该职位将直接汇报给CTO（AI领域顶尖科学家）。
职责：
1.使用大语言模型API进行应用程序开发
2.对LLMs执行提示工程微调，针对特定任务优化模型性能
3.熟悉大模型的主流multi-agent框架
4.熟知大模型的主流微调算法及向量数据库
5.负责技术文档的开发和维护，包括设计文档、用户手册以及故障排除指南
要求：
1.持有国内外一流院校计算机科学、数据科学、机器学习、人工智能或相关领域的学士或硕士学位
2.具备强大的Python编程能力，并有使用大模型API的经验
3.有产品上线经验者将被优先考虑
4.出色的问题解决能力，能独立完成任务，同时也能融入团队合作
5.优秀的沟通及人际交往技巧
关于福利：
1.足额缴纳五险一金。
2.试用期薪资全额发放。
3.上下班不打卡，自觉工作。
4.公司snack corner，无限零食随便吃。
全员搞笑精英，快来和我们一起来碰撞火花吧！！",更新于：2024-01-17
高德—AI视觉算法工程师,北京·朝阳区·来广营,25-50K·16薪,1-3年,本科,"视觉
视频
人脸",高德地图,互联网,1000-9999人,"职位描述：
1. 负责3D、2D人脸/人体建模或生成，包括不限于视频、文本、语音驱动人脸表情，肢体动作生成/表情生成/人脸编辑，风格迁移等；
2. 追踪业界前沿算法，推动AI视觉算法在业务场景中落地并持续优化迭代算法效果；
职位要求：
1、2年及以上视觉、视频、脸部重建或人体重建等方面直接工作经验；
2、具有图像处理相关工作经验,熟悉人脸/肢体生成,语音/文本驱动表情/动作等算法等方向；
3、熟悉主流GAN、diffusion model、nerf等算法；有相关算法落地应用优先；
4、掌握TensorFlow,PyTorch等开源工具中的一种及以上；
5、在相关国际会议或主流期刊CVPR/ICCV/ECCV/NeurIPS/SIGGRAPH/PAMI/IJCV/TIP等上发表论文者优先；
6、具有良好的逻辑思维能力,较强的沟通、学习、团队协作能力,对工作充满热情；
7、较好的算法模型深度优化能力，包括不限于模型结构优化、模型创新、loss设计、超参优化、多卡训练、推理加速、模型蒸馏等。",更新于：2024-01-17
AI算法工程师-nlp方向,北京·海淀区·上地,25-40K·15薪,1-3年,硕士,TensorFlow/PyTorch,小白羽,移动互联网,100-499人,"岗位职责
设计和实现自然语言处理算法，包括文本分类、信息提取、情感分析、机器翻译等；
运用深度学习和传统机器学习技术，对大规模文本数据进行处理；
开发和调试基于PyTorch、TensorFlow等框架的NLP模型；
研究和实现基于ChatGPT、LLM等模型的文本生成算法；
分析和优化算法性能，提高算法的效率和准确性；
与团队成员紧密合作，协同完成项目。
岗位要求
1，计算机科学、人工智能、数学、统计学等相关专业的硕士以上学位；
2，有1-3年NLP领域相关经验，精通文本分类、信息提取、情感分析、机器翻译等算法；
3，熟练掌握Python语言，熟悉PyTorch、TensorFlow等深度学习框架；
4，有ChatGPT、LLM等模型开发经验，对NLP领域最新技术有深入了解；
5，熟练掌握常用的数据结构和算法；
6，具备良好的沟通能力和团队合作精神。
加分项
发表过相关领域的论文；
有良好的英语阅读和撰写能力；
有工业界经验，能够快速适应团队的开发环境和工作流程；
对于自然语言处理领域的未来发展有深入的认识和思考。",更新于：2024-01-17
AI算法工程师(NLP方向)【No.001】,北京,20-40K·14薪,1-3年,本科,"计算机相关专业
自然语言处理项目经验
知识图谱相关经验",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-01-17
AI算法工程师(CV方向),北京,70-100K,经验不限,本科,"深度学习
图像算法
C/C++
MATLAB
CV算法
人脸识别
肢体检测",某大型企业服务公司,企业服务,100-499人,"985 211 大厂优先
岗位职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职要求
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-01-17
aigc算法工程师（cv/nlp）,北京,20-30K·14薪,1-3年,本科,"C/C++
OpenCV",某游戏公司,游戏,0-20人,"岗位需求
算法工程师
岗位职责
探索[AI+游戏]的产品方向和AIGC在3D游戏资产领域工业管线的设计开发。
将深度学习技术应用于可扩展的3D内容创建，协助模型调优，数据集工程，工具链开发。
构建工具和流水线抽象，设计和开发从模型到游戏内容生产的基础设施和工具
岗位要求
我们欢迎对机器学习，计算机视觉或NLP相关有研究兴趣和想法的同学。
优秀的数理基础，较强动手能力，良好的沟通能力和团队合作能力。
有深度学习框架(如Pytorch，conda)或CUDA编程能力优先，有生成模型(Generative Model)研究背景优先(如diffusion, Nerf, Magic3D)",更新于：2024-01-17
CV方向 AI算法工程师 国企正式编制,北京,20-40K,经验不限,本科,"业务导向
搜索/推荐
风控/反欺诈
语音/图像识别
Java
Python
C/C++
计算机相关专业
数学/统计相关专业
机器学习算法/工程化经验
CV算法工程师国企正编
AI算法工程师国企正编
算法国企正式编制",某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2024-01-17
"气象AI算法
工程师",北京·海淀区·中关村,20-25K,1-3年,本科,"Python
计算机相关专业
数学/统计相关专业",锦华正航,其他专业服务,0-20人,"（1）负责气象AI大语言模型的研发工作，包括多模态数据预处理、自然语言处理、模型设计、训练、优化和应用等。
（2）负责气象AI大语言模型的训练数据预处理和标注，以及模型训练、评估和调优等工作。
（3）根据实际应用场景，优化模型性能和精度，提高模型在气象预报和气候变化预测等方面的准确性和实用性。
（4）负责气象AI大语言模型在多场景下的应用和推广，为相关部门和领域提供专业支持和解决方案。
（5）负责技术需求文档的撰写和审核，以及与客户的沟通、协调和合作等工作。
（1）具有本科及以上学历，计算机、数学、统计学等相关专业，具备气象领域相关研究经验者优先考虑。
（2）2年以上人工智能研发经验，熟悉自然语言处理、机器学习、深度学习及神经网络等相关知识，并具有实际项目经验，对各种算法和模型有深入理解；
（3）熟练掌握Python等编程语言，具备扎实的数据分析、挖掘和处理能力。
（4）熟悉常用的机器学习框架和工具，如Scikit-learn、TensorFlow、PyTorch、Transformers等。
（5）熟悉气象领域相关技术趋势和应用场景，了解AI大语言模型在气象领域的应用优缺点。
（6）主动性和责任心强，服从工作安排，有良好的团队合作精神，善于沟通,较强的需求理解能力。",更新于：2024-01-16
