岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI算法工程师,北京,25-40K·14薪,经验不限,本科,"C++
Python
AI算法",灵汐科技,计算机软件,100-499人,"岗位职责：
1.负责AI算法（包括但不限于CV、NLP、GNN等方向的）算法研究及部署验证工作；
2.负责完成训练芯片设计相关的算法研究工作。
岗位要求：
1.本科及以上，具有计算机、模式识别等相关专业背景；
2.2年及以上的相关算法研究经验；
3.熟悉Pytorch、TensorFlow等深度学习框架；
4.能够使用python、C/C++进行开发；
5.具有较强的沟通和团队合作精神，对技术富有钻研精神，认真、踏实、责任心强。",更新于：2024-03-05
AI 算法工程师,北京·朝阳区·酒仙桥,20-35K,1-3年,本科,"C/C++
机器学习
图像算法
分布式训练
大模型算法
算法工程化经验
MATLAB",MOREVFX,广播/影视,100-499人,"- 学习研究最新人工智能技术的应用方案，紧密关注人工智能技术发展的最新动向。
- 学习研究人工智能技术的演示示例和官方论文文献。
- 通过文献及论坛交流，学习掌握不同数据模型的差异，为应用实践提供理论支持。
- 根据测试应用的需求，利用多种编程语言，快速搭建和开发有效的测试平台和测试工具。
- 处理人工智能软件或平台与DCC平台的接口连接。
- 配合团队其他成员测试人工智能的技术应用，在应用过程中提供技术支持和帮助。
- 遇到问题时积极在相关技术交流论坛交流询问，与更广泛的研究社区和平台保持联系。
- 遇到问题时与公司内部的TA、IT、TD开展紧密合作，寻找解决方案。
- 辅助部门负责人，向制作部主管及公司领导汇报研究进度和测试结果。
- 根据制作部门需求，推动和参与技术落地到项目生产制作中。
- 通过大量测试学习以及总结归纳，对已有模型进行编辑或扩充，通过神经元网络训练，尝试建立公司特定计算模型的应用。",更新于：2024-03-05
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-03-05
气象AI算法工程师,北京·海淀区·西北旺,25-35K,经验不限,本科,"深度学习
大模型算法
图像算法
自然语言处理算法
气象算法
Python
算法工程化经验
发表算法相关优秀论文
参加算法相关竞赛/获奖",北京中科星图维天...,计算机软件,,"工作职责
1. 负责气象/海洋/生态/空间天气等领域的AI算法应用研究；
2. 负责AI算法的调研、应用；
3. 协助气象服务系统的开发，应用。
任职资格
1.具有气象、物理、计算机等相关专业研究生以上学历;
2.熟悉气象领域AI算法的基本理论；
3.具有算法运行开发经验，对AI算法应用中出现的问题能迅速定位，并根据已有经验进行解决;
4.了解跟踪AI领域前沿，可对各类资料进行分析和处理
5.熟悉使用linux系统、shell脚本编程及算法常用的工具（Python，Tensorflow等）。
加分：
1.熟练掌握python者优先
2.熟练掌握气象预报相关数值模式者优先",更新于：2024-03-05
AI+药物研发算法工程师,北京,45-65K,1-3年,硕士,"TensorFlow/PyTorch
计算机相关专业
研究导向
深度学习经验
数学/统计相关专业",某大型医疗器械公司,医疗器械,,"职位描述（有比较强的使用transformer或者大语言模型进行自然语言处理算法）
1. 从事制药领域前瞻性算法开发；
2. 开发/应用机器学习/深度学习的算法来辅助药物靶点识别和临床信息整理；
3.与内部药物研发团队合作，通过构建机器学习/深度学习的模型，解决生物医学问题
4. 跟踪行业最新动态；
5. 参与其他算法相关项目。
任职要求
学历及专业：
学历：硕士及以上
专业：计算机，数学，统计学，生物学，化学，医药学，物理学等专业。复合专业背景优先，如计算生物学，生物信息学，分子生物学，结构生物学，计算化学，计算生物物理学，生物物理学，系统生物学，物理化学，化学信息学，药学信息学或者组合专业等，
至少具备以下三组专业技能之一：
专业技能1：
1. 熟悉机器学习/深度学习相关工具，比如Tensorflow，Scikit-learn，Pytorch等；
2. 有使用机器学习深度学习工具做药物研发的经验优先；
3. 熟悉核心机器学习领域相关理论，比如Artifical Neural Networks，Supervised/Unsupervised learning methods，SVM，Bayesian approaches，Decision Theory等；
4. 具有较强的编程能力，熟练掌握Python/C/C++/JAVA等相关语言；
5. 熟悉分子生物学，基因组学或者药物研发相关科学优先。
专业技能2：
1. 熟练使用分子动力学模拟软件或分子对接软件，如Pymol、GROMACS、AMBER、Rosetta、Schrödinger软件等。
2. 熟悉基于结构/配体的药物设计方法，如同源建模、分子对接、虚拟筛选、QSAR、药效团模型、分子动力学、结合自由能等。
3、熟悉药物筛选及药物设计的方法和流程；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；
5. 具有计算机辅助药物设计经验者优先。
专业技能3：
1. 熟练使用化学信息学工具包，如RDKit，Openbabel等。
2. 熟悉药学、生物学相关数据库，如chEMBL，PDB，KEGG，OMIM等。
3. 在以下一个或多个领域有相关经验：虚拟筛选，基于计算的先导化合物优化，药物设计，分子动力学，量子力学，化学信息学或ADMET/QSAR；
4. 具有较强的编程能力，熟练掌握python/C/C++/JAVA等相关语言；",更新于：2024-03-05
算法工程师（人工智能）,北京·西城区·德外大街,15-30K·14薪,3-5年,本科,"深度学习
自然语言处理算法
Python",中企云链,互联网金融,1000-9999人,"岗位职责
1、负责供应链金融领域NLP相关技术（文本分类、舆情分析、语义理解、命名实体识别、关系抽取、摘要生成等、语音识别技术）的研发、优化及部署落地工作；
2、负责相应的数据收集、增强及标注工作；
3、负责跟进行业（NLP和知识图谱）前沿技术，并应用于业务场景优化。
任职要求
1、统招本科学历及以上（985/211院校优先），计算机、数学相关专业，3年及以上相关工作经验；
2、熟悉NLP领域的理论基础，具有NLP实战经验。有海量数据挖掘、文本分类与语义分析、知识图谱构建、语音识别技术、深度学习研发等经验者优先；
3、精通Python语言，熟悉常见的开源算法和工具，如TensorFlow、Pytorch、TextCNN、LSTM、Transformer、BERT等；
4、具备良好的沟通技巧和意识，具备团队协作精神，学习能力强，善于思考钻研，认真严谨，主动积极，具有高度责任心及抗压能力。",更新于：2024-03-05
AI算法工程师（高薪诚聘）,北京,21-40K·14薪,经验不限,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
推荐算法
搜索算法
Python
C/C++
算法工程化经验
参加算法相关竞赛/获奖",某500强上市公司,计算机软件,10000人以上,"【工作职责：】
1、 通过AI相关的算法推动企业的商业数字化和智能化转型；
2、 准确把握数据挖掘领域发展趋势，识别和关注当下的关键需求及关键技术，与公司核心部门及顶级高校进行技术合作、交流，优势互补；
3、 技术算法平台建设，收集并整理各类数据构建业务数据池，集成业界主流的数据处理、算法模型技术，形成通用化的核心AI智能化处理平台。
【专业知识要求】
1、过硬的科研背景和扎实的算法基础，有相关科研成果（如相关论文、专利或者报告）优先，蓝桥杯优先，刷过很多算法题的优先；
2、具备扎实的编程实现能力，熟练使用C/C++、Python、Scala、Java等编程语言。
3、熟悉数据分析、特征工程等相关数据挖掘流程，同时熟悉回归，聚类，分类，推荐等机器学习算法实现，对常见的算法理解透彻；
【学历要求】本科/硕士，留学生/国内双一流即以上院校优先，理工科优先
【经验要求】1年以上，对优秀应聘人员可降低经验要求，接受无经验23届。",更新于：2024-03-05
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,12000-13000元/月,1-3年,大专,"机器学习
推荐算法
图像算法
MATLAB
嵌入式开发
Python
算法工程化经验",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-05
AI资深算法工程师,北京·海淀区·中关村,25-50K·15薪,经验不限,本科,"深度学习
搜索算法
C/C++
Python
发表算法相关优秀论文
算法工程化经验
优秀开源项目经历",抖音有限公司,移动互联网,10000人以上,"职位描述
1、在人工智能等领域开展前沿技术研发和落地；
2、参与和推动技术落地到产品；
3、研发以人工智能技术为核心的产品功能；
4、打造新一代的企业智能的产品。
职位要求
1、本科及以上学历，4年以上人工智能产品经验；
2、能够独立思考，具有良好的沟通能力、判断力、数据分析能力、执行力，自我驱动；
3、对互联网、人工智能技术有深刻的认识，熟悉热点领域和主要的算法模型；
4、有较强的沟通协作能力。",更新于：2024-03-05
ai算法研究员（北京医为AI事业部）,北京·海淀区·知春路,25-40K,3-5年,本科,"大模型算法
深度学习
图像算法
Python
七险一金
医学影像
算法",东华软件,计算机软件,10000人以上,"硬性条件：
全日制一本以上学历，硕士优先，2年以上经验
岗位职责：
1、结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2、负责算法性能优化；
职位要求：
1、数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2、精通Torch、Tensorflow框架；
3、精通python；
4、对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5、有发表高水平文章或项目申请经验者优先。",更新于：2024-03-05
AI 算法支持工程师,北京·海淀区·学院路,15-30K·14薪,3-5年,本科,"Python
C/C++
AE
AI模型",超星未来Novauto,计算机软件,20-99人,"岗位职责：
1. 辅助用户迁移其AI模型或者核心算法；
2. 追踪业界领先的AI模型并可以在自有平台上进行部署及优化；
3. 开发适用于行业应用的框架工具；
4. 进行竞品分析和评测，发掘产品特点和优势；
5. 帮助产品和研发团队收集客户需求，并将其转化为技术规格。
任职要求：
1. 全日制硕士及以上学历，人工智能、计算机、电子信息或相关专业；
2. 一年以上工作经验，有计算机视觉、深度学习、嵌入式开发项目经验优先；
3. 熟悉Python/C++，熟悉Linux操作系统和开发工具，能熟练使用Git等工具；
4. 具备良好的学习能力和沟通能力，有团队合作精神。",更新于：2024-03-05
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-03-05
大模型算法工程师-AI/海外教育,北京·海淀区·苏州桥,30-50K·15薪,1-3年,本科,"大模型算法
机器学习
深度学习
自然语言处理算法
融合感知算法
Python
参加算法相关竞赛/获奖
发表算法相关优秀论文
多模态
AI
PyTorch",北京字节跳动,移动互联网,10000人以上,"职位描述
1、负责Gauthmath的大模型算法工作，研究相关技术在各种学习场景的应用和解决方案，满足全球学生群体日益增长的智能交互需求，全面提升学习体验；
2、探索Prompt Engineering、COT等技巧，基于LLM设计解题Agent，提高数学解题能力；
3、追踪业界LLM、多模态最新技术，探索提升文本解题、图形解题的方法；
4、发挥想象力，探索LLM在更多学习场景的落地。
职位要求
1、优秀的代码能力、数据结构和基础算法功底，熟练Python/PyTorch，ACM/ICPC、NOI/IOI等比赛获奖者优先；
2、对解决探索性问题充满热情，有良好的沟通协作能力，具备精英级别的动手能力和自驱力；
3、有LLM、数学解题相关研究的优先。",更新于：2024-03-05
AI算法工程师,北京,20-40K·14薪,1-3年,本科,算法,某互联网公司,互联网,0-20人,"1.参与图像生成式Al在内容创作方面的算法研发和落地工作，包括但不限于如下方向:文字到图片视频生成、图片视频风格化等。
2.负责算法的业务落地，结合业务反馈优化算法精度和性能，不断提升相关指标。
3.对前沿技术进行探索，保证技术在行业的领先水平，突破技术边界。
任职要求：
1.具备计算机视觉和机器学习相关方向的项目经验，本科生+2年从业经验或优秀硕士、博士毕业生。
2.对以下一项或多项领域有深入了解，包括:diffusion模型、GAN网络、多模态学习、图像生成等。
3.有较强的动手实验能力，能够熟练使用pvtorch等深度学习框架，对生成式AI算法有深刻理解。
4.有较强的编程能力，熟练使用C/C++、Python等至少一门编程语言。
5.具备算法研发能力，有相关的研究和产品落地经历者优先。",更新于：2024-03-05
