岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-03-11
cv算法工程师(自研AI),北京·海淀区·上地,11-22K·13薪,1-3年,本科,"深度学习
自然语言处理算法
C/C++
Python",易道博识,移动互联网,20-99人,"工作职责:
使用深度学习进行前沿计算机视觉技术研究，包括但不限于分类、检测、分割、文字识别 (OCR)、人脸识别等技术方向。
工作要求:
1.985或211本科及以上学历，计算机/电子/自动化/通讯/模式识别等相关专业，应届或1-3年经验；
2.孰悉CNN/RNN/GNN/Transformer/Attention等基本原理，熟悉目标检测、分割、分类、识别等基本深度学习算法;
3.对计算机视觉领域某一方向有较为深入的研究和项目经验；
4.熟悉常用深度学习框架，如TensorFlow/Keras/Pytorch/Paddle等的一种;
5.熟练掌握Python，熟悉C/C++，熟悉Linux开发环境;
6.具备一定的独立工作能力，能够完成从算法研究到模型训练、评估、测试和应用等工作;
7.对计算机视觉领域的发展和应用有浓厚的兴趣;
8.有OCR或CV领域其他算法及项目经验者优先。",更新于：2024-03-11
人工智能教研工程师/人工智能讲师,北京·海淀区·西三旗,12-24K,经验不限,本科,"Python
TensorFlow/PyTorch
计算机相关专业
机器学习算法/工程化经验
算法工程化经验
大模型算法
深度学习
推荐算法
自然语言处理算法
C/C++
Python
cv算法",华清远见教育,在线教育,500-999人,"工作内容:
1.负责人工智能相关课程教学工作，按进度完成教学任务；
2.根据教学需要，改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
3.参与教学资源收集、开发、整理、录屏、发布、维护、授课、演讲等工作。
4.协助市场部老师做好业务知识分享、技术培训、内容日常支持。
5.参与市场自制视频的教研、录制、并参与助力课程推广；
任职要求:
1.全日制本科及以上学历， 计算机、数学或其它理工科相关专业，两年工作经验以上；
2.优秀的编程能力，熟练掌握python、C++等任一种编程语言；
3.熟练主流机器学习算法和深度学习算法；
4.熟悉至少一种深度学习框架，如Tensorflow或PyTorch等；
5.具备相关人工智能的开发项目经验，有推荐系统、语音、计算机视觉、NLP和智能项目相关经验优先；
6.善于交流，具备团队协作能力；
7.具有较强的学习能力，具备独立解决问题的能力，能够承受工作压力。",更新于：2024-03-11
AI算法工程师,北京,25-40K·14薪,经验不限,本科,"C++
Python
AI算法",灵汐科技,计算机软件,100-499人,"岗位职责：
1.负责AI算法（包括但不限于CV、NLP、GNN等方向的）算法研究及部署验证工作；
2.负责完成训练芯片设计相关的算法研究工作。
岗位要求：
1.本科及以上，具有计算机、模式识别等相关专业背景；
2.2年及以上的相关算法研究经验；
3.熟悉Pytorch、TensorFlow等深度学习框架；
4.能够使用python、C/C++进行开发；
5.具有较强的沟通和团队合作精神，对技术富有钻研精神，认真、踏实、责任心强。",更新于：2024-03-11
AI算法(J12805),北京·海淀区·上地,15-28K,1-3年,本科,"大模型算法
深度学习
机器学习
自然语言处理算法
Python
C/C++
算法工程化经验",启明星辰,信息安全,1000-9999人,"工作职责:
1、负责自然语言处理(NLP)、大模型等相关算法在网络安全领域的研究和应用开发落地工作；
2、负责大模型的微调算法的开发和优化；
3、基于LangChian和Autogpt等相关大模型应用框架基础上结合业务需求进行二次开发；
4、负责大模型上层相关应用的开发和落地工作，应用场景包括文本摘要、文本生成、机器阅读理解、问答、多轮对话等；
5、基于行业用户真实场景和需求设计和开发有效的机器学习和深度学习人工智能安全分析算法
任职资格:
1、本科及以上学历，计算机相关专业毕业；
2、具备NLP算法基础、LLM大模型、GPT系列等算法知识，熟悉常见的机器学习算法、NLP深度学习算法和相关工具，熟练掌握Transformer系列模型架构和原理，如SVM、RNN、LSTM、Word2Vec、Bert等；
3、在机器学习、深度学习、强化学习、NLP至少一个领域有较为深入的理解和工作经验，能独立解决思考、规划和解决工作问题；
4、在推荐、搜索广告、智能客服、个人助手、文本挖掘、文本分类等至少有一个业务场景有项目经验
5、了解大模型基础知识及常见微调手段，熟悉ChatGLM、LLama等模型微调训练、优化方案的优先。
7、了解大模型问答系统中意图识别、信息抽取、向量检索、langchain和代理agents等相关应用技术；
8、熟悉Pytorch、Huggingface、Deepspeed等相关技术栈；
9、有责任心，有独立思考解决方案者优先，推动相关技术的落地；
10、有华为昇腾平台算法开发经验的优先",更新于：2024-03-11
AI算法工程师-外派大厂,北京·朝阳区·望京,15-22K,3-5年,本科,"大模型算法
自然语言处理算法
Python",软通动力,计算机软件,10000人以上,"工作内容：
1.负责大模型度量体系数据建设。包括评测体系构建与迭代、评测数据集构建与迭代、评测标准的制定；
2.负责大模型度量结果分析与反馈：分析当前模型存在的问题、制定优化方向、输出度量报告、跟进优化情况；
3.跟进业界大模型技术进展，推进自研大模型迭代及应用。
任职要求：
1、有3-5年的算法开发测试开发经验
2、熟悉python开发语言，能够构建自动化的程序
3、熟练使用常见的数据分析与处理工具，pandas、openpyxl等4、熟悉大模型prompt engineering5、工作踏实，沟通能力强6、有数据分析经验者加分",更新于：2024-03-11
AI气象大模型算法研发,北京·海淀区·四季青,16-30K,1-3年,本科,"Python
数学/统计相关专业
机器学习算法/工程化经验",航天宏图,计算机软件,1000-9999人,"技能要求：
了解并掌握深度学习的基本工作原理；
掌握 Python编程语言，掌握至少一种深度学习框架（pytorch, tensorflow 等）
掌握常用数据处理工具包，numpy, pandas,sklrean等；
工作职责：
1. 负责基于深度学习算法的气象检测和预测算法的研发；
2.参与公司自主设计的气象AI大模型的开发；
3.根据不同产品的特性持续对模型进行优化和调整；
任职要求：
1.对深度学习在气象领域的应用有浓厚的兴趣，愿意在这个领域内有所尝试；
2.有深厚的数理与统计学功底，包括矩阵运算，偏微分方程，基于梯度风反向传播，常用统计学方法以及评价指标；
3 .对数据集预处理，数据增强，特征工程 有全面的了解并拥有个人见解； 4. 了解目前主流的AI大模型原理，如Transformer模型架构，注意力机制，扩散模型、embedding，Normolization等相关概念，多模态中数据对齐的方法; 对模型可解释性工具和应用有积累；
5. 独立完成过深度学习模型的开发流程，或者完整的参与过一项深度学习任务的开发项目，并在项目中担任核心算法以及训练流程的开发； 6. 对气象数据有基本的了解；
7. 具有本科及以上的学历；
加分项：
1. 气象专业毕业的本科/研究生；
2. 对多模态模型，AIGC，Diffusion Model有一定了解或者相关项目经验； 3. 参与过某AI大模型的研发；
4.在国内外期刊或会议上有AI 技术相关的论文发表；",更新于：2024-03-11
ai视觉算法工程师,北京,20-35K·13薪,1-3年,本科,"深度学习
机器学习
图像算法
C/C++
Python
其他
发表算法相关优秀论文
参加算法相关竞赛/获奖
优秀开源项目经历
视觉算法
AI视觉算法
TensorFlow",某计算机软件公司,计算机软件,20-99人,"职位描述：
1. 智能制造领域核心视觉算法优化和创新研究，包括但不限于：检测分类，分割，OCR等；
2. 大规模深度学习/机器学习相关的核心算法研究，包括但不限于：网络结构设计、大规模分布式训练、持续学习、无/自/半监督学习、部署量化等；
3. 针对智能制造领域的实际需求，进行算法设计、实现、迭代优化等工作，将算法功能交付下游团队；
4. 维护相关研究方向的benchmark（代码、数据等），将创新算法整理成技术文档或正式论文。
职位要求：
1.统招重点大学本科及以上学历，计算机相关专业毕业；
2. 具有计算机视觉，机器学习优化算法基础，数据挖掘或人工智能的相关经验；
3. 有较强的研究能力，可以进行算法研究的创新设计和实现；
4. 熟练使用C/C++、python中至少一种编程语言；熟悉caffe、tensorflow、pytorch等深度学习框架之一；
5. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；
6. 有计算机视觉、机器学习开源项目的贡献背景者优先；
7. 在国际顶级会议或期刊发表机器学习相关论文者优先；
8. 有相关的比赛经验者或在重要数据集的排行榜上排名靠前者优先。",更新于：2024-03-11
初级AI算法工程师,北京·西城区·宣武门,12-16K,1-3年,本科,"深度学习
机器学习
Python
C/C++",慧流科技,计算机软件,20-99人,"岗位职责:
1.负责人工智能领域相关研究与应用；
2.设计、训练和测试机器学习、深度学习算法模型；
3.负责AI模型的应用设计、开发和维护；
4.参与AI平台架构设计和路标规划及产品方案设计工作;
5.负责或参与完成AI项目、AI产品的研发、调优、落地等工作；
岗位要求：
1.计算机、应用数学、人工智能、统计学等相关专业，本科及以上学历;
2.能够熟练使用Python、C++等开发语言中的一种或多种语言; 了解主流机器学习算法;
3.具有深度学习、数据建模相关项目经验，了解pytorch、tensorflow等深度学习框架中的一种或多种；
4.具有一定的Linux命令操作基础，可在Linux环境下完成各种模型训练与推理测试实验；
5.熟悉Flask、Django等web框架中的一种或多种；
6.有AI系统/平台架构、核心模块开发设计经验参与过中大型人工智能相关项目研究与开发经验优先；
7.工作细致、责任心强，有较强的沟通与执行能力，有团队合作精神；
8.对AI有浓厚兴趣，致力于往AI方向发展；",更新于：2024-03-11
人工智能/机器学习算法工程师,北京,12-24K·15薪,经验不限,本科,"深度学习算法
人工智能
机器学习
数据挖掘
Hadoop
Spark",中移雄安,移动互联网,1000-9999人,"企业性质：央企
所属机构：中移雄安产业研究院-数智创新部
工作地点：北京，雄安新区
学历要求：大学本科211及以上学历，计算机、通信、电子、软件工程等相关专业。
注：本科211以上学历硬性要求，不满足勿投，感谢理解！
职位描述
1、通过机器学习、数据挖掘等技术，结合业务知识，帮助客户建立数据挖掘模型，解决智慧城市业务问题；
2、负责基础算法库、建模工具和建模框架的开发工作，不断对已有算法、工具和框架进行优化，提升数挖效率；
3、理解客户数据内容、业务场景需求，并选择适合的技术解决方案。
任职要求
专业技能：
1、熟练掌握并理解常规数据挖掘、机器学习相关算法及其原理，有大规模数据挖掘/机器学习研发经验；
2、熟练掌握常用的Hadoop、Spark大数据分析平台，熟悉TensorFlow、Caffe等深度学习框架；
3、熟练Python、JAVA、Scala、C等一种以上语言；
4、具备企业产品创新研究的组织和攻关能力；
5、在机器学习国际会议或者期刊上发表论文、相关国际比赛获奖、及相关专利者优先。
素质：
1、有责任心，工作热情、耐心、踏实、严谨，有团队合作精神；
2、具备有很好的学习和逻辑能力，强烈的探索和求知欲，良好的沟通的能力和撰写报告能力；
3、具备一定的抗压能力，善于应对来自工作上的各种压力。
经验：
至少有2年以上数据挖掘/机器学习算法研发经验，有通信运营商O域/B域大数据、智慧城市大数据、互联网大数据挖掘和机器学习算法研发经验者优先。",更新于：2024-03-11
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-03-11
ai算法研究员（北京医为AI事业部）,北京·海淀区·知春路,25-40K,3-5年,本科,"大模型算法
深度学习
图像算法
Python
七险一金
医学影像
算法",东华软件,计算机软件,10000人以上,"硬性条件：
全日制一本以上学历，硕士优先，2年以上经验
岗位职责：
1、结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2、负责算法性能优化；
职位要求：
1、数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2、精通Torch、Tensorflow框架；
3、精通python；
4、对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5、有发表高水平文章或项目申请经验者优先。",更新于：2024-03-11
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,12000-13000元/月,1-3年,大专,"机器学习
推荐算法
图像算法
MATLAB
嵌入式开发
Python
算法工程化经验",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-11
