岗位名称,区位,薪资,工作经验,学历,关键词1,关键词2,关键词3,企业名称,企业类别,企业规模,岗位要求,更新时间
AI算法模型工程师,北京·昌平区·沙河,25-50K,1-3年,本科,无明显侧重,,,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",更新于：2023-12-20
人工智能 NLP工程师,北京·朝阳区·南磨房,20-40K·13薪,1-3年,本科,DALLE、Midjourney,ChatGPT模型,StableDiffusion,上海美踏全宇数字科技,互联网,100-499人,"岗位职责：
1、承担基于GPT系列或者其他开源大模型的开发和调优工作，包括训练流程搭建、指令微调、Prompt工程以及面向下游任务的效果优化等；
2、负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
完成大规模预训练模型在游戏、影视等细分领域的落地，支持业务目标提升;
3、紧跟业界大模型进展，探索前沿技术，解决实际问题，包括智能问答、图文内容生成等；4、与其他团队密切合作，包括数据工程师、前后端工程师、产品经理等，实现高质量的产品和解决方案。
任职要求:
1、2年以上相关工作经验， 计算机、人工智能、数学等相关专业研究生学历，优秀者可放宽至本科，有相关方向论文者优先；
2、熟悉NLP主流大模型，如ChatGPT/T5/PaLM/LLaMA/GLM等,对模型背后的原理和各自适用场景有深入的理解。有大模型预训练经验,熟悉相关技术细节和优化策略，如大规模语料收集、模型调优优化、自弱监督学习、强化学习等；
3、有小样本学习 (Few-shot learning)、提示学习(P‘rompt learning)等相关技术经验；
4、有扎实的自然语言处理理论和方法基础，掌握自然语言主要算法模型，具备对Transformer架构及其变体的深入理解；
5、熟悉常见的自然语言处理任务，如文本生成、语义理解、实体识别、知识抽取等；
6、扎实的编程基础：掌握至少一种开发语言如 Python、C、C++等，有基于PyTorch等深度学习框架的实战项目经验；
7、具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
8、具备较强的团队协作能力和沟通能力，有较强的学习能力和业务分析及问题解决能力。
9、关注AIGC领域的业界最新动态，了解 DALLE、Midjourney、StableDiffusion等前沿技术；
10、有CV、多模态项目经验。",更新于：2023-12-20
ai算法研究员,北京,40-70K·16薪,经验不限,本科,搜索/推荐,机器学习算法/工程化经验,深度学习经验,某知名互联网公司,互联网,,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",更新于：2023-12-20
人工智能算法,北京,20-40K·20薪,经验不限,本科,工智能算法和模型,,,某大型互联网公司,互联网,500-999人,"人工智能算法（济南/北京）
【岗位职责】
1.研究和开发人工智能算法和模型，包括大模型、知识图谱、深度学习、自然语言处理、计算机视觉、机器学习、深度学习、强化学习等，用于解决工业领域的各种问题，如生产优化、质量控制、故障预测等。
2.负责人工智能模型的设计、开发、测试和优化，不断提升模型的准确性和性能，以满足实际应用的需求。
3.研究和开发人工智能应用程序，包括界面设计、用户交互、数据可视化等方面，以提高用户体验和应用效果。
4.参与人工智能技术的推广和应用，包括技术交流、培训、咨询等方面，推动人工智能技术在工业领域的发展和应用。
【任职资格】
1.本科及以上学历，计算机、机器学习、数学等相关专业。
2.熟练掌握人工智能领域的各种算法和模型，包括机器学习、深度学习、强化学习等，并有实际项目经验。
3.熟悉常用的深度学习开源软件，如TensorFlow、PyTorch等，并具备相关使用经验；掌握云边协同技术，能进行云端训练、模型下发及边端部署服务全流程实施；
4.熟悉相关的数据分析和机器学习平台，如Spark、Hadoop等，并有相关项目经验。",更新于：2023-12-20
AI算法工程师 国企正式编制,北京,15-30K,经验不限,本科,业务导向,智能营销/广告,语音/图像识别,某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",更新于：2023-12-20
AI Agent算法工程师,北京·东城区·王府井,50-80K·13薪,经验不限,本科,大模型算法,强化学习,Python,昆仑天工,互联网,500-999人,"岗位职责：
1. 跟进工业界/学术界最新的大模型动态，特别是AI Agent方面的最新研究成果；
2. 参与前沿技术的技术研究和时间，对算法进行优化改进，提升系统的稳定性和性能；
3.和跨职能团队合作，包括产品、开发团队，确保按时交付高质量的Agent产品解决方案。
任职要求：
1. 统招本科及以上学历，计算机及相关专业，有较强的工程能力；
2. 有较强的自我驱动能力，能快速推进新任务的完成；
3.熟悉Agent技术领域最新的研究成果，有实际项目落地经验着优先。",更新于：2023-12-20
AI高级算法工程师,北京,35-65K,经验不限,本科,Java,C/C++,Python,某大型社交网络公司,社交网络,100-499人,"1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2023-12-20
ai算法,北京,20-25K·16薪,经验不限,本科,生物医疗,CNN/RNN/LSTM,R,某大型医疗器械公司,医疗器械,100-499人,"1. 在眼科AI场景下，实践深度学习或机器学习算法，并针对特定任务进行优化。
2. 了解所需相关行业的前沿发展趋势，组织撰写相关技术文档及展示材料并输出相关专利。
3. （独立选项）该岗位可选择成为项目经理，专门负责产品需求、产品定义等工作。",更新于：2023-12-20
【AI Researcher】人工智能算法工程师,北京,35-55K·18薪,经验不限,本科,深度学习经验,机器学习算法/工程化经验,计算机相关专业,某计算机软件公司,计算机软件,,"岗位职责：
1. 开展LLM、多模态、NLP、CV、AIGC相关算法的研究与算法优化；
2. 开展LLM、多模态、NLP、CV、AIGC前沿算法研究到应用的转化；
3. 支持产品在LLM、多模态、NLP、CV、AIGC等方面技术需求的调研，提出解决方案，并参与实施。
岗位要求：
1. 3年及以上NLP、CV、AIGC或AI相关工作经验；
2. 有LLM、多模态相关经验；
3. 有产品思维，并具备良好的沟通能力；
4. 有较强的动手能力；
5. 有项目落地经验者优先；
6. 有顶会论文者优先。",更新于：2023-12-20
AI算法工程师,北京·丰台区·岳各庄,15-25K,经验不限,学历不限,语音/图像识别,C/C++,Python,天津怪诞,企业服务,100-499人,"至少三年以上实战经验（可校内参与项目）或者实战项目超过5个以上。
初创公司，股权奖励，抓住AI机遇，赢得未来
岗位职责：
1、AI图像识别；
2、机器深度学习；
3、参与公司其它项目的研发，按要求完成研发任务。
任职要求：
最重要的一条：热爱前沿技术，想在人工智能新赛道成就一番事业者。
1）本科(统招)及以上学历，计算机、电子、控制、数学、人工智能相关专业。1年左右的相关工作经验，若有2-3年以上人工智能领域相关开发经验者优先；
2）熟悉深度学习理论，在图像分类、目标检测、图像分割等领域有经验者优先；
3）熟悉pytorch/tensorflow/caffe/darknet等深度学习框架并能熟练进行算法实现和改进；
4）熟悉CNN、SSD、YOLO等常见网络结构；
5）参加过深度学习模型部署、产品落地等工作者优先；
6）熟练掌握python和c#语言着优先；
7）具备良好的学习能力和分析解决问题能力。",更新于：2023-12-20
音频算法（AI作曲/编曲）（MJ000975）,北京·海淀区·知春路,30-60K·15薪,经验不限,本科,研究导向,乐理,ai作曲,趣丸,移动互联网,1000-9999人,"Base广州优先
岗位职责：
1.参与自动音乐作曲/编曲相关的技术的研究与开发：
2.自动编曲：伴奏生配器编排/风格设计等符号域生成以及【音频域音乐生成】；
3.自动作曲：歌词生成/旋律生成等；
4.作曲技巧：音乐结构建模/音乐情感建模/音乐曲谱风格转换等。
任职要求：
1.本科及以上学历，计算机、应用数学、电子工程、自动化等相关专业优先；
2.相关专业技能：扎实的程序设计能力，有NLP、CV、TTS、ASR等某一领域的技术背景，灵活运用机器学习技术和方法；【有audioLM、musicLM、audioCraft等相关实践经验】；
3.工作经验：有AI音乐项目经验，在音乐符号生成、音乐符号识别、音乐音频域生成、歌声合成等领域有实际应用经验；
4.有良好的沟通、协作和领导能力，有一定的音乐编曲作曲能力，热爱音乐者优先。",更新于：2023-12-20
大模型算法（NLP/CV/机器学习）,北京,30-60K·15薪,1-3年,本科,大模型算法,图像算法,自然语言处理算法,某知名互联网公司,互联网,1000-9999人,"岗位需求介绍：分为三大方向
第一，机器学习，包括NLP、CV算法，做预训练方向；
第二，强化学习：RLHF方向；
第三，AI infra：大规模分布式训练和推理框架方向
社招岗位寻访方向：
1】硬性要求：年轻、高潜，国内、外名校本、硕、博士，学历越高越好，获得计算机、数学等相关奖项越多越好，工作2~5年+，年纪不能太大，对标阿里P6及以上，字节2-1及以上。
第一梯队人选：满足第一条，且是阿里校招生--阿里星、百度校招生-百度AI DU、快手校招生-快Star、字节校招生2-1及以上级别的。即曾具备这些校招标签的人选~
第二梯队人选：满足第一条，且在知名互联网公司，正在从事大模型相关算法、机器学习等研发的年轻、高潜同学，对标职级能到阿里P6、字节2-1及以上的，
数据质量模型，画像：满足其一即可
1、搜索、评论、资讯类等场景长文本内容理解/类目/标签模型
2、基座模型预训练数据处理
预训练：语言模型，画像：满足其一即可
1、优先看基座模型预训练
2、或者垂类模型做Continue train的也可以，认知要好，nlp的深度要好。
3、NLP场景能力够强也是ok的，核心还是看认知，
预训练-多模态，画像：
1、做过多模态大模型的理解（关键词表征学习）或者生成；经验导向，看有相关经验的",更新于：2023-12-20
AI算法工程师（NLP方向）（央企正编）,北京,40-50K,经验不限,硕士,AIGC,chatGPT,知识图谱,某通信公司,通信/网络设备,,AIGC，chatGPT，知识图谱，将同一副影像中的AI告警事件进行归并整合、告警压制、告警升级等处理。,更新于：2023-12-20
高德—AI视觉算法工程师,北京·朝阳区·来广营,25-50K·16薪,1-3年,本科,视觉,视频,人脸,高德地图,互联网,1000-9999人,"职位描述：
1. 负责3D、2D人脸/人体建模或生成，包括不限于视频、文本、语音驱动人脸表情，肢体动作生成/表情生成/人脸编辑，风格迁移等；
2. 追踪业界前沿算法，推动AI视觉算法在业务场景中落地并持续优化迭代算法效果；
职位要求：
1、2年及以上视觉、视频、脸部重建或人体重建等方面直接工作经验；
2、具有图像处理相关工作经验,熟悉人脸/肢体生成,语音/文本驱动表情/动作等算法等方向；
3、熟悉主流GAN、diffusion model、nerf等算法；有相关算法落地应用优先；
4、掌握TensorFlow,PyTorch等开源工具中的一种及以上；
5、在相关国际会议或主流期刊CVPR/ICCV/ECCV/NeurIPS/SIGGRAPH/PAMI/IJCV/TIP等上发表论文者优先；
6、具有良好的逻辑思维能力,较强的沟通、学习、团队协作能力,对工作充满热情；
7、较好的算法模型深度优化能力，包括不限于模型结构优化、模型创新、loss设计、超参优化、多卡训练、推理加速、模型蒸馏等。",更新于：2023-12-20
