岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-02-23
AI 算法工程师,北京·朝阳区·酒仙桥,20-35K,1-3年,本科,"机器学习
大模型算法
图像算法
C/C++
分布式训练
MATLAB
算法工程化经验",MOREVFX,广播/影视,100-499人,"- 学习研究最新人工智能技术的应用方案，紧密关注人工智能技术发展的最新动向。
- 学习研究人工智能技术的演示示例和官方论文文献。
- 通过文献及论坛交流，学习掌握不同数据模型的差异，为应用实践提供理论支持。
- 根据测试应用的需求，利用多种编程语言，快速搭建和开发有效的测试平台和测试工具。
- 处理人工智能软件或平台与DCC平台的接口连接。
- 配合团队其他成员测试人工智能的技术应用，在应用过程中提供技术支持和帮助。
- 遇到问题时积极在相关技术交流论坛交流询问，与更广泛的研究社区和平台保持联系。
- 遇到问题时与公司内部的TA、IT、TD开展紧密合作，寻找解决方案。
- 辅助部门负责人，向制作部主管及公司领导汇报研究进度和测试结果。
- 根据制作部门需求，推动和参与技术落地到项目生产制作中。
- 通过大量测试学习以及总结归纳，对已有模型进行编辑或扩充，通过神经元网络训练，尝试建立公司特定计算模型的应用。",更新于：2024-02-25
AI算法工程师-外派大厂,北京·朝阳区·望京,15-22K,3-5年,本科,"大模型算法
自然语言处理算法
Python",软通动力,计算机软件,10000人以上,"工作内容：
1.负责大模型度量体系数据建设。包括评测体系构建与迭代、评测数据集构建与迭代、评测标准的制定；
2.负责大模型度量结果分析与反馈：分析当前模型存在的问题、制定优化方向、输出度量报告、跟进优化情况；
3.跟进业界大模型技术进展，推进自研大模型迭代及应用。
任职要求：
1、有3-5年的算法开发测试开发经验
2、熟悉python开发语言，能够构建自动化的程序
3、熟练使用常见的数据分析与处理工具，pandas、openpyxl等4、熟悉大模型prompt engineering5、工作踏实，沟通能力强6、有数据分析经验者加分",更新于：2024-02-23
人工智能讲师（可兼职）,北京·海淀区·安宁庄,12-24K,1-3年,本科,"C/C++
Python
TensorFlow/PyTorch
机器学习算法/工程化经验
深度学习经验",华清远见,培训/辅导机构,500-999人,"工作内容:
1.负责人工智能相关课程教学工作，按进度完成教学任务；
2.根据教学需要，改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
3.参与教学资源收集、开发、整理、录屏、发布、维护、授课、演讲等工作。
4.协助市场部老师做好业务知识分享、技术培训、内容日常支持。
5.参与市场自制视频的教研、录制、并参与助力课程推广；
任职要求:
1.全日制本科及以上学历， 计算机、数学或其它理工科相关专业，两年工作经验以上；
2.优秀的编程能力，熟练掌握python、C++等任一种编程语言；
3.熟练主流机器学习算法和深度学习算法；
4.熟悉至少一种深度学习框架，如Tensorflow或PyTorch等。
5.具备相关人工智能的开发项目经验，有推荐系统、语音、计算机视觉、NLP和智能项目相关经验优先。
6.口齿伶俐，善于交流，具备团队协作能力；
7.具有较强的学习能力，具备独立解决问题的能力，能够承受工作压力。",更新于：2024-02-25
安全AI算法工程师,北京·海淀区·西北旺,15-25K·16薪,经验不限,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
Python
C/C++
算法工程化经验",华为技术有限公司,计算机软件,10000人以上,"【工作职责】
1、安全类产品的端到端可信任设计、开发、验证与维护工作；
2、独立完成模块设计、详细设计、代码编写、单元测试、静态检查、本地构建、测试环境搭建、交付验证、问题定位、资料开发等工作；
3、安全产品如大数据平台、安全管理及安全分析系统、态势感知等产品特性的系统设计、核心开发、交付与运维;
4、基于大数据&AI平台，开发、优化AI算法，分析攻击流量、构建威胁检测模型，支撑各类安全产品（AI防火墙、AI DDOS、态势感知等）安全竞争力构建;
【岗位要求：满足一种即可】
1、能够熟练使用C/C++/Python/Perl/Ruby/Shell等至少一种脚本编程语言
2、熟练掌握一个或多个大数据主流技术框架的原理及应用，如Hadoop、Flink、Spark、HBase、Kafka、Redis、Zookeeper等
3、熟悉网络通信基础知识，具备网络安全相关业务的开发经验优先；",更新于：2024-02-25
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-02-25
人工智能/机器学习算法工程师,北京,12-24K·15薪,经验不限,本科,"深度学习算法
人工智能
机器学习
数据挖掘
Hadoop
Spark",中移雄安,移动互联网,1000-9999人,"企业性质：央企
所属机构：中移雄安产业研究院-数智创新部
工作地点：北京，雄安新区
学历要求：大学本科211及以上学历，计算机、通信、电子、软件工程等相关专业。
注：本科211以上学历硬性要求，不满足勿投，感谢理解！
职位描述
1、通过机器学习、数据挖掘等技术，结合业务知识，帮助客户建立数据挖掘模型，解决智慧城市业务问题；
2、负责基础算法库、建模工具和建模框架的开发工作，不断对已有算法、工具和框架进行优化，提升数挖效率；
3、理解客户数据内容、业务场景需求，并选择适合的技术解决方案。
任职要求
专业技能：
1、熟练掌握并理解常规数据挖掘、机器学习相关算法及其原理，有大规模数据挖掘/机器学习研发经验；
2、熟练掌握常用的Hadoop、Spark大数据分析平台，熟悉TensorFlow、Caffe等深度学习框架；
3、熟练Python、JAVA、Scala、C等一种以上语言；
4、具备企业产品创新研究的组织和攻关能力；
5、在机器学习国际会议或者期刊上发表论文、相关国际比赛获奖、及相关专利者优先。
素质：
1、有责任心，工作热情、耐心、踏实、严谨，有团队合作精神；
2、具备有很好的学习和逻辑能力，强烈的探索和求知欲，良好的沟通的能力和撰写报告能力；
3、具备一定的抗压能力，善于应对来自工作上的各种压力。
经验：
至少有2年以上数据挖掘/机器学习算法研发经验，有通信运营商O域/B域大数据、智慧城市大数据、互联网大数据挖掘和机器学习算法研发经验者优先。",更新于：2024-02-21
AI 算法支持工程师,北京·海淀区·学院路,15-30K·14薪,3-5年,本科,"Python
C/C++
AE
AI模型",超星未来Novauto,计算机软件,20-99人,"岗位职责：
1. 辅助用户迁移其AI模型或者核心算法；
2. 追踪业界领先的AI模型并可以在自有平台上进行部署及优化；
3. 开发适用于行业应用的框架工具；
4. 进行竞品分析和评测，发掘产品特点和优势；
5. 帮助产品和研发团队收集客户需求，并将其转化为技术规格。
任职要求：
1. 全日制硕士及以上学历，人工智能、计算机、电子信息或相关专业；
2. 一年以上工作经验，有计算机视觉、深度学习、嵌入式开发项目经验优先；
3. 熟悉Python/C++，熟悉Linux操作系统和开发工具，能熟练使用Git等工具；
4. 具备良好的学习能力和沟通能力，有团队合作精神。",更新于：2024-02-24
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-02-23
ai视觉算法工程师,北京,20-35K·13薪,1-3年,本科,"深度学习
机器学习
图像算法
C/C++
Python
其他
发表算法相关优秀论文
参加算法相关竞赛/获奖
优秀开源项目经历
视觉算法
AI视觉算法
TensorFlow",某计算机软件公司,计算机软件,20-99人,"职位描述：
1. 智能制造领域核心视觉算法优化和创新研究，包括但不限于：检测分类，分割，OCR等；
2. 大规模深度学习/机器学习相关的核心算法研究，包括但不限于：网络结构设计、大规模分布式训练、持续学习、无/自/半监督学习、部署量化等；
3. 针对智能制造领域的实际需求，进行算法设计、实现、迭代优化等工作，将算法功能交付下游团队；
4. 维护相关研究方向的benchmark（代码、数据等），将创新算法整理成技术文档或正式论文。
职位要求：
1.统招重点大学本科及以上学历，计算机相关专业毕业；
2. 具有计算机视觉，机器学习优化算法基础，数据挖掘或人工智能的相关经验；
3. 有较强的研究能力，可以进行算法研究的创新设计和实现；
4. 熟练使用C/C++、python中至少一种编程语言；熟悉caffe、tensorflow、pytorch等深度学习框架之一；
5. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；
6. 有计算机视觉、机器学习开源项目的贡献背景者优先；
7. 在国际顶级会议或期刊发表机器学习相关论文者优先；
8. 有相关的比赛经验者或在重要数据集的排行榜上排名靠前者优先。",更新于：2024-02-25
AI资深算法工程师,北京·海淀区·中关村,25-50K·15薪,经验不限,本科,"深度学习
搜索算法
C/C++
Python
发表算法相关优秀论文
算法工程化经验
优秀开源项目经历",抖音有限公司,移动互联网,10000人以上,"职位描述
1、在人工智能等领域开展前沿技术研发和落地；
2、参与和推动技术落地到产品；
3、研发以人工智能技术为核心的产品功能；
4、打造新一代的企业智能的产品。
职位要求
1、本科及以上学历，4年以上人工智能产品经验；
2、能够独立思考，具有良好的沟通能力、判断力、数据分析能力、执行力，自我驱动；
3、对互联网、人工智能技术有深刻的认识，熟悉热点领域和主要的算法模型；
4、有较强的沟通协作能力。",更新于：2024-02-23
AI算法工程师（NLP方向）,北京·西城区·宣武门,15-30K·14薪,1-3年,本科,"机器翻译
推荐算法
文本生成
Python
Golang
大数据处理工具(Spark/Hadoop/Hive)
深度学习
机器学习
大模型算法
优秀开源项目经历
算法工程化经验
模型加速/性能优化",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-02-23
AI算法,北京·丰台区·花乡,90-95元/时,经验不限,本科,"深度学习
大模型算法
机器学习
图像算法
推荐算法
多模态算法
C/C++
Python
算法工程化经验",橙溪,互联网,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2031-03-01
多模态
大模型
算法方向:AI相关领域算法，包括但不限于:NLP，AIGC，AI图形图像，视觉、AI语音、
AI翻译
支持业务:智能投顾、对话机器人、代码生成、2.5D/3D虚拟人，智慧医疗、图像识别/检
索、图像/视频生成等，均为公司在人工智能领域的重点发展方向
我们希望您，
1、博士及以上学历，包括博士应届(硕士学历，3年以上工作经验也可以);
2、发表过顶会或期刊论文者优先:
3、NLP，各像处理或冬形学，模式识别、数字图像处理、数字信号处理、计算机相关专
业，做过大模型项目或者多模态项目优先:
4、211、985或者海外名校优先;",更新于：2024-02-25
