岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI算法工程师（NLP方向）,北京·西城区·宣武门,15-30K·14薪,1-3年,本科,"机器翻译
推荐算法
文本生成
Python
Golang
大数据处理工具(Spark/Hadoop/Hive)
深度学习
机器学习
大模型算法
优秀开源项目经历
算法工程化经验
模型加速/性能优化",UMU,企业服务,100-499人,"岗位职责：
1. 从事自然语言处理、知识图谱等领域前沿算法的研究，探索人工智能技术的创新和落地应用；
2. 从业务场景和实际问题出发，利用自然语言处理和知识图谱技术，服务于UMU核心AI产品，如AI陪练、AI微课等；
3. 构建知识图谱平台，将智能服务的能力赋予更多的产品和用户。
任职责格：
1. 掌握自然语言处理、信息检索、深度学习理论，实现相关算法技术的落地和应用；
2. 掌握知识图谱相关算法，包括但不限于实体识别、关系抽取、语义消歧、实体链接、知识推理等算法模块研究与优化；
3. 责任心强，积极主动，有良好的沟通协调能力；
4. 本科及以上学历，计算机相关专业，社招1年以上NLP工作经验。",更新于：2024-03-01
ai平台算法工程师,北京·西城区·阜成门,20-40K,3-5年,本科,"C/C++
算法工程化经验
Python",阜外医院,医疗健康,1000-9999人,"主要职责：
1.设计训练，推理架构等人工智能相关基础服务组件，并进行研发落地。
2.优化模型的训练，推理效率等相关技术，提升模型推理效率，降低资源使用。
3.将复杂的技术解决方案沉淀成技术组件或中间件，提供给团队使用。
4.研究新技术，并转换成可落地的解决方案，帮助技术团队保持与时俱进。
任职要求:
1.本科以上学历，计算机相关领域专业背景，编程基础扎实，有3年以上Python/C++开发经验；对linux系统的基础知识有一定的掌握。
2.对机器学习/深度学习有一定的了解，了解常用的大模型相关技术，了解常用的深度学习框架和库，如Deepspeed、PyTorch等。
3.熟悉分布式系统的设计，了解云原生，容器化等相关技术。
4.学习能力强，能快速学习掌握新的业务领域知识。具有医疗行业背景优先。",更新于：2024-03-01
安全AI算法工程师,北京·海淀区·西北旺,15-25K·16薪,经验不限,本科,"深度学习
机器学习
大模型算法
自然语言处理算法
Python
C/C++
算法工程化经验",华为技术有限公司,计算机软件,10000人以上,"【工作职责】
1、安全类产品的端到端可信任设计、开发、验证与维护工作；
2、独立完成模块设计、详细设计、代码编写、单元测试、静态检查、本地构建、测试环境搭建、交付验证、问题定位、资料开发等工作；
3、安全产品如大数据平台、安全管理及安全分析系统、态势感知等产品特性的系统设计、核心开发、交付与运维;
4、基于大数据&AI平台，开发、优化AI算法，分析攻击流量、构建威胁检测模型，支撑各类安全产品（AI防火墙、AI DDOS、态势感知等）安全竞争力构建;
【岗位要求：满足一种即可】
1、能够熟练使用C/C++/Python/Perl/Ruby/Shell等至少一种脚本编程语言
2、熟练掌握一个或多个大数据主流技术框架的原理及应用，如Hadoop、Flink、Spark、HBase、Kafka、Redis、Zookeeper等
3、熟悉网络通信基础知识，具备网络安全相关业务的开发经验优先；",更新于：2024-03-03
ai视觉算法工程师,北京,20-35K·13薪,1-3年,本科,"深度学习
机器学习
图像算法
C/C++
Python
其他
发表算法相关优秀论文
参加算法相关竞赛/获奖
优秀开源项目经历
视觉算法
AI视觉算法
TensorFlow",某计算机软件公司,计算机软件,20-99人,"职位描述：
1. 智能制造领域核心视觉算法优化和创新研究，包括但不限于：检测分类，分割，OCR等；
2. 大规模深度学习/机器学习相关的核心算法研究，包括但不限于：网络结构设计、大规模分布式训练、持续学习、无/自/半监督学习、部署量化等；
3. 针对智能制造领域的实际需求，进行算法设计、实现、迭代优化等工作，将算法功能交付下游团队；
4. 维护相关研究方向的benchmark（代码、数据等），将创新算法整理成技术文档或正式论文。
职位要求：
1.统招重点大学本科及以上学历，计算机相关专业毕业；
2. 具有计算机视觉，机器学习优化算法基础，数据挖掘或人工智能的相关经验；
3. 有较强的研究能力，可以进行算法研究的创新设计和实现；
4. 熟练使用C/C++、python中至少一种编程语言；熟悉caffe、tensorflow、pytorch等深度学习框架之一；
5. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情；
6. 有计算机视觉、机器学习开源项目的贡献背景者优先；
7. 在国际顶级会议或期刊发表机器学习相关论文者优先；
8. 有相关的比赛经验者或在重要数据集的排行榜上排名靠前者优先。",更新于：2024-02-29
ai算法工程师,北京·朝阳区·安贞,14-18K,经验不限,本科,"图像算法
Python",中嘉数创,广告/公关/会展,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；
7、有nlp、推荐相关经验者加分；",更新于：2024-03-03
AI 算法运营实习生/兼职,北京·朝阳区·三里屯,150-200元/天,经验不限,本科,"深度学习
机器学习
大模型算法
Python
Java
C/C++
算法工程化经验",OpenBayes贝式计算,计算机软件,20-99人,"工作周期：3个月
每周工期：无要求
工作时间：不限
工作时段：工作日
结算方式：日结
招聘截止时间：2024-04-20
岗位职责：
1. 负责 OpenBayes 官网公共教程本土化，包含撰写教程简介、代码跑通、结果复现等
2. 参与模型收集整理，提高官网教程的可维护性和可读性
3. 配合完成其他开发及定期维护工作。
任职要求:
1. 本科及以上学历，统计学、数学、计算机科学或其他相关专业优先；
2. 熟悉 Python，有良好的代码能力，了解 Linux 系统，熟悉机器学习基本知识，使用过 pytorch、sklearn 等算法库，做过机器学习项目；
3. 熟悉 GitHub、HuggingFace、jupyter 等常见平台及工具；
4. 具备良好的英文文献阅读能力优先；
5. 性格开朗，责任心强，有良好的执行能力和沟通能力，具备团队协作能力和学习能力，能够快速适应工作内容;
6. 实习期至少 3 个月
职位诱惑:
该岗位为算法与运营相结合的岗位，可远程实习，无需坐班，可提供实习证明，薪资面谈
面试信息:
面试方式：可远程面试
面试轮数：1-2 轮面试，1 轮笔试
时间安排：一天内完成",更新于：2024-03-01
ai算法工程师,北京·海淀区·北京大学,18-25K,经验不限,本科,Python,青鸟职业教育,培训/辅导机构,100-499人,"工作内容：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。
岗位职责：1.针对职业技术培训领域大模型的特点和应用场景，设计并可以不断优化精进模型的prompt，并提升模型在特定任务的性能。
2.基于国内外最新研究成果，落地搜索增强、嵌入模型和VD的实现。
3.设计处置领域大模型评估方案并负责模型评估工作，确保大模型测评结果与实际场景体验一致。
4.辅助设计基于大模型的应用产品生态体系，例如智能文档，面试辅助等。
5.参与大模型应用领域相关产品技术方案的研究与创新，竞品的调研和分析，支持业务的快速迭代。
6.收集职业教育领域数据，收集ChatGPT、MidJourney等AI提示词并验证，以工程的方式进行管理。
7.协助产品经理完成部分产品工作，如用户访谈、竞品调研、课程内容规划研究等。",更新于：2024-03-01
ai算法研究员（北京医为AI事业部）,北京·海淀区·知春路,25-40K,3-5年,本科,"大模型算法
深度学习
图像算法
Python
七险一金
医学影像
算法",东华软件,计算机软件,10000人以上,"硬性条件：
全日制一本以上学历，硕士优先，2年以上经验
岗位职责：
1、结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2、负责算法性能优化；
职位要求：
1、数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2、精通Torch、Tensorflow框架；
3、精通python；
4、对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5、有发表高水平文章或项目申请经验者优先。",更新于：2024-03-02
人工智能工程师,北京·海淀区·学院路,20-40K·16薪,1-3年,本科,"机器学习
自然语言处理算法
Python
NLP",华深智药,生物/制药,20-99人,"职位要求：
教育背景： 硕士及以上学历，计算机科学、统计学、人工智能等相关专业，本科毕业生如有丰富的相关从业经验和突出的技术能力，也可考虑。
工作经验： 至少2年以上在学术界或工业界的机器学习或AI相关工作经验，具有在大厂或知名技术公司工作背景及丰富项目经验者优先。
技能要求： 精通机器学习算法，包括深度学习、自然语言处理等；熟悉Python编程，熟练使用TensorFlow、PyTorch等深度学习框架；对数据结构和算法有深入理解，具备良好的数学基础。
项目经验： 参与过多个实际项目，具备从概念设计到产品实现的完整项目经验；能够独立解决问题，并在团队中发挥关键作用。",更新于：2024-03-02
cv算法工程师(自研AI),北京·海淀区·上地,11-22K·13薪,1-3年,本科,"深度学习
自然语言处理算法
C/C++
Python",易道博识,移动互联网,20-99人,"工作职责:
使用深度学习进行前沿计算机视觉技术研究，包括但不限于分类、检测、分割、文字识别 (OCR)、人脸识别等技术方向。
工作要求:
1.985或211本科及以上学历，计算机/电子/自动化/通讯/模式识别等相关专业，应届或1-3年经验；
2.孰悉CNN/RNN/GNN/Transformer/Attention等基本原理，熟悉目标检测、分割、分类、识别等基本深度学习算法;
3.对计算机视觉领域某一方向有较为深入的研究和项目经验；
4.熟悉常用深度学习框架，如TensorFlow/Keras/Pytorch/Paddle等的一种;
5.熟练掌握Python，熟悉C/C++，熟悉Linux开发环境;
6.具备一定的独立工作能力，能够完成从算法研究到模型训练、评估、测试和应用等工作;
7.对计算机视觉领域的发展和应用有浓厚的兴趣;
8.有OCR或CV领域其他算法及项目经验者优先。",更新于：2024-03-01
FAE（大厂算法，人工智能项目),北京·丰台区·六里桥,11-20K,1-3年,本科,"深度学习
机器学习
大模型算法
图像算法
自然语言处理算法
C/C++
Python
Java",华为技术,通信/网络设备,,"【昇腾FAE工作职责】
岗位职责：
Ÿ 基于对昇腾解决方案，应用技术的理解，支撑合作伙伴完成基于昇腾处理器的方案开发和迁移，提供专业的技术意见，协助用户解决使用昇腾处理器过程中的功能问题，性能问题，精度问题。
Ÿ 负责对昇腾合作伙伴和目标客户进行解决方案赋能，算法应用开发迁移指导培训，日常问题解答。
Ÿ 支撑昇腾合作伙伴进行业务迁移包括协助环境搭建，问题定位，业务流程分析，代码分析等。支撑客户开展训练脚本迁移，自定义算子实现。支撑客户完成整体方案开发测试发布
Ÿ 协助客户完成性能调优，包括架构优化，神经网络模型、算子优化等
Ÿ 开展行业典型AI应用的Sample样例代码的编写、编译运行。
【技能经验关键词】匹配部分条件
1、 Python、C++、LINUX
2、 图像、音视频应用开发, 如ffmpeg，opencv的使用；了解h264，h265，jpeg，png，yuv，图像处理等。
3、 机器学习、深度学习，人工智能，AI的应用经验：如TensorFlow，PyTorch、Cafffe、Darknet、PaddlePaddle、Mxnet等的使用，聚类、检索等算法开发和应用。
4、 GPU相关经验，CUDA编程或使用经验
5、 常用网络模型的调试开发经验CNN（yolo 、resnet、 bert 、Vgg、SSD、Faster-RCNN、Transformer）以及人脸识别，目标检测，视频结构化、跟踪、分割、OCR、语音/语义识别等智能化应用开发测试经验。
6、 软件开发工程师，算法工程师，软件测试工程师，linux软件研发工程师（通常匹配的岗位名称）",更新于：2024-03-02
人工智能讲师（可兼职）,北京·海淀区·安宁庄,12-24K,1-3年,本科,"C/C++
Python
TensorFlow/PyTorch
机器学习算法/工程化经验
深度学习经验",华清远见,培训/辅导机构,500-999人,"工作内容:
1.负责人工智能相关课程教学工作，按进度完成教学任务；
2.根据教学需要，改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
3.参与教学资源收集、开发、整理、录屏、发布、维护、授课、演讲等工作。
4.协助市场部老师做好业务知识分享、技术培训、内容日常支持。
5.参与市场自制视频的教研、录制、并参与助力课程推广；
任职要求:
1.全日制本科及以上学历， 计算机、数学或其它理工科相关专业，两年工作经验以上；
2.优秀的编程能力，熟练掌握python、C++等任一种编程语言；
3.熟练主流机器学习算法和深度学习算法；
4.熟悉至少一种深度学习框架，如Tensorflow或PyTorch等。
5.具备相关人工智能的开发项目经验，有推荐系统、语音、计算机视觉、NLP和智能项目相关经验优先。
6.口齿伶俐，善于交流，具备团队协作能力；
7.具有较强的学习能力，具备独立解决问题的能力，能够承受工作压力。",更新于：2024-03-03
（兼职）人工智能算法工程师,北京·朝阳区·高碑店,10-15K,经验不限,本科,"深度学习
图像算法
自然语言处理算法
Python
算法工程化经验",博雅智信,在线教育,,"需求形式：机器学习、深度学习实用算法研发、创新性算法研发等（领域：计算机视觉、自然语言处理、大语言模型、搜推广算法、数据挖掘、数据科学等）
支付周期：按照项目进行结算，单价在100～10000元不等；
不限时间和地点，全程在线沟通；
工作职责：
1.针对国内外在校大学生的AI课程，提供辅导服务，如一对一知识点授课、论文带读，bug修复等指导；
2.针对外部企业的实际项目，提供咨询或需求外包服务，如大模型落地需求，图像矫正需求；
3.在约定的时间保质保量进行项目任务交付；
工作要求（满足部分要求即可）：
1.精通至少一种编程语言，包括但不限于Python、Matlab、C++、Java；
2.对TensorFlow、PyTorch等深度学习框架有深入了解和实践经验；
3.在计算机视觉、自然语言处理、大语言模型、搜索推荐算法、数据挖掘或数据科学等深度学习领域中至少有一项深入研究；
4.相关专业在读研究生、在职算法工程师或有闲暇时间的算法工程师均可，特别优秀的在读本科生亦可；",更新于：2024-03-03
