岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
AI算法工程师（政务大模型）,北京·西城区·西便门,35-55K·15薪,经验不限,本科,"计算机相关专业
数学/统计相关专业",中移集成,通信/网络设备,1000-9999人,"岗位描述：
1、政务行业大模型训练数据的收集与梳理；
2、政务行业大模型的预训练与精调，行业专用模型架构设计与实现；
3、政务知识图谱的构建与维护，政务新闻政策信息抽取pipeline搭建；
4、政务大模型应用的工程化应用开发与对接，完成prompt工程开发，完成与外部知识库对接。
任职资格：
1、 计算机相关专业，硕士及以上学历；
2、 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java等至少一种语言，熟练掌握Pytorch、TensorFlow等深度学习框架；
3、 具备快速阅读深度学习相关论文并理解算法的能力；
4、有大模型训练经验者优先；
5、有政务行业人工智能应用经验者优先；",更新于：2024-03-07
AI 算法工程师,北京·海淀区·苏州街,18-35K·13薪,1-3年,本科,"Golang
C/C++
语义理解
深度学习
大模型算法
多模态算法
算法工程化经验
文本生成
模型加速/性能优化",龙软科技研究院,计算机软件,100-499人,"1. 参与行业大模型技术及应用开发，参与产品策划，完成项目的功能设计与代码实现。
2. 熟悉NLP领域基本模型算法如BERT, GPT等，了解大模型应用技术如Prompt工程，AutoGPT等，对大模型发展及其应用具有浓厚兴趣，愿意积极调研前沿情况。
3. 熟悉如PyTorch等深度学习框架，具有基础算法和编程能力，熟悉常见编程语言，包括但不限于Python, C/C++, Java, Go等。",更新于：2024-03-07
ai算法工程师,北京·朝阳区·安贞,14-18K,经验不限,本科,"图像算法
Python",中嘉数创,广告/公关/会展,100-499人,"岗位要求：
1、计算机、数学、软件工程或相关专业硕士及以上
2、有扎实的基础知识与算法基础，熟练使用各种编程语言开发
3、了解常用机器学习、深度学习或数据挖掘等算法
工作内容：
1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；
2、整合并优化项目开发所需各种资源、技术架构，负责保障代码质量，软件项目的持续优化、改进工作;
3、确保服务器正常运行；
4、思考应用场景并提出新idea，结合实际业务场景制定合理解决方案；
5、主要包括但不限于：OCR、人脸识别，肢体识别、手势识别、目标检测、图像分割、图像识别、美颜特效、图像风格迁移等技术研发落地；
岗位要求：
1、本科以上学历，计算机相关专业；
2、熟练掌握C/C++、Python、java等编程语言至少一门编程语言；熟悉OpenCV，以及常用图像处理方法；
3、熟悉深度学习基础知识和经典网络模型，熟练至少一种深度学习工具，例如TensorFlow、PyTorch、PaddlePaddle等
4、熟练Java语言及各种主流框架如SpringBoot等主流框架，有熟悉前端技术，如小程序，Vue等前端技术框架者择优考虑；
5、熟练使用MySQL数据库，有SQL开发经验；
6、熟练liux的基本操作，如开机程序启动配置，shell脚本的编写；
7、有nlp、推荐相关经验者加分；",更新于：2024-03-07
ai算法工程师（人脸识别方向）,北京,20-40K·15薪,经验不限,本科,"机器学习
图像算法
自然语言处理算法
Python
CV
人脸识别
图像处理",某大型企业服务公司,企业服务,100-499人,"工作职责
1. 负责人脸识别和肢体检测相关算法的持续优化迭代；
2. 了解跟进AI/CV技术进展，推动CV算法在实际应用场景中落地。
任职资格
1. 统招本科及以上学历，计算机、数学、自动化等相关专业；
2. 具有扎实的图像处理和机器学习优化算法基础，有目标检测、关键点检测等方向项目落地经验，有模型部署相关经验；
3. 具有良好的计算机基础和编程能力，熟练使用Python语言，熟悉PyTorch/TensorFlow等深度学习框架，熟悉C/C++，有Linux平台下的开发经验；
4. 具有优秀的分析问题和解决问题的能力，具有良好的沟通能力和团队协作能力。",更新于：2024-03-07
人工智能机器学习算法开发工程师,北京·海淀区·上地,100-120元/时,经验不限,本科,"深度学习
大模型算法
强化学习
数据挖掘
语音算法
图像算法
Scala
大数据处理工具(Spark/Hadoop/Hive)",成都灵动魔米软件开发,物联网,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-03-20
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-07
AI算法工程师,北京·海淀区·学院路,20-40K·13薪,1-3年,本科,"深度学习
机器学习
图像算法
自然语言处理算法
模型加速/性能优化
C/C++
Python
算法工程化经验
团队管理经验",虹图AI开放平台,互联网,0-20人,"岗位职责：
1. 视觉AI或音频AI领域的算法实现；
2. 面向特定领域的算法研发及优化，包括且不限于OCR识别、图像识别、语义分割、图像增强等；
3. 算法研究，算法原型代码开发，测试以及交付，并协助系统级联调；
4. 算法优化任务，与外部合作（国内外高校、科研机构和500强企业）。
任职条件：
1. 机器学习、计算机视觉、图像处理等相关方向，具有计算机、数学或者统计学教育背景；
2. 熟练使用Caffe，pytorch，Tensorflow或者同类工具，掌握一种开发语言（python，c++）；
3. 具有较好的编程实现能力和快速学习能力，能够通过阅读论文学习新算法和理论知识；
4. 在相关领域有算法成功落地经验优先，英语、数学成绩好优先。
工作地点：北京",更新于：2024-03-07
人工智能机器学习深度算法电子单片机工程师,北京·海淀区·上地,12000-13000元/月,1-3年,大专,"机器学习
推荐算法
图像算法
MATLAB
嵌入式开发
Python
算法工程化经验",俏嘴娃电商,计算机软件,0-20人,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2024-12-31
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。
【 时间自由 】欢迎咨询，长期有效。",更新于：2024-03-07
算法工程师（人工智能）,北京·西城区·德外大街,15-30K·14薪,3-5年,本科,"深度学习
自然语言处理算法
Python",中企云链,互联网金融,1000-9999人,"岗位职责
1、负责供应链金融领域NLP相关技术（文本分类、舆情分析、语义理解、命名实体识别、关系抽取、摘要生成等、语音识别技术）的研发、优化及部署落地工作；
2、负责相应的数据收集、增强及标注工作；
3、负责跟进行业（NLP和知识图谱）前沿技术，并应用于业务场景优化。
任职要求
1、统招本科学历及以上（985/211院校优先），计算机、数学相关专业，3年及以上相关工作经验；
2、熟悉NLP领域的理论基础，具有NLP实战经验。有海量数据挖掘、文本分类与语义分析、知识图谱构建、语音识别技术、深度学习研发等经验者优先；
3、精通Python语言，熟悉常见的开源算法和工具，如TensorFlow、Pytorch、TextCNN、LSTM、Transformer、BERT等；
4、具备良好的沟通技巧和意识，具备团队协作精神，学习能力强，善于思考钻研，认真严谨，主动积极，具有高度责任心及抗压能力。",更新于：2024-03-07
AI算法工程师-fae鲲鹏,北京·丰台区·菜户营,11-19K,1-3年,本科,"深度学习
机器学习
大模型算法
图像算法
自然语言处理算法
语音算法
C/C++
Python
Java",华为数字技术有限公司,通信/网络设备,,"1.熟悉Python、Docker、Linux等具有代码功底和实战能力;
2.熟悉自然语言、计算机视觉、强化学习等人工智能相关算法，具备一定编程能力。
3.有独立视觉或自然语言处理项目开发经验者优先。
4.了解大模型(比如ChatGPT)者优先。
5.有良好的团队协作精神，具备一定的项目沟通及跟进能力、有较好的统筹规划能力、思路清晰、反应机敏。
基本要求：
 国家统招全日制大学本科及以上学历，计算机、软件、数学等专业毕业生；
 本科毕业的需要1年以上工作经验，工作经验为软件开发、软件测试或系统集成，IT行业工作经验，云计算相关工作经验优先；
 研究生毕业的工作经验少于1年的可以考虑；
 计算机软硬件相关专业，熟悉掌握C/C++/Java/Python/Go/汇编等编程语言中的一种或多种，有较好的编程基础；
 了解linux操作系统基本原理，熟悉linux操作系统的操作和问题定位。
 参与过linux底层软件开发或大型软件开发项目，具备软件代码编译/GDB调试/定位分析的基本能力；
 熟悉解决方案的一种或多种，具备虚拟化、数据库、大数据、分布式存储等相关领域开发或测试经验优先。
 具备良好的沟通协调能力，有较强的责任心和技术求知欲，敢于突破和挑战；具备良好的团队协作精神，学习能力强，有激情，工作积极主动，有强烈的工作责任心。
 可以接受国内间歇性短期出差",更新于：2024-03-07
人工智能教研工程师/人工智能讲师,北京·海淀区·西三旗,12-24K,经验不限,本科,"Python
TensorFlow/PyTorch
计算机相关专业
机器学习算法/工程化经验
算法工程化经验
大模型算法
深度学习
推荐算法
自然语言处理算法
C/C++
Python
cv算法",华清远见教育,在线教育,500-999人,"工作内容:
1.负责人工智能相关课程教学工作，按进度完成教学任务；
2.根据教学需要，改进教学方法，更新教学大纲，教学案例开发更新升级，完善教学案例、教学资料及其他教学内容；
3.参与教学资源收集、开发、整理、录屏、发布、维护、授课、演讲等工作。
4.协助市场部老师做好业务知识分享、技术培训、内容日常支持。
5.参与市场自制视频的教研、录制、并参与助力课程推广；
任职要求:
1.全日制本科及以上学历， 计算机、数学或其它理工科相关专业，两年工作经验以上；
2.优秀的编程能力，熟练掌握python、C++等任一种编程语言；
3.熟练主流机器学习算法和深度学习算法；
4.熟悉至少一种深度学习框架，如Tensorflow或PyTorch等；
5.具备相关人工智能的开发项目经验，有推荐系统、语音、计算机视觉、NLP和智能项目相关经验优先；
6.善于交流，具备团队协作能力；
7.具有较强的学习能力，具备独立解决问题的能力，能够承受工作压力。",更新于：2024-03-07
AI高级算法工程师,北京·朝阳区·望京,30-60K·13薪,经验不限,本科,"大模型算法
自然语言处理算法
分布式训练
SQL
参加算法相关竞赛/获奖
发表算法相关优秀论文",伊对,社交网络,100-499人,"职位描述
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
5、负责业内先进的语音合成算法研究，探索个性化TTS、情感化TTS、风格化TTS等前沿技术
职位要求
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、熟悉vits系列模型、Edge-TTS、Bert-vits2、声码器、fastspeech等模型或者开源库
5、过往有参与过大型对话系统、大横型训练和部罢经验者优先
6、有 ACL、EMNLP、ICLR 等会议论文发表者优先
7、良好的自驱力，较强的团队合作精神",更新于：2024-03-07
大模型算法工程师-AI/海外教育,北京·海淀区·苏州桥,30-50K·15薪,1-3年,本科,"大模型算法
机器学习
深度学习
自然语言处理算法
融合感知算法
Python
参加算法相关竞赛/获奖
发表算法相关优秀论文
多模态
AI
PyTorch",北京字节跳动,移动互联网,10000人以上,"职位描述
1、负责Gauthmath的大模型算法工作，研究相关技术在各种学习场景的应用和解决方案，满足全球学生群体日益增长的智能交互需求，全面提升学习体验；
2、探索Prompt Engineering、COT等技巧，基于LLM设计解题Agent，提高数学解题能力；
3、追踪业界LLM、多模态最新技术，探索提升文本解题、图形解题的方法；
4、发挥想象力，探索LLM在更多学习场景的落地。
职位要求
1、优秀的代码能力、数据结构和基础算法功底，熟练Python/PyTorch，ACM/ICPC、NOI/IOI等比赛获奖者优先；
2、对解决探索性问题充满热情，有良好的沟通协作能力，具备精英级别的动手能力和自驱力；
3、有LLM、数学解题相关研究的优先。",更新于：2024-03-07
初级AI算法工程师,北京·西城区·宣武门,12-16K,1-3年,本科,"深度学习
机器学习
Python
C/C++",慧流科技,计算机软件,20-99人,"岗位职责:
1.负责人工智能领域相关研究与应用；
2.设计、训练和测试机器学习、深度学习算法模型；
3.负责AI模型的应用设计、开发和维护；
4.参与AI平台架构设计和路标规划及产品方案设计工作;
5.负责或参与完成AI项目、AI产品的研发、调优、落地等工作；
岗位要求：
1.计算机、应用数学、人工智能、统计学等相关专业，本科及以上学历;
2.能够熟练使用Python、C++等开发语言中的一种或多种语言; 了解主流机器学习算法;
3.具有深度学习、数据建模相关项目经验，了解pytorch、tensorflow等深度学习框架中的一种或多种；
4.具有一定的Linux命令操作基础，可在Linux环境下完成各种模型训练与推理测试实验；
5.熟悉Flask、Django等web框架中的一种或多种；
6.有AI系统/平台架构、核心模块开发设计经验参与过中大型人工智能相关项目研究与开发经验优先；
7.工作细致、责任心强，有较强的沟通与执行能力，有团队合作精神；
8.对AI有浓厚兴趣，致力于往AI方向发展；",更新于：2024-03-07
AI算法工程师,北京,25-40K·14薪,经验不限,本科,"C++
Python
AI算法",灵汐科技,计算机软件,100-499人,"岗位职责：
1.负责AI算法（包括但不限于CV、NLP、GNN等方向的）算法研究及部署验证工作；
2.负责完成训练芯片设计相关的算法研究工作。
岗位要求：
1.本科及以上，具有计算机、模式识别等相关专业背景；
2.2年及以上的相关算法研究经验；
3.熟悉Pytorch、TensorFlow等深度学习框架；
4.能够使用python、C/C++进行开发；
5.具有较强的沟通和团队合作精神，对技术富有钻研精神，认真、踏实、责任心强。",更新于：2024-03-07
